"rownum","string_0","[rid]_8","[rid]_24","[rid]_40","rid_56","i32_72","[rid]_76","bool_92"
0,"fully_broken_armour_consumed_for_active_skill_hit_or_stun_damage","[18160,18191]",[2235],"[18630,17654]","",0,[],""
1,"fully_broken_armour_consumed_for_support_damage",[18007],[2235],[18630],"",0,[],""
2,"fully_broken_armour_consumed_to_guarantee_crit",[18008],[2235],[338],"",0,[],""
3,"fully_broken_armour_generic",[20194],[2235],[],"",0,[],""
4,"freeze_consumed_generic",[18626],[2],[],"",0,[],""
5,"freeze_consumed_to_guarantee_crit",[18583],[2],[338],"",0,[],""
6,"freeze_consumed_for_active_skill_hit_damage",[18293],[2],[19100],"",0,[],""
7,"freeze_consumed_for_active_skill_hit_damage_from_support",[20469],[2],[20470],"",0,[],""
8,"freeze_consumed_to_apply_chill",[24745],[2],[],"",0,[],1
9,"shock_consumed_generic",[18631],"[3,2395]",[],"",0,[],""
10,"shock_consumed_for_active_skill_damage_per_5percent_shock_effect",[15579],"[3,2395]",[18632],15577,1045220557,[],""
11,"ignite_consumed_by_elemental_discharge",[18596],[0],[],"",0,[],""
12,"freeze_consumed_by_elemental_discharge",[18596],[2],[],"",0,[],""
13,"shock_consumed_by_elemental_discharge",[18596],[3],[],"",0,[],""
14,"dazed_consumed_for_guarantee_crit",[19556],[2441],[338],"",0,[19561],""
15,"dazed_consumed_for_stun_buildup",[19557],[2441],[19558],"",0,[19561],""
16,"dazed_consumed_for_guarantee_hit",[21028],[2441],[],"",0,[],1
17,"ignite_consumed_generic",[20970],[0],[],"",0,[],""
18,"bloodstained_consumed_generic",[21273],[2644],[],"",0,[],""
19,"parry_consumed_generic",[22016],[2640],[],"",0,[],""
20,"parry_consumed_to_gain_X_frenzy_charges",[21368],[2640],[],"",0,[],""
21,"maim_consumed_to_break_%_armour",[22221],[511],[22223],"",0,[22220],""
22,"freeze_consumed_for_damage_against_unique","[23297,23298]",[2],[],"",0,[],""
23,"dazed_consumed_for_damage",[23812],[2441],[],"",0,[],""
24,"poison_consumed_generic",[23965],[13],[],"",0,[],""
