"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","Icon","MainPage"
0,"Fragments","","","","","","","","","","","",0
1,"TabletsPrecursor","Precursor Tablets","Tablettes des Prédécesseurs","Wegbereitertafeln","先人の石板","선도자 서판","Tábuas Precursoras","Плитки Предтеч","Tablillas precursoras","แผ่นหินก่อนกาล","先行者碑牌","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTabletPrecursor",1
2,"TabletsRitual","Ritual Precursor Tablets","Tablette des Prédécesseurs de Rituel","Ritual-Wegbereitertafeln","リチュアルの先人の石板","의식 선도자 서판","Tábuas Precursoras de Ritual","Плитки Предтеч Ритуала","Tablillas precursoras de ritual","แผ่นหินพิธีกรรมก่อนกาล","祭祀先行者碑牌","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTabletRitual",1
3,"TabletsExpedition","Expedition Precursor Tablets","Tablette des Prédécesseurs d'Expédition","Expedition-Wegbereitertafeln","エクスペディションの先人の石板","탐험 선도자 서판","Tábuas Precursoras de Expedição","Плитки Предтеч Экспедиции","Tablillas precursoras de expedición","แผ่นหินกองสำรวจก่อนกาล","探險先行者碑牌","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTabletExpedition",1
4,"TabletsDelirium","Delirium Precursor Tablets","Tablette des Prédécesseurs de Délire","Delirium-Wegbereitertafeln","デリリウムの先人の石板","환영 선도자 서판","Tábuas Precursoras de Delírio","Плитки Предтеч Делириума","Tablillas precursoras de delirio","แผ่นหินเดลิเรียมก่อนกาล","譫妄先行者碑牌","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTabletDelirium",1
5,"TabletsBreach","Breach Precursor Tablets","Tablette des Prédécesseurs de Brèche","Riss-Wegbereitertafeln","ブリーチの先人の石板","균열 선도자 서판","Tábuas Precursoras de Fenda","Плитки Предтеч Разлома","Tablillas precursoras de fisura","แผ่นหินบรีชก่อนกาล","裂痕先行者碑牌","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTabletBreach",1
6,"TabletsBoss","Overseer Precursor Tablets","Tablette des Prédécesseurs du Superviseur","Aufseher-Wegbereitertafeln","監督者の先人の石板","감독관 선도자 서판","Tábuas Precursoras de Supervisor","Плитки Предтеч Смотрителя","Tablillas precursoras del capataz","แผ่นหินผู้คุมก่อนกาล","總督先行者碑牌","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTabletBoss",1
7,"TabletsUnique","Unique Tablets","Tablettes Uniques","Einzigartige Tafeln","ユニーク石板","고유 서판","Tábuas Únicas","Уникальные плитки","Tablillas únicas","แผ่นหินยูนิค","傳奇碑牌","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTabletUnique",1
8,"TrialsSekhemas","Djinn Baryas","Baryas du Djinn","Djinn-Barya","ジンのバリャ","진 바리야","Baryas de Gênio","Барии Джинна","Baryas de genio","บาร์ย่าจินน์","巨靈之幣","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTrialSekhemas",2
9,"TrialsChaos","Inscribed Ultimatums","Ultimatums gravés","Inschriften des Ultimatums","刻印されたアルティメイタム","새겨진 결전","Ultimatos Inscritos","Начертанные Ультиматумы","Ultimátums inscritos","คำขาดจารึก","最後通牒雕刻","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTrialChaos",2
