"rownum","Id","bool_8","bool_9","QuestFlagEnter","QuestFlagComplete","bool_42","Icon","bool_51","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","[string]_60","[string]_60 (French)","[string]_60 (German)","[string]_60 (Japanese)","[string]_60 (Korean)","[string]_60 (Portuguese)","[string]_60 (Russian)","[string]_60 (Spanish)","[string]_60 (Thai)","[string]_60 (Traditional Chinese)","Rooms","string_92","bool_100"
0,"Explore","","",223,222,"","","","","","","","","","","","","","[""Escape Trial"",""Escape Trial"",""Escape Trial"",""Escape Trial""]","[""Épreuve de l'Évasion"",""Épreuve de l'Évasion"",""Épreuve de l'Évasion"",""Épreuve de l'Évasion""]","[""Flucht-Prüfung"",""Flucht-Prüfung"",""Flucht-Prüfung"",""Flucht-Prüfung""]","[""脱出の試練"",""脱出の試練"",""脱出の試練"",""脱出の試練""]","[""탈출 시련"",""탈출 시련"",""탈출 시련"",""탈출 시련""]","[""Provação da Fuga"",""Provação da Fuga"",""Provação da Fuga"",""Provação da Fuga""]","[""Испытание побега"",""Испытание побега"",""Испытание побега"",""Испытание побега""]","[""Prueba de escape"",""Prueba de escape"",""Prueba de escape"",""Prueba de escape""]","[""บททดสอบหลบหนี"",""บททดสอบหลบหนี"",""บททดสอบหลบหนี"",""บททดสอบหลบหนี""]","[""逃脫試煉"",""逃脫試煉"",""逃脫試煉"",""逃脫試煉""]",[],"",""
1,"TimerArena","","",291,292,"","","","","","","","","","","","","","[""Hourglass Trial"",""Hourglass Trial"",""Hourglass Trial"",""Hourglass Trial""]","[""Épreuve du Sablier"",""Épreuve du Sablier"",""Épreuve du Sablier"",""Épreuve du Sablier""]","[""Sanduhr-Prüfung"",""Sanduhr-Prüfung"",""Sanduhr-Prüfung"",""Sanduhr-Prüfung""]","[""砂時計の試練"",""砂時計の試練"",""砂時計の試練"",""砂時計の試練""]","[""모래시계 시련"",""모래시계 시련"",""모래시계 시련"",""모래시계 시련""]","[""Provação da Ampulheta"",""Provação da Ampulheta"",""Provação da Ampulheta"",""Provação da Ampulheta""]","[""Испытание песочных часов"",""Испытание песочных часов"",""Испытание песочных часов"",""Испытание песочных часов""]","[""Prueba del reloj de arena"",""Prueba del reloj de arena"",""Prueba del reloj de arena"",""Prueba del reloj de arena""]","[""บททดสอบนาฬิกาทราย"",""บททดสอบนาฬิกาทราย"",""บททดสอบนาฬิกาทราย"",""บททดสอบนาฬิกาทราย""]","[""沙漏試煉"",""沙漏試煉"",""沙漏試煉"",""沙漏試煉""]",[],"",""
2,"PortalArena","","",293,294,"","","","","","","","","","","","","","[""Ritual Trial"",""Ritual Trial"",""Ritual Trial"",""Ritual Trial""]","[""Épreuve du Rituel"",""Épreuve du Rituel"",""Épreuve du Rituel"",""Épreuve du Rituel""]","[""Ritual-Prüfung"",""Ritual-Prüfung"",""Ritual-Prüfung"",""Ritual-Prüfung""]","[""儀式の試練"",""儀式の試練"",""儀式の試練"",""儀式の試練""]","[""의식 시련"",""의식 시련"",""의식 시련"",""의식 시련""]","[""Provação do Ritual"",""Provação do Ritual"",""Provação do Ritual"",""Provação do Ritual""]","[""Испытание ритуала"",""Испытание ритуала"",""Испытание ритуала"",""Испытание ритуала""]","[""Prueba de ritual"",""Prueba de ritual"",""Prueba de ritual"",""Prueba de ritual""]","[""บททดสอบพิธีกรรม"",""บททดสอบพิธีกรรม"",""บททดสอบพิธีกรรม"",""บททดสอบพิธีกรรม""]","[""祭祀試煉"",""祭祀試煉"",""祭祀試煉"",""祭祀試煉""]",[],"",""
3,"Lair","","",295,296,"","","","","","","","","","","","","","[""Chalice Trial"",""Chalice Trial"",""Chalice Trial"",""Chalice Trial""]","[""Épreuve du Calice"",""Épreuve du Calice"",""Épreuve du Calice"",""Épreuve du Calice""]","[""Kelch-Prüfung"",""Kelch-Prüfung"",""Kelch-Prüfung"",""Kelch-Prüfung""]","[""聖杯の試練"",""聖杯の試練"",""聖杯の試練"",""聖杯の試練""]","[""성배 시련"",""성배 시련"",""성배 시련"",""성배 시련""]","[""Provação do Cálice"",""Provação do Cálice"",""Provação do Cálice"",""Provação do Cálice""]","[""Испытание чаши"",""Испытание чаши"",""Испытание чаши"",""Испытание чаши""]","[""Prueba del cáliz"",""Prueba del cáliz"",""Prueba del cáliz"",""Prueba del cáliz""]","[""บททดสอบถ้วยจอก"",""บททดสอบถ้วยจอก"",""บททดสอบถ้วยจอก"",""บททดสอบถ้วยจอก""]","[""聖杯試煉"",""聖杯試煉"",""聖杯試煉"",""聖杯試煉""]",[],"",""
4,"Maze","","",227,222,"","","","","","","","","","","","","","[""Sacred Chronicles"",""Sacred Chronicles"",""Sacred Chronicles"",""Sacred Chronicles""]","[""Chroniques sacrées"",""Chroniques sacrées"",""Chroniques sacrées"",""Chroniques sacrées""]","[""Heilige Chroniken"",""Heilige Chroniken"",""Heilige Chroniken"",""Heilige Chroniken""]","[""聖なる記録"",""聖なる記録"",""聖なる記録"",""聖なる記録""]","[""신성한 연대기"",""신성한 연대기"",""신성한 연대기"",""신성한 연대기""]","[""Crônicas Sagradas"",""Crônicas Sagradas"",""Crônicas Sagradas"",""Crônicas Sagradas""]","[""Священные хроники"",""Священные хроники"",""Священные хроники"",""Священные хроники""]","[""Crónicas sagradas"",""Crónicas sagradas"",""Crónicas sagradas"",""Crónicas sagradas""]","[""บันทึกเหตุศักดิ์สิทธิ์"",""บันทึกเหตุศักดิ์สิทธิ์"",""บันทึกเหตุศักดิ์สิทธิ์"",""บันทึกเหตุศักดิ์สิทธิ์""]","[""神化史記"",""神化史記"",""神化史記"",""神化史記""]",[],"",""
5,"Gauntlet","","",227,222,"","","","","","","","","","","","","","[""Gauntlet Trial"",""Gauntlet Trial"",""Gauntlet Trial"",""Gauntlet Trial""]","[""Épreuve du Gantelet"",""Épreuve du Gantelet"",""Épreuve du Gantelet"",""Épreuve du Gantelet""]","[""Spießrutenlauf-Prüfung"",""Spießrutenlauf-Prüfung"",""Spießrutenlauf-Prüfung"",""Spießrutenlauf-Prüfung""]","[""挑戦の試練"",""挑戦の試練"",""挑戦の試練"",""挑戦の試練""]","[""건틀릿 시련"",""건틀릿 시련"",""건틀릿 시련"",""건틀릿 시련""]","[""Provação da Arena"",""Provação da Arena"",""Provação da Arena"",""Provação da Arena""]","[""Испытание рукавицы"",""Испытание рукавицы"",""Испытание рукавицы"",""Испытание рукавицы""]","[""Prueba de desafío"",""Prueba de desafío"",""Prueba de desafío"",""Prueba de desafío""]","[""บททดสอบฝ่าอันตราย"",""บททดสอบฝ่าอันตราย"",""บททดสอบฝ่าอันตราย"",""บททดสอบฝ่าอันตราย""]","[""鐵人試煉"",""鐵人試煉"",""鐵人試煉"",""鐵人試煉""]",[],"",""
6,"Miniboss","",1,229,228,"","",1,"","","","","","","","","","","[""Scriptorium"",""Reliquary"",""Sanctum Bellum"",""Mausoleum""]","[""Scriptorium"",""Reliquaire"",""Sanctum Bellum"",""Mausolée""]","[""Skriptorium"",""Reliquienkammer"",""Sanktum-Raum des Kriegsrats"",""Mausoleum""]","[""写字室"",""聖廟"",""サンクタムの戦争"",""霊廟""]","[""필사실"",""성유물 보관실"",""전쟁의 성역"",""능묘""]","[""Casa Capitular"",""Relicário"",""Guerra Santa"",""Mausoléu""]","[""Скрипторий"",""Реликварий"",""Санктум Беллум"",""Некрополь""]","[""Sala del escriba"",""Relicario"",""Sala de guerra"",""Mausoleo""]","[""ห้องร่างอักษร"",""ห้องวัตถุโบราณ"",""ห้องการศึก"",""ห้องฝังศพ""]","[""墓影書坊"",""聖物間"",""聖域戰火"",""靜縊陵墓""]",[],"",""
7,"Vault","","",223,222,"","","","","","","","","","","","","","[""Repository"",""Treasury"",""Forsaken Arcae"",""Templar Coffers""]","[""Dépôt"",""Trésor"",""Coffre-forts délaissés"",""Coffres des Templiers""]","[""Repositorium"",""Schatzkammer"",""Verlassene Arkaden"",""Templer-Schatztruhen""]","[""貯蔵所"",""宝庫"",""見捨てられたアーケイ"",""テンプラーの金庫""]","[""저장소"",""보물 창고"",""버림받은 귀중품 보관소"",""템플러 궤짝""]","[""Repositório"",""Tesouraria"",""Arca dos Abandonados"",""Cofres dos Templários""]","[""Хранилище"",""Сокровищница"",""Арки Отрекшихся"",""Сундуки жрецов""]","[""Depósito"",""Tesorería"",""Arcas olvidadas"",""Cofres templarios""]","[""ห้องเก็บของ"",""ห้องเก็บทรัพย์"",""ห้องเก็บสมบัติที่ถูกทอดทิ้ง"",""ห้องเก็บกำปั่นเทมพลาร์""]","[""展覽室"",""藏寶"",""被遺忘的文案"",""聖宗寶盒""]",[],"",""
8,"Puzzle","","",227,226,"","","","","","","","","","","","","","[""Puzzle"",""Conundrum"",""Enigma"",""Quandary""]","[""Puzzle"",""Casse-tête"",""Énigme"",""Dilemme""]","[""Rätsel"",""Mysterium"",""Enigma"",""Zwickmühle""]","[""パズル"",""難問"",""謎"",""ジレンマ""]","[""퍼즐"",""난제"",""수수께끼"",""진퇴양난""]","[""Quebra-cabeça"",""Charada"",""Enigma"",""Dilema""]","[""Головоломка"",""Загадка"",""Тайна"",""Затруднение""]","[""Puzle"",""Rompecabezas"",""Enigma"",""Dilema""]","[""ปริศนาชวนคิด"",""ปริศนาท้าทาย"",""ปริศนาลึกลับ"",""ปริศนาแสนฉงน""]","[""謎題"",""難題"",""謎物"",""未知""]",[],"",""
9,"Boss","","",231,232,1,"",1,"","","","","","","","","","","[""Collapsing Cavern"",""Ceremonial Chamber"",""Sand Pit"",""Outside of Time""]","[""Caverne menaçante"",""Chambre cérémonielle"",""Fosse de sable"",""Hors du temps""]","[""Einstürzende Höhle"",""Zeremonienkammer"",""Sandgrube"",""Jenseits der Zeit""]","[""崩壊する洞窟"",""式典の間"",""砂場"",""時の外側""]","[""무너지는 동굴"",""의식실"",""모래 구덩이"",""시간의 밖""]","[""Caverna em Colapso"",""Câmara Cerimonial"",""Fosso de Areia"",""Fora do Tempo""]","[""Обваливающаяся пещера"",""Церемониальный зал"",""Песчаная яма"",""Вне времени""]","[""Caverna derrumbada"",""Cámara ceremonial"",""Foso de arena"",""Fuera del tiempo""]","[""ถ้ำทรุดตัว"",""ห้องประกอบพิธี"",""หลุมทราย"",""นอกเหนือกาลเวลา""]","[""崩塌洞窟"",""儀式之廳"",""沙坑"",""時間之外""]",[],"",""
