"rownum","ActiveSkill","BuffReserve","BuffCount","bool_48","Stats"
0,667,2218,2219,"",[18004]
1,668,2220,2221,"",[18005]
2,669,2222,2223,"",[18006]
3,670,2224,2225,"","[18006,18004,18005]"
4,671,2226,2227,"",[18007]
5,672,2228,2229,"",[18008]
6,673,2230,2231,"",[18009]
7,674,2232,2233,"",[18010]
8,675,2234,2235,"",[18011]
9,676,2240,2241,1,[18113]
10,677,2243,2244,"",[18127]
11,678,2246,2247,"",[]
12,679,2248,2249,"","[18133,18134]"
13,801,2375,2376,1,[18893]
14,866,2482,2483,"","[19928,19929,19930]"
15,882,2531,2532,"",[20143]
16,898,2547,2548,"",[20299]
17,937,2651,2652,"",[21370]
18,945,2689,"","",[]
19,946,2687,2688,"",[21717]
20,947,2690,2691,"",[21722]
21,899,2786,2787,"",[20299]
22,1004,2810,2811,"",[23012]
