"rownum","BetrayalJob","BetrayalTarget","Rank","rid_36"
0,4,16,1,0
1,4,16,2,1
2,4,16,3,2
3,4,16,4,3
4,4,11,1,4
5,4,11,2,5
6,4,11,3,6
7,4,11,4,7
8,3,6,1,8
9,3,6,2,9
10,3,6,3,10
11,3,6,4,11
12,1,6,1,12
13,1,6,2,13
14,1,6,3,14
15,1,6,4,15
16,2,6,1,16
17,2,6,2,17
18,2,6,3,18
19,2,6,4,19
20,4,6,1,20
21,4,6,2,21
22,4,6,3,22
23,4,6,4,23
24,4,7,1,24
25,4,7,2,25
26,4,7,3,26
27,4,7,4,27
28,4,12,1,28
29,4,12,2,29
30,4,12,3,30
31,4,12,4,31
32,4,3,1,32
33,4,3,2,33
34,4,3,3,34
35,4,3,4,35
36,4,5,1,36
37,4,5,2,37
38,4,5,3,38
39,4,5,4,39
40,2,5,1,40
41,2,5,2,41
42,2,5,3,42
43,2,5,4,43
44,1,5,1,44
45,1,5,2,45
46,1,5,3,46
47,1,5,4,47
48,4,14,1,48
49,4,14,2,49
50,4,14,3,50
51,4,14,4,51
