"rownum","Id","MiscObjects","[rid]_20","i32_36","i32_40","i32_44","i32_48","i32_52","i32_56","i32_60","i32_64","bool_68","string_69","i32_77","bool_81","i32_82"
0,40,[],[],4,0,0,0,0,2,10,4,"","",2,"",0
1,41,[],[],5,0,0,0,0,1,0,7,"","",2,"",0
2,43,[60],[],5,0,0,0,0,1,0,7,"","",2,"",0
3,44,[],[],4,0,0,0,0,1,0,7,"","",2,"",0
4,86,"[81,82,83]",[],4,3,7,0,0,1,0,7,"","pods",2,1,0
5,91,[111],[],4,0,0,0,0,2,0,2,"","pods",2,1,0
6,92,[112],[],4,0,0,0,0,1,0,7,"","",2,"",0
7,93,[114],[],4,0,0,0,0,1,0,7,"","",2,"",0
8,95,[117],[],4,12,12,0,0,2,13,2,"","",2,"",0
9,96,[584],[],4,0,0,0,0,1,0,7,"","blood_orb",2,"",0
10,98,[119],[],4,0,0,0,0,1,0,7,"","",2,"",0
11,103,[120],[],4,0,0,0,0,1,0,7,"","",2,"",0
12,109,[445],[],4,0,0,0,0,1,0,7,"","pods",2,1,0
13,117,[512],[],4,0,0,0,0,1,0,4,"","",2,"",0
14,118,[513],[],4,0,0,0,0,1,0,4,"","",2,"",0
15,119,[514],[],4,0,0,0,0,1,0,4,"","",2,"",0
16,120,[515],[],4,0,0,0,0,1,0,4,"","",2,"",0
17,121,[516],[],4,0,0,0,0,1,0,4,"","",2,"",0
18,122,[517],[],4,0,0,0,0,1,0,4,"","",2,"",0
19,123,[518],[],4,0,0,0,0,1,0,4,"","",2,"",0
20,124,[519],[],4,0,0,0,0,1,0,4,"","",2,"",0
21,1000,"[124,125,126]",[],4,0,0,0,0,2,0,4,"","",2,"",0
22,1001,"[124,125,126]",[],4,0,0,0,0,2,0,4,"","",2,"",0
23,1002,"[124,125,126]",[],3,0,0,0,0,1,0,2,"","",2,"",0
24,1003,"[124,125,126]",[],4,0,5,0,0,1,0,7,"","",2,1,0
25,1004,[128],[],4,0,0,0,0,1,0,7,"","flank_markers",2,1,0
26,1005,[130],[],3,0,0,0,0,1,0,7,"","",2,"",0
27,1006,[131],[],4,0,0,0,0,1,0,7,"","sand_golem_spike",2,1,0
28,2000,[],[],4,0,0,0,0,1,0,7,"","",2,"",0
29,1007,"[133,132]",[],4,0,0,0,0,1,0,7,"","mastodon_spike",2,1,0
30,1008,[],[],4,0,0,0,0,1,0,2,"","forsaken_ground_effect",2,1,0
31,1009,[134],[],4,0,0,0,0,1,0,7,"","bone_storm",2,1,0
32,1010,[],[],4,0,0,0,0,1,0,7,"","",2,"",0
33,1011,[135],[],4,0,0,0,0,1,0,4,"","meteormarker",2,1,0
34,1012,[136],[],4,0,0,0,0,1,0,4,"","stormmarker",2,1,0
35,1013,"[137,140]",[],4,0,0,0,180,1,0,4,"","arenaspear",2,1,0
36,1014,[],[],4,0,0,0,0,1,0,2,"","cascadespear",2,1,0
37,1015,[156],[],4,0,0,0,0,1,0,2,"","coins",2,1,0
38,1016,[159],[],3,0,0,0,0,1,0,7,"","",2,"",0
39,1017,[163],[],4,0,0,0,0,1,0,2,"","stalagmites",2,1,0
40,1018,[164],[],4,0,0,0,0,1,0,7,"","bone_walls",2,1,0
41,1019,"[166,167,168]",[],4,0,0,0,0,1,0,7,"","slam_cracks",2,1,0
42,1020,[169],[],4,0,0,0,-90,1,0,2,"","fire_wall_bone",2,1,0
43,1021,[169],[],4,0,0,0,90,1,0,2,"","fire_wall_bone",2,1,0
44,1022,[173],[],4,0,0,0,0,1,0,2,"","flamewall_fire",2,1,0
45,1023,[176],[],4,0,0,0,0,1,0,2,"","",2,"",0
46,1024,[174],[],4,0,0,0,0,1,0,7,"","",2,"",0
47,1025,[175],[],4,0,0,0,0,1,0,7,"","",2,"",0
48,1026,[178],[],4,0,0,0,0,1,0,7,"","",2,"",0
49,1027,[177],[],4,0,0,0,0,1,0,7,"","",2,"",0
50,1028,[169],[],4,0,0,0,0,1,0,2,"","fire_wall_bone",2,1,0
51,1029,[180],[],4,0,0,0,0,1,0,2,"","",2,"",0
52,1030,[181],[],4,0,0,0,0,1,0,2,"","",2,"",0
53,1031,[182],[],4,0,0,0,0,1,0,2,"","",2,"",0
54,1032,[183],[],4,0,0,0,0,1,0,7,"","",2,"",0
55,1034,[],[],4,0,0,0,0,1,0,2,"","",2,"",0
56,1035,[186],[],4,0,0,0,0,1,0,7,"","shroomers",2,1,0
57,1036,[188],[],4,0,0,0,0,1,0,7,"","slam_spikes",2,1,0
58,1037,[189],[],4,0,0,0,0,1,0,7,"","rocks",2,1,0
59,1038,[],[],4,0,0,0,0,1,0,7,"","geyser",2,1,0
60,1039,[],[],4,0,0,0,0,1,0,7,"","swordnado",2,"",0
61,1040,[384],[],4,0,0,0,0,1,0,7,"","",2,"",0
62,1041,[387],[],4,0,0,0,0,1,0,7,"","spore_proj",2,1,0
63,148,[164],[],4,0,0,0,0,1,0,7,"","bone_walls",2,1,0
64,1042,[160],[],3,0,0,0,0,1,0,7,"","",2,"",0
65,1043,[413],[],4,0,0,0,0,1,0,4,"","my_icicles",2,1,0
66,1044,[426],[],4,0,0,0,0,1,0,7,"","my_icicles",2,1,0
67,1045,[130],[],3,0,0,0,0,1,0,7,"","",2,"",0
68,1046,[449],[],4,0,0,0,0,1,0,2,"","my_minigun_portal",2,1,0
69,1047,[454],[],4,0,0,0,0,1,0,7,"","my_solar_orbs",2,1,0
70,1048,[470],[],4,0,0,0,0,1,0,7,"","my_spear_rocks",2,1,0
71,1049,[471],[],4,0,0,0,0,1,0,2,"","my_fence_posts",2,1,0
72,1050,[],[],4,0,0,0,0,1,0,2,"","my_bones",2,1,0
73,1051,"[480,481,482]",[],4,0,0,0,0,1,0,7,"","pods",2,1,0
74,1052,[478],[],4,0,0,0,0,1,0,7,"","tree_spawner",2,1,0
75,1053,[483],[],4,0,0,0,0,1,0,7,"","stationary_laser_target",2,1,0
76,1054,[138],[],4,0,0,0,0,1,0,2,"","cascadespear",2,1,0
77,1055,[493],[],4,0,0,0,0,1,0,7,"","razerocks",2,1,0
78,1056,[499],[],4,0,0,0,0,1,0,7,"","spikes",2,1,0
79,1057,[501],[],4,0,0,0,0,1,0,4,"","my_icicles",2,1,0
80,1058,[503],[],4,0,0,0,0,1,0,4,"","all_my_traps",2,1,0
81,1059,[504],[],12,0,0,0,0,1,0,4,"","trails",2,1,0
82,1060,[506],[],3,0,0,0,0,1,0,4,"","",2,"",0
83,1061,[507],[],4,0,0,0,0,1,0,7,"","flowers",2,1,0
84,1062,[512],[],4,0,0,0,0,1,0,4,"","",2,"",0
85,1063,[513],[],4,0,0,0,0,1,0,4,"","",2,"",0
86,1064,[514],[],4,0,0,0,0,1,0,4,"","",2,"",0
87,1065,[515],[],4,0,0,0,0,1,0,4,"","",2,"",0
88,1066,[516],[],4,0,0,0,0,1,0,4,"","",2,"",0
89,1067,[517],[],4,0,0,0,0,1,0,4,"","",2,"",0
90,1068,[518],[],4,0,0,0,0,1,0,4,"","",2,"",0
91,1069,[519],[],4,0,0,0,0,1,0,4,"","",2,"",0
92,1070,[521],[],4,0,0,0,0,1,0,2,"","flamewall_fire",2,1,0
93,1071,[525],[],4,0,0,0,0,1,0,2,"","",2,"",0
94,1072,[546],[],3,0,0,0,0,1,0,2,"","",2,"",0
95,1073,[564],[],4,0,0,0,0,1,0,7,"","my_walls",2,"",0
96,1074,[165],[],4,0,0,0,0,1,0,7,"","bone_walls",2,1,0
97,1075,[566],[],4,0,0,0,0,1,0,7,"","",2,"",0
98,1076,"[568,569]",[],2,0,6,0,0,1,0,7,"","",2,"",0
99,1077,"[568,569]",[],4,2,6,0,0,1,0,7,"","",2,"",0
100,1078,[604],[],4,0,0,0,0,1,0,7,"","tree_spawner",2,1,0
101,1079,[593],[],4,0,0,0,0,1,0,7,"","",2,"",0
102,1080,[594],[],4,0,0,0,0,1,0,7,"","",2,"",0
103,1081,"[596,597,598]",[],4,0,0,0,0,1,0,2,"","",2,"",0
104,1082,[611],[],4,0,0,0,0,1,0,7,"","my_solar_orbs",2,1,0
105,1083,[612],[],4,0,0,0,0,1,0,7,"","my_mana_zones",2,1,0
106,1084,[617],[],4,0,0,0,0,1,0,7,"","",2,"",0
107,1085,[502],[],4,0,0,0,0,1,0,4,"","my_icicles",2,1,0
108,1086,[648],[],4,0,0,0,0,1,0,4,"","all_my_traps",2,1,0
109,1087,[],[],4,0,0,0,0,1,0,4,"","orbits",2,1,0
110,1088,[300],[],4,0,0,0,0,1,0,4,"","",2,1,0
111,1089,[660],[],4,0,0,0,0,1,0,4,"","",2,"",0
112,1090,[505],[],12,0,0,0,0,1,0,4,"","trails",2,1,0
113,1091,[567],[],4,0,0,0,0,1,0,7,"","",2,"",0
114,1092,[677],[],4,0,0,0,0,1,0,7,"","lava_pool",2,1,0
115,1093,[682],[],12,0,0,0,0,1,0,7,"","my_mines",2,1,0
116,1094,[705],[],4,0,0,0,0,1,0,7,"","pounce_loc",2,"",0
117,1095,[710],[],4,0,0,0,0,1,0,7,"","",2,"",0
118,1096,[157],[],4,0,0,0,0,1,0,2,"","coins",2,1,0
119,1097,[715],[],4,0,0,0,0,1,0,7,"","tree_spawner",2,1,0
120,1098,[719],[],4,0,0,0,0,1,0,7,"","lucky_object",2,1,0
121,1099,[725],[],4,0,0,0,0,1,0,7,"","",2,"",0
122,1100,[727],[],4,0,0,0,0,1,0,7,"","tree_spawner",2,1,0
123,1101,[726],[],4,0,0,0,0,1,0,7,"","tree_spawner",2,1,0
124,1102,[563],[],4,0,0,0,0,1,0,7,"","my_walls",2,"",0
125,1103,[],[],4,0,0,0,0,1,0,2,"","",2,"",0
126,1104,[714],[],4,0,0,0,0,1,0,7,"","tree_spawner",2,1,0
127,1105,[749],[],4,0,0,0,0,1,0,7,"","",2,"",0
128,1106,[752],[],3,0,0,0,0,1,0,7,"","my_mines",2,"",0
129,1107,[756],[],4,0,0,0,0,1,0,4,"","my_icicles",2,1,0
130,1108,[758],[],4,0,0,0,0,1,0,4,"","my_icicles",2,1,0
131,1109,[769],[],4,0,0,0,0,1,0,7,"","my_proximity_mines",2,1,0
132,1110,[804],[],4,0,0,0,0,1,0,7,"","my_walls",2,"",0
133,1111,[777],[],4,0,0,0,0,1,0,4,"","all_my_traps",2,1,0
