"rownum","Id","Values"
0,"CityMinSpawnRadius",[75]
1,"CityRadius",[4]
2,"CityMinMaps",[4]
3,"BreachCityRadius","[4,4,4,6,6]"
4,"BreachCityMinMaps","[4,4,4,20,20]"
5,"NoCitySpawnWeighting","[10000,10000,10000,10000,5000]"
6,"CitadelCitySpawnWeighting",[2500]
7,"BreachCitySpawnWeighting",[4400]
8,"CorruptionCityWeighting",[5600]
9,"AbyssCityWeighting","[0,0,0,0,5000]"
10,"CorruptionIdealRadius",[5]
11,"CorruptionMinMaps",[12]
12,"CorruptionMinSpawnRadius",[4]
13,"TowerMinRadius",[10]
14,"TowerSeparationRadius",[3]
15,"HiddenMapChance",[5000]
16,"HiddenMapChanceOcean",[3000]
17,"HiddenMapChanceForest",[10000]
18,"MaxTowersPerBlock",[1]
19,"PowerfulMapBossChance",[2000]
20,"PowerfulMapBossMinRadius",[5]
21,"MinExtraContentPerBlock",[1]
22,"MaxExtraContentPerBlock",[2]
23,"RandomMotherSoulChance",[3600]
24,"MinExpeditionsPerOceanBlock","[0,0,1,1,1]"
25,"MaxExpeditionsPerOceanBlock",[64]
