"rownum","StatsKey","i32_16","MonsterPacksKeys","AdditionalMonsterPacksStatMode","PackCountStatsKey","StatsKeys","StatsValues","i32_88","PackSizeStatsKey","Rarity"
0,6460,1,[],1,"",[],[],0,"",""
1,6459,1,[],0,2169,[],[],0,16334,""
2,6793,1,[],0,2169,[],[],0,16335,""
3,8771,2,[],0,"",[],[],0,"",""
4,4826,2,[],0,"",[],[],0,"",""
5,4827,2,[],0,"",[],[],0,"",""
6,4828,2,[],0,"",[],[],0,"",""
7,5390,2,[],0,"",[],[],0,"",""
8,4829,2,[],0,"",[],[],0,"",""
9,4830,2,[],0,"",[],[],0,"",""
10,4880,2,[],0,"",[],[],0,"",""
11,4909,2,[],0,"",[],[],0,"",""
12,4884,2,[],0,"",[4887],[1],0,"",""
13,4885,2,[],0,"",[],[],15,"",""
14,10112,2,[],0,"",[10150],[1],126,"",""
15,10113,2,[],0,"",[10149],[1],127,"",""
16,13977,2,[],0,13977,[],[],0,"",""
17,14557,3,[],1,"",[],[],0,"",""
18,19631,2,"[774,775,776]",0,"",[],[],0,"",""
19,19632,2,[777],0,"",[],[],0,"",""
20,19633,2,"[778,778]",0,"",[],[],0,"",""
21,19634,2,"[780,781,782,783,784]",0,"",[],[],0,"",""
22,25775,2,[777],0,"",[],[],3,"",""
23,25776,2,"[778,778]",0,"",[],[],3,"",""
24,25777,2,"[780,781,782,783,784]",0,"",[],[],3,"",""
25,19635,2,"[785,786,787]",0,"",[],[],0,"",""
26,25341,2,"[785,786,787]",0,"",[],[],126,"",2
27,19636,2,"[788,789,790]",0,"",[],[],0,"",""
28,19637,2,"[791,792,793]",0,"",[],[],0,"",""
29,19638,2,"[794,795,796,797]",0,"",[],[],0,"",""
30,19639,2,"[798,799,800]",0,"",[],[],0,"",""
31,21593,2,"[974,975,976,977,978]",0,"",[],[],0,"",""
32,23877,2,[1028],0,"",[],[],0,"",""
33,24759,2,[1101],0,"",[],[],0,"",""
34,24760,2,[1102],0,"",[],[],0,"",""
35,24761,2,[1103],0,"",[],[],0,"",""
36,24762,2,[1104],0,"",[],[],0,"",""
37,24763,2,[1105],0,"",[],[],0,"",""
38,24764,2,[1106],0,"",[],[],0,"",""
