"rownum","MainHand","OffHand","SkillGems","bool_48"
0,0,0,[512],""
1,16,0,[513],""
2,20,0,[514],""
3,3,0,[515],""
4,0,3,[515],""
5,3,3,[516],""
6,8,0,[517],""
7,4,0,[518],""
8,0,4,[518],""
9,4,4,[519],""
10,9,0,[520],""
11,5,0,[521],""
12,0,5,[521],""
13,5,5,[522],""
14,10,0,[523],""
15,14,0,[524],""
16,0,14,[524],""
17,14,14,[525],""
18,1,0,[526],""
19,0,1,[526],""
20,1,1,[527],""
21,17,21,"[529,530]",1
22,17,0,"[528,530]",""
23,6,0,[531],""
24,18,0,[532],""
25,10,10,[522],""
26,10,5,[522],""
27,5,10,[522],""
28,0,10,[521],""
29,8,8,[516],""
30,8,3,[516],""
31,3,8,[516],""
32,0,8,[515],""
33,9,9,[519],""
34,9,4,[519],""
35,4,9,[519],""
36,0,9,[518],""
37,26,0,[512],""
