"rownum","Id","EffectVirtualPath","PreloadGroupsKeys","EffectHASH32","i32_36","ObjectHASH32"
0,"LegacyWaypointEffect","Metadata/Effects/Environment/waypoint/new/WaypointEffect",[],3356510134,1,1418994860
1,"Doodad","Metadata/MiscellaneousObjects/Doodad",[],706408584,1,606705012
2,"Stash","Metadata/MiscellaneousObjects/Stash",[],2817685266,1,1182202488
3,"GuildStash","Metadata/MiscellaneousObjects/GuildStash",[],4197940191,1,3992171652
4,"DefaultWaypoint","Metadata/MiscellaneousObjects/Waypoint",[],552129418,1,608223434
5,"AreaTransition","Metadata/MiscellaneousObjects/AreaTransition",[],726109394,1,3791283893
6,"Checkpoint","Metadata/MiscellaneousObjects/Checkpoint",[],4188434745,1,2541115960
7,"EndgameCheckpoint","Metadata/MiscellaneousObjects/Checkpoints/Checkpoint_Endgame",[],1945948643,1,2090574582
8,"EndgameBossCheckpoint","Metadata/MiscellaneousObjects/Checkpoints/Checkpoint_Endgame_Boss",[],600177083,1,2504496934
9,"IncursionTempleCheckpoint","Metadata/MiscellaneousObjects/Checkpoints/Checkpoint_Incursion",[41],1563383232,4,2780071195
10,"KalguuranCheckpoint","Metadata/MiscellaneousObjects/Checkpoints/Checkpoint_Kalguuran",[],939703771,1,3913860306
11,"GenericDynamicCheckpoint","Metadata/MiscellaneousObjects/CheckpointDynamic",[],2108536584,1,4157098661
12,"Shrine","Metadata/Shrines/Shrine",[],2857838571,4,2543391360
13,"Sector","Metadata/MiscellaneousObjects/Sector",[],942138868,1,802365645
14,"AreaTransitionDoodad","Metadata/MiscellaneousObjects/AreaTransitionDoodad",[24],1707275484,4,1904559485
15,"AreaTransitionBlockage","Metadata/MiscellaneousObjects/AreaTransitionBlockage",[24],343817293,4,1017271834
16,"DoodadLayerDoodad","Metadata/MiscellaneousObjects/DoodadLayerDoodad",[],1929453020,4,3137372405
17,"TutorialArrow","Metadata/MiscellaneousObjects/TutorialArrow",[],2310641521,1,1095568763
18,"ReviveIcon","Metadata/MiscellaneousObjects/ReviveIcon",[],3272868533,1,3705012237
19,"DeathIcon","Metadata/MiscellaneousObjects/DeathIcon",[],3711259338,1,3876768285
20,"InfernalBlowExplode","Metadata/Effects/Spells/infernal_blow/InfernalBlowExplosion",[],567876608,3,1953903615
21,"Shatter","Metadata/Effects/Spells/shatter/Shatter",[],2647986052,2,1917692696
22,"FrostWallSegment","Metadata/Effects/Spells/frostwall/FrostWall",[],1667146716,4,249790074
23,"FrostWallNewSegment","Metadata/MiscellaneousObjects/FrostWall/FrostWall",[],1190324927,4,729834390
24,"Hoarfrost","Metadata/MiscellaneousObjects/FrostWall/Hoarfrost",[],3717846225,4,3927771539
25,"WorldItem","Metadata/MiscellaneousObjects/WorldItem",[],1418889786,1,2994149978
26,"MapDeviceQuest","Metadata/MiscellaneousObjects/MapDevice",[44],561515709,4,4017980719
27,"FireBossExplode","Metadata/Effects/Spells/monsters_effects/rare_explode/fire",[],1665864013,3,3938204142
