"rownum","MinLevel","i32_4","i32_8","i32_12","i32_16","i32_20","i32_24","i32_28","f32_32","i32_36","i32_40","i32_44","i32_48","i32_52","i32_56","i32_60","i32_64","i32_68","i32_72","i32_76","i32_80","i32_84"
0,1,1,1,0,0,0,0,2000,4,5,1,1,5,600,1000,1000,50000,600,1,-30,0,700
1,2,1,1,0,0,0,0,2000,4,5,1,1,5,600,1000,1000,50000,600,1,-30,0,700
2,3,1,1,0,0,0,0,2000,4,5,1,1,5,600,1000,1000,50000,600,1,-30,0,700
3,4,1,1,2,5,0,1,2000,4,5,1,1,5,600,1000,1000,50000,600,1,-30,0,700
4,5,1,1,2,5,0,1,2000,4,5,3,3,5,600,1000,1000,50000,600,1,-30,0,700
5,6,1,1,2,5,0,1,2000,4,5,1,1,5,600,1000,1000,50000,600,1,-30,0,700
6,7,1,1,2,5,0,1,2000,4,7,2,2,5,600,1000,1000,40000,500,1,-30,0,700
7,8,1,1,2,5,0,1,2000,4,7,2,2,5,600,1000,1000,40000,500,1,-30,0,700
8,9,1,1,2,5,0,1,2000,4,7,2,2,5,600,1000,1000,40000,500,1,-30,0,700
9,10,1,1,2,5,0,1,2000,4,7,3,3,5,600,1000,1000,40000,500,1,-30,0,700
10,11,1,1,2,5,0,1,2000,4,7,3,3,5,600,1000,1000,40000,500,1,0,0,700
11,12,1,1,2,5,0,1,2000,4,7,2,2,5,600,1000,1000,40000,500,1,-30,0,700
12,13,1,1,2,5,0,1,2000,5,7,2,2,5,600,1000,1000,40000,500,1,-30,0,700
13,14,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,40000,500,1,-30,0,700
14,15,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,40000,500,1,-30,0,700
15,16,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
16,17,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
17,18,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
18,19,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
19,20,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
20,21,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
21,22,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
22,23,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
23,24,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
24,25,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
25,26,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
26,27,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
27,28,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
28,29,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
29,30,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
30,31,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
31,32,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
32,33,1,1,2,5,0,1,2000,5,7,3,3,5,600,1000,1000,30000,500,2,-30,0,700
33,34,1,1,3,7,1,2,2000,6,7,3,3,5,800,1000,1000,30000,500,2,-30,0,700
34,35,1,1,3,7,1,2,2000,6,7,3,3,5,800,1000,1000,30000,500,2,-30,0,700
35,36,1,1,3,7,1,2,2000,6,7,3,3,5,800,1000,1000,30000,500,2,-30,0,700
36,37,1,1,3,7,1,2,2000,6,7,3,3,5,800,1000,1000,30000,500,2,-30,0,700
37,38,1,1,3,7,1,2,2000,6,7,3,3,5,800,1000,1000,30000,500,2,-30,0,700
38,39,1,1,3,7,1,2,2000,6,7,3,3,5,800,1000,1000,30000,500,2,-30,0,700
39,40,1,1,3,7,1,2,2000,6,7,3,3,5,800,1000,1000,30000,500,2,-30,0,700
40,41,1,1,3,7,1,2,2000,6,7,3,3,5,800,1000,1000,30000,500,2,-30,0,700
41,42,1,1,3,7,1,2,2000,6,7,3,3,5,800,1000,1000,30000,500,2,-30,0,700
42,43,1,1,3,7,1,2,2000,6,7,3,3,5,800,1000,1000,30000,500,2,-30,0,700
43,44,1,1,3,7,1,2,2000,6,7,3,3,5,800,1000,1000,30000,500,2,-30,0,700
44,45,1,1,3,7,1,2,2000,6,7,3,3,5,1000,1000,1000,30000,500,2,-30,0,700
45,46,1,1,4,9,1,2,2000,7,7,3,3,5,1000,1000,1000,30000,500,2,-30,0,700
46,47,1,1,4,9,1,2,2000,7,7,3,3,5,1000,1000,1000,30000,500,2,-30,0,700
47,48,1,1,4,9,1,2,2000,7,7,3,3,5,1000,1000,1000,30000,500,2,-30,0,700
48,49,1,1,4,9,1,2,2000,7,7,3,3,5,1000,1000,1000,30000,500,2,-30,0,700
49,50,1,1,4,9,1,2,2000,7,7,3,3,5,1000,1000,1000,30000,500,2,-30,0,700
50,51,1,1,4,9,1,2,2000,7,7,3,3,5,1000,1000,1000,30000,500,2,-30,0,700
51,52,1,1,4,9,1,2,2000,7,7,3,3,5,1000,1000,1000,30000,500,2,-30,0,700
52,53,1,1,4,9,1,2,2000,7,7,3,3,5,1000,1000,1000,25000,500,2,-30,0,700
53,54,1,1,4,9,1,2,2000,7,7,3,3,5,1000,1000,1000,25000,500,2,-30,0,700
54,55,1,1,4,9,1,2,2000,7,7,3,3,5,1000,1000,1000,25000,500,2,-30,0,700
55,56,1,1,4,9,1,2,2000,7,7,3,3,5,1000,1000,1000,25000,500,2,-30,0,700
56,57,1,1,4,9,1,2,2000,7,7,3,3,5,1000,1000,1000,25000,500,2,-30,0,700
57,58,1,1,4,9,1,2,2000,7,7,3,3,5,1000,1000,1000,25000,500,2,-30,0,700
58,59,1,1,4,9,1,2,2000,7,7,3,3,5,1000,1000,1000,25000,500,2,-30,0,700
59,60,1,1,4,9,1,2,2000,7,7,3,3,5,1000,1000,1000,25000,500,2,-30,0,700
60,61,1,1,4,9,1,2,2000,8,7,3,3,5,1000,1000,1000,25000,500,2,-30,0,700
61,62,1,1,4,9,1,2,2000,8,7,3,3,5,1000,1000,1000,25000,500,2,-30,0,700
62,63,1,1,4,9,1,2,2000,8,7,3,3,5,1000,1000,1000,25000,500,2,-30,0,700
63,64,1,1,4,9,1,2,2000,8,7,3,3,5,1000,1000,1000,25000,500,2,-30,0,700
64,65,3,3,4,9,1,2,2000,9,9,3,3,5,1000,1000,1000,25000,100,2,0,0,0
65,66,3,3,4,9,1,2,2000,9,9,3,3,5,1000,1000,1000,25000,100,2,0,0,0
66,67,3,3,4,9,1,2,2000,9,9,3,3,5,1000,1000,1000,25000,100,2,0,0,0
67,68,3,3,4,9,1,2,2000,9,9,3,3,5,1000,1000,1000,25000,100,2,0,0,0
68,69,3,3,4,9,1,2,2000,9,9,3,3,5,1000,1000,1000,25000,100,2,0,0,0
69,70,3,3,4,9,1,2,2000,9,11,3,3,5,1000,1000,1000,25000,100,2,0,0,0
70,71,3,3,4,9,1,2,2000,9,11,3,3,5,1000,1000,1000,25000,100,2,0,0,0
71,72,3,3,4,9,1,2,2000,9,11,3,3,5,1000,1000,1000,25000,100,2,0,0,0
72,73,3,3,4,9,1,2,2000,9,11,3,3,5,1000,1000,1000,25000,100,2,0,0,0
73,74,3,3,4,9,1,2,2000,9,11,3,3,5,1000,1000,1000,25000,100,2,0,0,0
74,75,3,3,4,9,1,2,2000,9,13,3,3,5,1000,1000,1000,25000,100,2,0,0,0
75,76,3,3,4,9,1,2,2000,9,13,3,3,5,1000,1000,1000,25000,100,2,0,0,0
76,77,3,3,4,9,1,2,2000,10,13,3,3,5,1000,1000,1000,25000,100,2,0,0,0
77,78,3,3,4,9,1,2,2000,10,13,3,3,5,1000,1000,1000,25000,100,2,0,0,0
78,79,3,3,4,9,1,2,2000,10,13,3,3,5,1000,1000,1000,25000,100,2,0,0,0
79,80,3,3,4,9,1,2,2000,10,15,3,3,5,1000,1000,1000,25000,100,2,0,0,0
80,81,3,3,4,9,1,2,2000,10,15,3,3,5,1000,1000,1000,25000,100,2,0,0,0
81,82,3,3,4,9,1,2,2000,10,15,3,3,5,1000,1000,1000,25000,100,2,0,0,0
82,83,3,3,4,9,1,2,2000,10,15,3,3,5,1000,1000,1000,25000,100,2,0,0,0
