"rownum","i32_0","i32_4"
0,1,180
1,2,190
2,3,200
3,4,210
4,5,220
5,6,230
6,7,240
7,8,260
8,9,280
9,10,300
10,11,320
11,12,340
12,13,360
13,14,380
14,15,400
15,16,420
16,17,440
17,18,460
18,19,480
19,20,500
20,21,530
21,22,560
22,23,590
23,24,620
24,25,650
25,26,680
26,27,710
27,28,740
28,29,780
29,30,820
30,31,860
31,32,900
32,33,940
33,34,980
34,35,1030
35,36,1080
36,37,1130
37,38,1180
38,39,1230
39,40,1290
40,41,1350
41,42,1410
42,43,1470
43,44,1540
44,45,1610
45,46,1680
46,47,1750
47,48,1830
48,49,1910
49,50,1990
50,51,2080
51,52,2170
52,53,2270
53,54,2370
54,55,2470
55,56,2580
56,57,2690
57,58,2810
58,59,2930
59,60,3060
60,61,3190
61,62,3330
62,63,3470
63,64,3620
64,65,3780
65,66,3940
66,67,4110
67,68,4290
68,69,4470
69,70,4660
70,71,4860
71,72,5070
72,73,5290
73,74,5520
74,75,5750
75,76,5990
76,77,6240
77,78,6500
78,79,6780
79,80,7070
80,81,7370
81,82,7680
82,83,8000
83,84,8000
84,85,8000
85,86,8000
86,87,8000
87,88,8000
88,89,8000
89,90,8000
90,91,8000
91,92,8000
92,93,8000
93,94,8000
94,95,8000
95,96,8000
96,97,8000
97,98,8000
98,99,8000
99,100,8000
