"rownum","RewardOffer","RewardOrder","i32_20","i32_24","i32_28","i32_32","Reward","RewardLevel","RewardRarity","i32_72","i32_76","i32_80","i32_84","i32_88","i32_92","i32_96","RewardStack","bool_104","bool_105","[rid]_106","i32_122","i32_126","i32_130","i32_134","i32_138","i32_142","i32_146","rid_150","i32_166","[rid]_170","i32_186","bool_190"
0,0,0,0,0,8,0,3795,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,1
1,1,0,0,0,12,0,3796,4,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,1
2,3,0,0,0,12,0,3631,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
3,4,0,0,0,12,0,3644,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
4,5,0,0,0,12,0,3796,8,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,1
5,6,0,0,0,12,0,2630,11,0,0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
6,6,1,0,0,12,0,2631,11,0,0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
7,6,2,0,0,12,0,2632,11,0,0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
8,94,0,0,0,12,0,634,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
9,94,1,0,0,12,0,635,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
10,94,2,0,0,12,0,636,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
11,94,3,0,0,12,0,637,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
12,95,0,0,0,12,0,644,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
13,95,1,0,0,12,0,645,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
14,95,2,0,0,12,0,646,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
15,95,3,0,0,12,0,647,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
16,95,4,0,0,12,0,648,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
17,95,5,0,0,12,0,649,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
18,7,0,0,0,12,0,3793,15,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,1
19,8,0,0,0,12,0,3796,15,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,1
20,12,0,0,0,12,0,3793,16,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,1
21,13,0,0,0,12,0,3793,23,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,1
22,17,0,0,0,12,0,3650,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
23,9,0,0,0,12,0,3666,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
24,10,0,0,0,12,0,1907,22,1,0,8,0,0,0,12,0,1,"",1,[],4833,0,0,0,12,0,0,"",0,[],0,""
25,11,0,0,0,12,0,1927,1,0,0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
26,14,0,0,0,12,0,3796,21,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,1
27,15,0,0,0,12,0,3796,20,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,1
28,16,0,0,0,12,0,3796,20,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,1
29,18,0,0,0,12,0,3714,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
30,19,0,0,0,12,0,2567,45,1,0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
31,19,1,0,0,12,0,2568,45,1,0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
32,19,2,0,0,12,0,2569,45,1,0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
33,19,3,0,0,12,0,2570,45,1,0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
34,20,0,0,0,12,0,3793,48,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,1
35,21,0,0,0,12,0,2548,45,1,0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
36,21,1,0,0,12,0,2549,45,1,0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
37,21,2,0,0,12,0,2550,45,1,0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
38,22,0,0,0,12,0,3749,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
39,22,1,0,0,12,0,3750,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
40,23,0,0,0,12,0,3727,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
41,26,0,0,0,12,0,2586,39,2,0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
42,26,1,0,0,12,0,2587,39,2,0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
43,27,0,0,0,12,0,3673,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
44,27,1,0,0,12,0,3674,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
45,27,2,0,0,12,0,3675,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
46,28,0,0,0,12,0,35,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
47,29,0,0,0,12,0,3793,41,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,1
48,30,0,0,0,12,0,35,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
49,31,0,0,0,12,0,2623,38,1,0,8,0,0,0,12,0,1,"",1,[],4833,0,0,0,12,0,0,"",0,[],0,""
50,31,1,0,0,12,0,2624,38,1,0,8,0,0,0,12,0,1,"",1,[],4833,0,0,0,12,0,0,"",0,[],0,""
51,31,2,0,0,12,0,2625,38,1,0,8,0,0,0,12,0,1,"",1,[],4833,0,0,0,12,0,0,"",0,[],0,""
52,31,3,0,0,12,0,2626,38,1,0,8,0,0,0,12,0,1,"",1,[],4833,0,0,0,12,0,0,"",0,[],0,""
53,31,4,0,0,12,0,2627,38,1,0,8,0,0,0,12,0,1,"",1,[],4833,0,0,0,12,0,0,"",0,[],0,""
54,32,0,0,0,12,0,783,65,0,0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,1
55,33,0,0,0,12,0,3708,1,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,""
56,34,0,0,0,12,0,3793,48,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,1
57,35,0,0,0,12,0,3793,48,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,1
58,36,0,0,0,12,0,3793,48,"",0,8,0,0,0,12,0,1,"","",[],4833,0,0,0,12,0,0,"",0,[],0,1
