"rownum","Id","Controller","i32_16","i32_20","rid_24"
0,"QuickButtonX","ickButtonX",0,0,""
1,"QuickButtonY","挀欀䈀甀琀琀漀渀堀",0,0,""
2,"QuickButtonB","椀挀欀䈀甀琀琀漀渀堀",0,0,""
3,"QuickButtonA","uickButtonX",0,0,""
4,"QuickButtonLeftShoulder","QuickButtonX",0,0,""
5,"QuickButtonRightShoulder","甀椀挀欀䈀甀琀琀漀渀堀",0,0,""
6,"LeftTrigger_X","ckButtonX",0,0,12
7,"LeftTrigger_Y","ckButtonX",0,0,13
8,"LeftTrigger_B","ckButtonX",0,0,11
9,"LeftTrigger_A","ckButtonX",0,0,10
10,"RightTrigger_X","欀䈀甀琀琀漀渀堀",0,0,12
11,"RightTrigger_Y","欀䈀甀琀琀漀渀堀",0,0,13
12,"RightTrigger_B","欀䈀甀琀琀漀渀堀",0,0,11
13,"RightTrigger_A","欀䈀甀琀琀漀渀堀",0,0,10
