"rownum","WordsKey","ItemVisualIdentityKey","UniqueStashTypesKey","i32_48","i32_52","OverrideWidth","OverrideHeight","ShowIfEmptyChallengeLeague","ShowIfEmptyStandard","RenamedVersion","BaseVersion","IsAlternateArt"
0,139,15245,15,0,0,0,0,1,1,"","",""
1,1492,15246,15,2,0,0,0,1,1,"","",""
2,1530,15247,15,4,0,0,0,1,1,"","",""
3,1532,15248,15,6,0,0,0,1,1,"","",""
4,1563,15249,15,8,0,0,0,1,1,"","",""
5,1516,15250,15,10,0,0,0,1,1,"","",""
6,561,15251,15,12,0,0,0,1,1,"","",""
7,447,15252,15,14,0,0,0,1,1,"","",""
8,793,15256,15,16,0,0,0,1,1,"","",""
9,65,15258,15,18,0,0,0,1,1,"","",""
10,1497,15260,15,20,0,0,0,1,1,"","",""
11,148,15261,15,22,0,0,0,1,1,"","",""
12,141,15262,15,24,0,0,0,1,1,"","",""
13,280,15264,15,26,0,0,0,1,1,"","",""
14,1517,15265,15,28,0,0,0,1,1,"","",""
15,443,15266,15,30,0,0,0,1,1,"","",""
16,1519,15267,15,32,0,0,0,1,1,"","",""
17,251,15269,15,34,0,0,0,1,1,"","",""
18,1428,15276,15,36,0,0,0,1,1,"","",""
19,1524,15277,15,38,0,0,0,1,1,"","",""
20,1485,15278,15,40,0,0,0,1,1,"","",""
21,1536,15279,15,42,0,0,0,1,1,"","",""
22,142,15280,15,44,0,0,0,1,1,"","",""
23,1531,15281,15,46,0,0,0,1,1,"","",""
24,1569,15282,15,48,0,0,0,1,1,"","",""
25,153,15283,15,50,0,0,0,1,1,"","",""
26,1509,15291,15,52,0,0,0,1,1,"","",""
27,1490,15292,15,54,0,0,0,1,1,"","",""
28,1562,15293,15,56,0,0,0,1,1,"","",""
29,1518,15294,15,58,0,0,0,1,1,"","",""
30,259,15295,15,60,0,0,0,1,1,"","",""
31,1270,15296,15,62,0,0,0,1,1,"","",""
32,1565,15309,15,64,0,0,0,1,1,"","",""
33,185,15311,15,66,0,0,0,1,1,"","",""
34,1566,15312,15,68,0,0,0,1,1,"","",""
35,42,15313,15,70,0,0,0,1,1,"","",""
36,1623,15317,15,72,0,0,0,1,1,"","",""
37,1533,15325,15,74,0,0,0,1,1,"","",""
38,1512,15326,15,76,0,0,0,1,1,"","",""
39,1526,15327,15,78,0,0,0,1,1,"","",""
40,1522,15328,15,80,0,0,0,1,1,"","",""
41,1614,15329,15,82,0,0,0,1,1,"","",""
42,1544,15341,16,0,0,0,0,1,1,"","",""
43,1545,15342,16,2,0,0,0,1,1,"","",""
44,47,15343,16,4,0,0,0,1,1,"","",""
45,450,15344,16,6,0,0,0,1,1,"","",""
46,1429,15345,16,8,0,0,0,1,1,"","",""
47,204,15346,16,10,0,0,0,1,1,"","",""
48,1555,15347,16,12,0,0,0,1,1,"","",""
49,1514,15353,16,14,0,0,0,1,1,"","",""
50,150,15354,16,16,0,0,0,1,1,"","",""
51,1523,15355,16,18,0,0,0,1,1,"","",""
52,1430,15357,16,20,0,0,0,1,1,"","",""
53,1559,15362,16,22,0,0,0,1,1,"","",""
54,175,15363,16,24,0,0,0,1,1,"","",""
55,69,15365,16,26,0,0,0,1,1,"","",""
56,1159,15366,16,28,0,0,0,1,1,"","",""
57,1535,15367,16,30,0,0,0,1,1,"","",""
58,1540,15368,16,32,0,0,0,"","","","",""
59,1085,15369,16,34,0,0,0,1,1,"","",""
60,1552,15370,16,36,0,0,0,1,1,"","",""
61,1482,15376,16,38,0,0,0,1,1,"","",""
62,1594,15377,16,40,0,0,0,1,1,"","",""
63,1542,15378,16,42,0,0,0,1,1,"","",""
64,1527,15379,16,44,0,0,0,1,1,"","",""
65,1553,15380,16,46,0,0,0,1,1,"","",""
66,1515,15385,16,48,0,0,0,1,1,"","",""
67,1529,15386,16,50,0,0,0,1,1,"","",""
68,589,15387,16,52,0,0,0,1,1,"","",""
69,336,15388,16,54,0,0,0,1,1,"","",""
70,1574,15389,16,56,0,0,0,1,1,"","",""
71,1564,15394,16,58,0,0,0,1,1,"","",""
72,1500,15395,16,60,0,0,0,1,1,"","",""
73,261,15396,16,62,0,0,0,1,1,"","",""
74,1550,15397,16,64,0,0,0,1,1,"","",""
75,360,15398,16,66,0,0,0,1,1,"","",""
76,339,15399,16,68,0,0,0,1,1,"","",""
77,1543,15403,13,0,0,0,0,1,1,"","",""
78,93,15404,13,2,0,0,0,1,1,"","",""
79,357,15406,13,4,0,0,0,1,1,"","",""
80,1546,15410,13,6,0,0,0,1,1,"","",""
81,1575,15411,13,8,0,0,0,1,1,"","",""
82,1576,15413,13,10,0,0,0,1,1,"","",""
83,343,15414,13,12,0,0,0,1,1,"","",""
84,87,15415,13,14,0,0,0,1,1,"","",""
85,1510,15419,13,16,0,0,0,1,1,"","",""
86,1487,15420,13,18,0,0,0,1,1,"","",""
87,91,15421,13,20,0,0,0,1,1,"","",""
88,472,15422,13,22,0,0,0,1,1,"","",""
