"rownum","Id","Stats","StatValues","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","i32_56","MapObjective","VisualIdentity","bool_92"
0,"PowerfulMapBoss",[19543],[1],"Area contains a [PowerfulMapBoss|Powerful Map Boss]","La zone contient un [PowerfulMapBoss|Boss de Carte puissant]","Gebiet enthält einen [PowerfulMapBoss|mächtigen Kartenboss]","エリアに[PowerfulMapBoss|強力なマップボス]が出現する","지역에 [PowerfulMapBoss|강한 지도 보스] 등장","Área contém um [PowerfulMapBoss|chefe de mapa poderoso]","В области можно встретить [PowerfulMapBoss|могучего босса карты]","Esta área contiene un [PowerfulMapBoss|jefe de mapa poderoso]","ด่านมี [PowerfulMapBoss|บอสประจำแผนที่ที่ทรงพลัง]","區域含有一個[PowerfulMapBoss|強大地圖頭目]","Powerful Map Boss","Boss de Carte puissant","Mächtiger Kartenboss","強力なマップボス","강한 지도 보스","Chefe de Mapa Poderoso","Могучий босс карты","Jefe de mapa poderoso","บอสประจำแผนที่ที่ทรงพลัง","強大地圖頭目",56,0,0,""
1,"Breach",[24056],[1],"Area contains an [ContainsBreach|Otherworldly Breach]","La zone contient une [ContainsBreach|Brèche d'un autre monde]","Gebiet enthält einen [ContainsBreach|andersweltlichen Riss]","エリアに[ContainsBreach|異世界のブリーチ]が出現する","지역에 [ContainsBreach|이계의 균열] 1개 등장","Área contém uma [ContainsBreach|Fenda de Outro Mundo]","В области можно найти [ContainsBreach|потусторонний Разлом]","Esta área contiene una [ContainsBreach|fisura de otro mundo]","ด่านมี [ContainsBreach|บรีชเหนือโลก]","區域含有一個[ContainsBreach|異界的裂痕]","Breach","Brèche","Riss","ブリーチ","균열","Fenda","Разлом","Fisura","บรีช","裂痕",56,4,10,""
2,"Expedition",[13327],[1],"Area contains a [ContainsExpedition|Kalguuran Expedition]","La zone contient une [ContainsExpedition|Expédition kalguurienne]","Gebiet enthält eine [ContainsExpedition|Expedition der Kalguur]","エリアに[ContainsExpedition|カルグールのエクスペディション]が出現する","지역에 [ContainsExpedition|칼구르 탐험] 등장","Área contém uma [ContainsExpedition|Expedição Kalguurana]","В области можно встретить [ContainsExpedition|калгууранскую экспедицию]","Esta área contiene una [ContainsExpedition|expedición kalgurana]","ด่านมี [ContainsExpedition|กองสำรวจคาลเกอร์]","區域含有一個[ContainsExpedition|卡爾葛探險]","Expedition","Expédition","Expedition","エクスペディション","탐험","Expedição","Экспедиция","Expedición","กองสำรวจ","死境探險",56,5,11,""
3,"Delirium",[11646],[1],"Area contains a [ContainsDelirium|Delirium Mirror]","La zone contient un [ContainsDelirium|Miroir du Délire]","Gebiet enthält einen [ContainsDelirium|Spiegel des Deliriums]","エリアに[ContainsDelirium|デリリウムの鏡]が出現する","지역에 [ContainsDelirium|환영 거울] 등장","Área contém um [ContainsDelirium|Espelho de Delírio]","В области можно найти [ContainsDelirium|Зеркало Делириума]","Esta área contiene un [ContainsDelirium|espejo de delirio]","ด่านมี [ContainsDelirium|กระจกเดลิเรียม]","區域含有一面[ContainsDelirium譫妄之鏡]","Delirium","Délire","Delirium","デリリウム","환영","Delírio","Делириум","Delirio","เดลิเรียม","譫妄",56,6,12,""
4,"Ritual",[13164],[1],"Area contains [ContainsRitual|Ritual Altars]","La zone contient des [ContainsRitual|Autels de Rituel]","Gebiet enthält [ContainsRitual|Ritualaltäre]","エリアに[ContainsRitual|リチュアルの祭壇]が出現する","지역에 [ContainsRitual|의식 제단] 등장","Área contém [ContainsRitual|Altares Ritualísticos]","В области можно найти [ContainsRitual|ритуальные алтари]","Esta área contiene [ContainsRitual|altares de ritual]","ด่านมี [ContainsRitual|แท่นพิธีกรรม]","區域含有[ContainsRitual|祭祀神壇]","Ritual","Rituel","Ritual","リチュアル","의식","Ritual","Ритуал","Ritual","พิธีกรรม","祭祀",56,7,14,""
5,"Irradiated",[24057],[1],"Area has +1 to Monster Level","La zone a +1 au Niveau des monstres","Gebiet hat +1 zur Monsterstufe","エリアのモンスターレベル +1","지역 몬스터 레벨 +1","Área tem +1 ao nível dos monstros","+1 к уровню монстров в области","Esta área tiene +1 al nivel de los monstruos","ด่านมี มอนสเตอร์เลเวล +1","區域怪物等級 +1","Irradiated","Irradiée","Bestrahlt","照射状態","방사능 노출","Irradiada","Заражение","Irradiada","อาบรังสี","照耀",56,"",2,""
6,"AbyssOverrun","[22824,22823,16475,25328]","[8,1,3,-75]","Area contains many extra [ContainsAbyss|Abysses]","La zone contient de nombreux [ContainsAbyss|Abysses] supplémentaires","Gebiet enthält viele zusätzliche [ContainsAbyss|Abgründe]","エリアは[ContainsAbyss|アビス]が追加で大量に出現する","지역에 다수의 추가 [ContainsAbyss|심연] 등장","Área contém muitos [ContainsAbyss|Abismos] adicionais","В области можно найти много дополнительных [ContainsAbyss|Бездн]","El área contiene muchos [ContainsAbyss|abismos] adicionales","ด่านมี [ContainsAbyss|อะบิส] เพิ่มเติม หลายแห่ง","區域含有許多額外[ContainsAbyss|深淵]","Overrun by the Abyssal","Envahie par les Abyssaux","Überrant von den Abgründigen","アビスに蹂躙されている","심연의 존재로 뒤덮임","Invadido pelos Abissais","Заполонение Бездной","Invadida por los abisales","ถูกรุกล้ำไปด้วยพวกอะบิส","深淵蔓延",56,8,16,""
7,"Incursion",[7233],[1],"Area contains [ContainsIncursion|Vaal Beacons]","Area contains [ContainsIncursion|Vaal Beacons]","Gebiet enthält [ContainsIncursion|Vaal-Leuchtfeuer]","エリアに[ContainsIncursion|ヴァールビーコン]が出現する","지역에 [ContainsIncursion|바알 등대] 등장","Área contém [ContainsIncursion|Sinalizadores Vaal]","В области можно найти [ContainsIncursion|маяки ваал]","El área contiene [ContainsIncursion|focos vaal]","ด่านมี [ContainsIncursion|สัญญาณไฟวาล์]","區域含有[ContainsIncursion|瓦爾烽塔]","Vaal Beacons","Vaal Beacons","Vaal-Leuchtfeuer","ヴァールビーコン","바알 등대","Sinalizadores Vaal","Маяки ваал","Focos vaal","สัญญาณไฟวาล์","瓦爾烽塔",56,16,17,""
8,"Abyss",[6245],[1],"Area contains [ContainsAbyss|Abysses]","Area contains [ContainsAbyss|Abysses]","Gebiet enthält [ContainsAbyss|Abgründe]","エリアに[ContainsAbyss|アビス]が出現する","지역에 [ContainsAbyss|심연] 등장","Área contém [ContainsAbyss|Abismos]","В области можно найти [ContainsAbyss|Бездны]","El área contiene [ContainsAbyss|abismos]","ด่านมี [ContainsAbyss|อะบิส]","區域含有[ContainsAbyss|深淵]","Abyss","Abyss","Abgrund","アビス","심연","Abismo","Бездна","Abismo","อะบิส","深淵",56,8,15,""
9,"QuestArea",[14940],[1],"Area contains an important objective","Area contains an important objective","Gebiet enthält ein wichtiges Ziel","エリアに重要な目標が出現する","지역에 중요한 목표 1개 등장","Área contém um objetivo importante","В области находится важная цель","El área contiene un objetivo importante","ด่านมี เป้าหมายที่สำคัญ 1 อย่าง","區域含有任務目標","Notable Location","Notable Location","Bedeutender Ort","注目すべきロケーション","주요 위치","Local Importante","Примечательное место","Ubicación destacada","สถานที่สำคัญ","任務區域",56,"",31,""
10,"BreachCity",[24768],[1],"[DNT] No visual identity = not shown","[DNT] No visual identity = not shown","[DNT] No visual identity = not shown","[DNT] No visual identity = not shown","[DNT] No visual identity = not shown","[DNT] No visual identity = not shown","[DNT] No visual identity = not shown","[DNT] No visual identity = not shown","[DNT] No visual identity = not shown","[DNT] No visual identity = not shown","[DNT] Breach City - Not Shown to Players","[DNT] Breach City - Not Shown to Players","[DNT] Breach City - Not Shown to Players","[DNT] Breach City - Not Shown to Players","[DNT] Breach City - Not Shown to Players","[DNT] Breach City - Not Shown to Players","[DNT] Breach City - Not Shown to Players","[DNT] Breach City - Not Shown to Players","[DNT] Breach City - Not Shown to Players","[DNT] Breach City - Not Shown to Players",56,18,"",1
11,"HildaHuntBoss","[19543,26126]","[1,1]","Slay the [GreatBeast|Great Beast] to earn [HildasFavour|Hilda's Favour]","Slay the [GreatBeast|Great Beast] to earn [HildasFavour|Hilda's Favour]","Tötet die [GreatBeast|Große Bestie] für [HildasFavour|Hildas Gunst]","[GreatBeast|偉大な獣]を倒して[HildasFavour|ヒルダの好意]を獲得しよう","[GreatBeast|거대 야수] 처치 시 [HildasFavour|힐다의 호의] 획득","Abata a [GreatBeast|grande fera] para ganhar o [HildasFavour|Obséquio de Hilda]","Убейте [GreatBeast|Великого зверя], чтобы заслужить [HildasFavour|расположение Хильды]","Mata a la [GreatBeast|Gran bestia] para ganarte el [HildasFavour|favor de Hilda]","สังหาร[GreatBeast|สัตว์ร้ายผู้ยิ่งใหญ่] เพื่อรับ[HildasFavour|ความชอบจากฮิลด้า]","擊殺[GreatBeast|猛獸]以獲得[HildasFavour|希爾妲的好感]","Great Beast","Great Beast","Große Bestie","偉大なる獣","거대 야수","Grande Fera","Великий зверь","Gran bestia","สัตว์ร้ายผู้ยิ่งใหญ่","巨型野獸",56,0,24,1
