"rownum","Id","[row]_8","bool_24","bool_25","[rid]_26","string_42"
0,"StandardRules",[],1,"",[],""
1,"ArenaPVPRules",[],1,"",[],""
2,"MapRoomRules",[],1,"",[],""
3,"MapAreaRules",[],1,"",[],""
4,"MonstersRepeatedChargesRules",[],1,"",[],""
5,"CTFPVPRules",[],1,"",[],""
6,"FreeForAllRules",[],1,"",[],""
7,"MissionMapRules",[],1,"",[],""
8,"HideoutDemoRules",[],1,"",[],""
9,"HideoutRules",[],1,"",[],""
10,"BeyondRules",[],1,1,[],""
11,"PlayersRepeatedCurseRules",[],1,"",[],""
12,"RampageRules",[],1,"",[],""
13,"FreeForAllTourneyRules",[],1,"",[],""
14,"BreachRules",[],1,1,[],""
15,"BreachMapRules",[],1,1,[],""
16,"PathOfEnduranceRules",[],1,"",[],""
17,"FirstAreaTutorialRules",[],1,1,[],""
18,"AbyssRules",[],1,1,[],""
19,"AbyssLichFightRules",[],1,1,[],""
20,"InfluenceAmbushRules",[],1,"",[],""
21,"BestiaryTigerFightRules",[],1,1,[],""
22,"MenagerieRules",[],1,"",[],""
23,"RoyaleRules",[],1,1,[],""
24,"DelveAboveRules",[],1,1,[],""
25,"DelveBelowRules",[],1,"",[],""
26,"MissionBeastCatcherRules",[],1,"",[],""
27,"MissionBeastCatcherBossRules",[],1,"",[],""
28,"MissionHideoutRules",[],1,1,[],""
29,"JobAssassinationRules",[],1,1,[],""
30,"JobRaidRules",[],1,"",[],""
31,"JobEscortRules",[],1,"",[],""
32,"JobSiegeRules",[],1,"",[],""
33,"JobSafehouseRules",[],1,"",[],""
34,"ProtoVaalMapRules",[],1,"",[],""
35,"BetrayalAreaRules",[],1,"",[],""
36,"BetrayalCatarinaRules",[],1,1,[],""
37,"LegionRules",[],1,1,[],""
38,"BlightRules",[],1,1,[],""
39,"BlightEndGameRules",[],1,1,[],""
40,"AfflictionEncounterRules",[],1,1,[],""
41,"AfflictionEndGameRules",[],1,1,[],""
42,"AfflictionMapRules",[],1,1,[],""
43,"HarvestRules",[],1,1,[],""
44,"HeistHubRules",[],1,1,[],""
45,"HeistContractRules",[],1,1,[],""
46,"HeistCoinRules",[],1,"",[],""
47,"GrandHeistRules",[],1,"",[],""
48,"RitualRules",[49],1,1,[],""
49,"UltimatumRules",[48],1,1,[],""
50,"HarvestBossRules",[],1,1,[],""
51,"ExpeditionRules",[],1,1,[],""
52,"SynthesisDecayRules",[],1,1,[],""
53,"SeethingHideoutRules",[],1,1,[],""
54,"BreachMemoryLineRules",[],1,1,[],""
55,"ExcursionMemoryLineRules",[],1,"",[],""
56,"PlayerHarbingerRules",[],1,"",[],""
57,"AbyssScourgeRules",[],1,"",[],""
58,"UNUSED_PlayerTormentRules",[],1,"",[],""
59,"SanctumRules",[],1,1,[],""
60,"SanctumAirlockRules",[],"",1,[],""
61,"AfflictionHideoutRules",[],1,1,[],""
62,"AtlasHideoutRules",[],1,1,[],""
63,"PolarityRules",[],1,"",[],""
64,"FriendlyFireRules",[],1,"",[],""
65,"AncestralTrialRules",[],1,1,[],""
66,"EinharHuntQuestRules",[],1,"",[],""
67,"SanctumHubRules",[],1,1,[],""
68,"OuterWastesAmbushRules",[],1,"",[],""
69,"WaterCartEscortRules",[],1,"",[],""
70,"FirstAreaTutorialMobileRules",[],1,"",[],""
71,"DPADTutorialMobileRules",[],1,"",[],""
72,"CaravanRules",[],1,1,[],""
73,"WaveSprayRules",[],1,1,[],""
74,"PrisonWaterRules",[],1,1,[],""
75,"SailAwayRules",[],1,1,[],""
76,"WobblePointRules",[],1,"",[],""
77,"BeastSquareRules",[],1,"",[],""
78,"UltimatumAirlockRules",[],1,1,[],""
79,"AncestralOmenRules",[],1,1,[],""
80,"VoodooKingFightRules",[],1,1,[],""
81,"EssenceBossRules",[],1,1,[],""
82,"AzmeriRules",[],1,1,[],""
83,"CastawayMapRules",[],1,1,[],""
84,"TempestRules",[],1,"",[],""
85,"LakeMapRules",[],1,1,[],""
86,"TormentPathingRules",[],1,"",[],""
87,"SentinelRandomEncounterRules",[],1,1,[],""
88,"KillTrackingRules",[],1,"",[],""
89,"IncursionRules",[],1,"",[],""
90,"IncursionHubRules",[],1,"",[],""
91,"IncursionTempleRules",[],1,1,[],""
92,"ExpandingBrequelEncounterRules",[],1,1,[],""
93,"EstablishedBrequelEncounterRules",[],1,1,[],""
94,"BrequelBarrierRules",[],1,1,[],""
95,"Expedition2Rules",[],1,1,[],""
96,"MapUnionOfSoulsRules",[],1,"",[],""
97,"UberBossRitualRules",[],1,1,[],""
98,"SeethingChymeRules",[],1,1,[],""
