"rownum","Id","MiscAnimated","Particles","i32_40","i32_44","[string]_48","[string]_64","EffectPack","bool_96","bool_97"
0,"HarvestThornOnHit",[4118],[],1,0,[],[],"","",""
1,"HarvestBulbOnHit",[4119],[],1,0,[],[],"","",""
2,"HarvestScaleOnHit",[4120],[],1,0,[],[],"","",""
3,"HarvestRavenBossScreechHit",[4244],[],1,1,"[""<root>""]",[],"","",""
4,"HarvestSpikerBreathImpact",[4248],[],1,1,[],"[""root""]","","",""
5,"HarvestCatBossStealthHit",[4279],[],1,1,[],[],"","",""
6,"HarvestPlagueSpiderViperStrikeImpact",[4306],[],1,1,[],"[""root""]","","",""
7,"HarvestMinerHammerGasHit",[4307],[],1,0,[],[],"","",""
8,"HarvestSnakeHeadbuttImpact",[4354],[],1,1,[],"[""root""]","","",""
9,"HeistTemplarRangedSnipeImpact",[4376],[],1,1,[],[],"","",""
10,"HeistMilitaryBounceShield",[4510],[],1,1,[],"[""frameupper""]","","",""
11,"GreenShockHit",[4534],[],1,0,[],[],"","",""
12,"HeistYellowChaosHit",[4627],[],1,0,[],[],"","",""
13,"RedLightningHit",[4704],[],1,0,[],[],"","",""
14,"HeistTrapLaserBeamImpact",[4666],[],1,0,[],[],"","",""
15,"HeistTwinsColdSnipeImpact",[4765],[],1,0,[],"[""root""]","","",""
16,"BrutalPirateLordHitEffect",[4961],[],1,0,[],[],"","",""
17,"CrimsonPriestRuneHitEffect",[5010],[],1,0,"[""<lock>""]",[],"","",""
18,"MavenOnHitEffect",[5169],[],1,0,[],[],"","",""
19,"MavenBrainOnHitEffect",[5170],[],1,0,[],[],"","",""
20,"BloodTendrilsOnHitEffect",[5218],[],1,3,[],[],"","",""
21,"BloodScytheHitEffect",[5575],[],1,3,[],[],"","",""
22,"BloodScytheHitEffectConsole",[5576],[],1,3,[],[],"","",""
23,"OblivionToxicRainHitEffect",[5587],[],1,0,[],[],"","",""
24,"ArcaneHit",[5733],[],1,0,[],[],"","",""
25,"VoidEmperorFireDamage",[],[],1,0,[],[],304,"",""
26,"StygianFireHit",[5818],[],1,0,[],[],"","",""
27,"DemonicLightningHit",[5852],[],1,0,[],[],"","",""
28,"BloodTendrilsOnHitEffectTranscendence",[5856],[],1,3,[],[],"","",""
29,"SpectralSpiralHitEffect",[],[],1,0,[],[],319,"",""
30,"TraumaStrikeHitEffect",[5869],[],1,0,[],[],"","",""
31,"RageVortexHit",[5914],[],1,0,[],[],"","",""
32,"BurningArrowMysticHit",[5960],[],1,0,[],[],"","",""
33,"ExpeditionMedvedChaosHit",[5963],[],1,0,[],[],"","",""
34,"ExpeditionVoranaHit",[5964],[],1,0,[],[],"","",""
35,"ExpeditionPhsicalOnHit",[5965],[],1,0,[],[],"","",""
36,"ExpeditionFireOnHit",[5966],[],1,0,[],[],"","",""
37,"ExpeditionColdOnHit",[5967],[],1,0,[],[],"","",""
38,"ExpeditionChaosOnHit",[5968],[],1,0,[],[],"","",""
39,"OlrothBloodSpatter1",[5990],[],1,0,[],[],"","",""
40,"OlrothBloodSpatter2",[5991],[],1,1,[],[],"","",""
41,"OlrothBloodSpatter3",[5992],[],1,1,[],[],"","",""
42,"MyrmidonLightningStrikeHit",[6008],[],1,0,[],[],"","",""
43,"HellscapeDemonEliteScreechHit",[6295],[],1,1,"[""<root>""]",[],"","",""
44,"DirebladeFireHit",[6314],[],1,0,[],[],"","",""
45,"VaalGuardSnipePierce",[7238],[],1,1,[],[],"","",""
46,"HellscapePaleBossSnipePierce",[6333],[],1,1,[],[],"","",""
47,"HellscapePaleBossAxeTossPierce",[6338],[],1,1,[],[],"","",""
48,"OblivionSummonRagingSpiritsHit",[6356],[],1,0,[],[],"","",""
49,"OnyxOblivionSummonRagingSpiritsHit",[6357],[],1,0,[],[],"","",""
50,"StygianScourgeArrowHit",[6446],[],1,0,[],[],"","",""
51,"ProjectEssenceDrainHit",[6464],[],1,0,[],[],"","",""
52,"ScientistEssenceDrainHit",[6465],[],1,0,[],[],"","",""
53,"VoidSparkHit",[6475],[],1,0,[],[],"","",""
54,"AuspiciousToxicRainHit",[6492],[],1,0,[],[],"","",""
55,"BloodTendrilsOnHitEffectMercurial",[6550],[],1,3,[],[],"","",""
56,"ToxicRainOnHitEffectVulcan",[6567],[],1,0,[],[],"","",""
57,"ConsumeBossLightningHit",[6602],[],1,0,[],[],"","",""
58,"VulcanLightningStrikeHit",[6626],[],1,0,[],[],"","",""
59,"SummonRagingSpiritsDemonicHit",[6769],[],1,0,[],[],"","",""
60,"CelestialEnergyBladeHit",[6791],[],1,3,[],[],"","",""
61,"DivineLightningArrowHit",[6885],[],1,0,[],[],"","",""
62,"OblivionFireTrapHit",[6889],[],1,0,[],[],"","",""
63,"OozeCharacterEffectHit",[6899],[],1,3,[],[],"","",""
64,"MagmaMoltenShellHit",[6900],[],1,3,[],[],"","",""
65,"TraumaStrikeHitEffectCelestial",[6922],[],1,3,[],[],"","",""
66,"MistCharacterEffectHit",[6924],[],1,1,[],[],"","",""
67,"BattlePassThreeColdIronPointHit",[6930],[],1,3,[],[],"","",""
68,"IllusionistCobraLashHit",[7034],[],1,0,[],[],"","",""
69,"VoidEmperorLightningStrikeHit",[7045],[],1,0,"[""<root>""]",[],"","",""
70,"StarfallRageSlashHit",[7051],[],1,0,[],[],"","",""
71,"StarfallBloodScytheHit",[7055],[],1,3,[],[],"","",""
72,"StarfallBloodScytheHitConsole",[7056],[],1,3,[],[],"","",""
73,"HolyUndeadHit",[7060],[],1,0,[],[],"","",""
74,"AutomatonLightningTendrilHit",[7062],[],1,0,[],[],"","",""
75,"ClockworkCharacterEffectHit",[7075],[],1,1,[],[],"","",""
76,"MTXTopazFlaskShieldHitEffect",[7436],[],1,1,[],[],"","",""
77,"MTXRubyFlaskShieldHitEffect",[7437],[],1,1,[],[],"","",""
78,"MTXSapphireFlaskShieldHitEffect",[7438],[],1,1,[],[],"","",""
79,"MTXAmethystFlaskShieldHitEffect",[7439],[],1,2,[],[],"","",""
80,"MtxBattlePassFourShavronnesWrappingsHitEffect",[7511],[],1,1,[],[],"","",""
81,"SanctumReaperHit",[7491],[],1,0,[],[],"","",""
82,"SawbladeLightningStrikeHit",[7640],[],1,0,[],[],"","",""
83,"VineBloodScytheHit",[7666],[],1,3,[],[],"","",""
84,"VineBloodScytheHitConsole",[7667],[],1,3,[],[],"","",""
85,"PlayerBlood",[],"[""Metadata/Particles/elemental_damages/blood_impacts/blood_impact_player.pet""]",1,4,[],[],"","",""
86,"AsalaLightningHit",[],[],1,0,[],[],632,"",""
87,"RathbreakerSlashHit",[6677],[],1,3,[],"[""frameupper""]","","",""
88,"MutewindGirlSpearHit",[6681],[],1,0,[],[],"","",""
89,"SerpentClanTailWhipStun",[6708],[],1,0,[],[],"","",""
90,"PushHitEffect",[6737],[],1,0,[],"[""frameupper""]","","",""
91,"Global_BLUNT",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_B.pet""]",1,4,[],[],"","",""
92,"Global_PIERCE",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_P.pet""]",1,4,[],[],"","",""
93,"Global_SLASH",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_S.pet""]",1,4,[],[],"","",""
94,"NormalBlood_BLUNT",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_B.pet""]",1,4,[],[],"","",""
95,"NormalBlood_PIERCE",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_P.pet""]",1,4,[],[],"","",""
96,"NormalBlood_SLASH",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_S.pet""]",1,4,[],[],"","",""
97,"RottenBlood_BLUNT",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_B.pet""]",1,4,[],[],"","",""
98,"RottenBlood_PIERCE",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_P.pet""]",1,4,[],[],"","",""
99,"RottenBlood_SLASH",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_S.pet""]",1,4,[],[],"","",""
100,"PusBlood_BLUNT",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/PUS_B.pet""]",1,4,[],[],"","",""
101,"PusBlood_PIERCE",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/PUS_P.pet""]",1,4,[],[],"","",""
102,"PusBlood_SLASH",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/PUS_S.pet""]",1,4,[],[],"","",""
103,"OilBlood_BLUNT",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/OIL_B.pet""]",1,4,[],[],"","",""
104,"OilBlood_PIERCE",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/OIL_P.pet""]",1,4,[],[],"","",""
105,"OilBlood_Slash",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/OIL_S.pet""]",1,4,[],[],"","",""
106,"InsectBlood_BLUNT",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_B.pet""]",1,4,[],[],"","",""
107,"InsectBlood_PIERCE",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_P.pet""]",1,4,[],[],"","",""
108,"InsectBlood_SLASH",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_S.pet""]",1,4,[],[],"","",""
109,"FluorescentBlood_BLUNT",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_B.pet""]",1,4,[],[],"","",""
110,"FluorescentBlood_PIERCE",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_P.pet""]",1,4,[],[],"","",""
111,"FluorescentBlood_SLASH",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_S.pet""]",1,4,[],[],"","",""
112,"EctoplasmBlood_BLUNT",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/ECTOPLASM_B.pet""]",1,4,[],[],"","",""
113,"EctoplasmBlood_PIERCE",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/ECTOPLASM_P.pet""]",1,4,[],[],"","",""
114,"EctoplasmBlood_SLASH",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/ECTOPLASM_S.pet""]",1,4,[],[],"","",""
115,"GlobalBoneBlood_BLUNT",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_B.pet""]",1,4,[],[],"","",""
116,"GlobalBoneBlood_PIERCE",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_P.pet""]",1,4,[],[],"","",""
117,"GlobalBoneBlood_SLASH",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_S.pet""]",1,4,[],[],"","",""
118,"GlobalMudBlood_BLUNT",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/MUD_B.pet""]",1,4,[],[],"","",""
119,"GlobalMudBlood_PIERCE",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/MUD_P.pet""]",1,4,[],[],"","",""
120,"GlobalMudBlood_SLASH",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/MUD_S.pet""]",1,4,[],[],"","",""
121,"SporeBlood_BLUNT",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_B.pet""]",1,4,[],[],"","",""
122,"SporeBlood_PIERCE",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_P.pet""]",1,4,[],[],"","",""
123,"SporeBlood_SLASH",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_S.pet""]",1,4,[],[],"","",""
124,"DustBlood_BLUNT",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_B.pet""]",1,4,[],[],"","",""
125,"DustBlood_PIERCE",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_P.pet""]",1,4,[],[],"","",""
126,"DustBlood_SLASH",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_S.pet""]",1,4,[],[],"","",""
127,"SandBlood_BLUNT",[],"[""Metadata/Effects/Spells/hit_and_blood/FX/blood_types/BLOOD_B.pet""]",1,4,[],[],"","",""
