"rownum","Mod","Weighting","ConditionStat","Mod2"
0,16086,65000,"",16153
1,16087,48750,"",16154
2,16088,65000,"",16155
3,16089,0,"",16156
4,16090,65000,"",16157
5,16091,65000,"",16158
6,16092,1800,"",""
7,16093,30,25951,""
8,16094,30,25951,""
9,16095,30,25951,""
10,16096,120,25951,""
11,16097,120,25951,""
12,16098,120,25951,""
13,16099,120,25951,""
14,16100,120,25951,""
15,16101,120,25951,""
16,16102,120,25951,""
17,16103,0,"",""
18,16104,18900,"",""
19,16105,3500,"",""
20,16106,700,"",""
21,16107,700,"",""
22,16108,0,"",""
23,16109,28350,"",""
24,16110,28350,"",""
25,16111,700,"",""
26,16112,700,"",""
27,16113,3500,"",""
28,16114,140,"",""
29,16115,700,"",""
30,16116,3500,"",""
31,16117,3500,"",""
32,16118,10000,"",""
33,16119,5000,"",""
34,16120,2000,"",""
35,16121,20833,"",""
36,16122,10417,"",""
37,16123,5208,"",""
38,16124,100000,"",""
39,16125,50000,"",""
40,16126,25000,"",""
41,16127,2500,"",""
42,16128,1250,"",""
43,16129,2500,"",""
44,16130,1250,"",""
45,16131,20400,"",""
46,16132,10200,"",""
47,16133,5100,"",""
48,16134,11017,"",""
49,16135,5508,"",""
50,16136,2754,"",""
51,16137,1792,"",""
52,16138,896,"",""
53,16139,358,"",""
54,16140,5733,"",""
55,16141,2867,"",""
56,16142,1147,"",""
57,16143,3480,"",""
58,16144,1740,"",""
59,16145,696,"",""
60,16146,6100,"",""
61,16147,3050,"",""
62,16148,3300,"",""
63,16149,1650,"",""
64,16150,438,"",""
65,16151,1400,"",""
66,16152,420,"",""
