"rownum","Stat","Animation","Object","BuffVisual","EffectPack","i32_80","GroundEffect"
0,17084,[],[],[1999],[],3,[]
1,9301,[],[],[1173],[],3,[]
2,9300,[],[],[1172],[],3,[]
3,3964,[],[],[593],[],3,[]
4,4002,[],[],[595],[],3,[]
5,12416,[],[],[1491],[],3,[]
6,10071,[],[],[898],[],3,[]
7,16687,[2571],[],[],[],3,[]
8,17148,[],[],[],"[564,565]",3,[]
9,17300,[3567],[],[],[],3,[]
10,17482,[],[],[2022],[],3,[]
11,18237,[8288],[],[],[],3,[]
12,18562,[],[],[],[],3,[217]
13,20267,[],[],[2312],[],3,[]
14,12548,[],[],[1513],[],3,[]
15,21555,[],[],[],"[1045,1046]",3,[]
16,22411,[],[],[],[1085],1,[]
17,22482,[],[],[],[1094],1,[]
18,22527,[9633],[],[],"[1095,1096]",1,[]
19,22508,[9634],[],[],[1097],1,[]
20,21301,[],[],[],[1099],1,[]
21,16874,[9077],[],[],[791],3,[]
22,23830,[9982],[],[],[],1,[]
23,4297,[9638],[],[],[1098],3,[]
24,22845,[10005],[],[],[1183],3,[]
25,22812,[9776],[],[],[1108],1,[]
26,13472,"[10191,10192,10193]",[],[],[],1,[]
27,20762,"[10348,10349,10350]",[],[],[],1,[]
28,25742,[10856],[],[],[1364],3,[]
29,25034,[],[],[1093],[],3,[]
30,25883,"[10979,10978]",[],[],[],3,[]
31,24802,[11009],[],[],[],3,[]
32,25859,[],[],[2570],[],3,[]
