"rownum","Id","ItemClass","Width","Height","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","InheritsFrom","DropLevel","FlavourText","Implicit_Mods","SizeOnGround","SoundEffect","Tags","ModDomain","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Inflection (French)","Inflection (German)","Inflection (Japanese)","Inflection (Korean)","Inflection (Portuguese)","Inflection (Russian)","Inflection (Spanish)","Inflection (Thai)","Inflection (Traditional Chinese)","Equip_AchievementItem","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemType","bool_225","UncutGemSoundEffect","rid_242","bool_258","Unmodifiable","Achievement","ShopTag","rid_292","i32_308","[rid]_312","[rid]_328","[rid]_344"
0,"Metadata/Items/Currency/CurrencyWeaponQuality",30,1,1,"Blacksmith's Whetstone","Pierre à aiguiser de forgeron","Schleifstein","鍛冶屋の砥石","대장장이의 숫돌","Lima do Ferreiro","Точильный камень","Piedra de afilar","Blacksmith's Whetstone","磨刀石","Metadata/Items/Currency/StackableCurrency",5,"",[],1,523,[350],38,0,1154719587,[],"","F","M","","","F","MS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
1,"Metadata/Items/Currency/CurrencyMagicQuality",30,1,1,"Arcanist's Etcher","Gravelet de l'arcaniste","Arkanisten-Ätzer","秘術師の彫刻針","신비학자의 식각기","Gravador do Arcanista","Резец чародея","Buril del arcanista","Arcanist's Etcher","奧術蝕刻師","Metadata/Items/Currency/StackableCurrency",5,"",[],1,516,[350],38,1,2592103600,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
2,"Metadata/Items/Currency/CurrencyIdentification",30,1,1,"Scroll of Wisdom","Parchemin de sagesse","Identifikationsrolle","鑑定の巻物","감정 주문서","Pergaminho de Sabedoria","Свиток мудрости","Pergamino de sabiduría","Scroll of Wisdom","知識卷軸","Metadata/Items/Currency/StackableCurrency",1,"",[],1,27,[],38,2,1351093167,[],"","M","F","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
3,"Metadata/Items/Currency/CurrencyRerollRare",30,1,1,"Chaos Orb","Orbe du chaos","Chaossphäre","カオスオーブ","카오스 오브","Orbe do Caos","Сфера хаоса","Orbe de caos","Chaos Orb","混沌石","Metadata/Items/Currency/StackableCurrency",12,"",[],1,767,[],38,3,1934876153,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
4,"Metadata/Items/Currency/CurrencyRerollRare2",30,1,1,"Greater Chaos Orb","Orbe du chaos majeur","Größere Chaossphäre","カオスオーブ (上級)","상위 카오스 오브","Orbe do Caos Maior","Большая сфера хаоса","Orbe de caos superior","Chaos Orb ชั้นสูง","高階混沌石","Metadata/Items/Currency/StackableCurrency",72,"",[],1,767,[],38,4,1295898569,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
5,"Metadata/Items/Currency/CurrencyRerollRare3",30,1,1,"Perfect Chaos Orb","Orbe du chaos parfait","Perfekte Chaossphäre","カオスオーブ (完全)","완벽한 카오스 오브","Orbe do Caos Perfeito","Совершенная сфера хаоса","Orbe de caos perfecto","Chaos Orb ไร้ที่ติ","完美混沌石","Metadata/Items/Currency/StackableCurrency",79,"",[],1,767,[],38,5,3790884560,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
6,"Metadata/Items/Currency/CurrencyArmourQuality",30,1,1,"Armourer's Scrap","Ferraille d'armurier","Plattnerstück","鎧鍛冶の端材","방어구 장인의 고철","Sucata do Armeiro","Деталь доспеха","Restos de armaduras","Armourer's Scrap","護甲片","Metadata/Items/Currency/StackableCurrency",5,"",[],1,522,[350],38,6,4228140445,[],"","F","N","","","F","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
7,"Metadata/Items/Currency/CurrencyDuplicate",30,1,1,"Mirror of Kalandra","Miroir de Kalandra","Spiegel von Kalandra","カランドラの鏡","칼란드라의 거울","Espelho de Kalandra","Зеркало Каландры","Espejo de Kalandra","Mirror of Kalandra","卡蘭德的魔鏡","Metadata/Items/Currency/StackableCurrency",35,"",[],1,525,[1148],38,8,2042772245,[],"","M","M","","","M","NS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
8,"Metadata/Items/Currency/CurrencyHinekorasLock",30,1,1,"Hinekora's Lock","Mèche de cheveux d'Hinekora","Hinekoras Locke","ヒネコラの髪束","히네코라의 머리카락","Trava de Hinekora","Прядь Хинекоры","Mechón de Hinekora","ปอยผมของฮิเนโครา","悉妮蔻拉的髮絲","Metadata/Items/Currency/StackableCurrency",46,"",[],1,1167,[1149],38,9,3784407306,[],"","F","F","","","F","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
9,"Metadata/Items/Currency/CurrencyUpgradeToRare",30,1,1,"Orb of Alchemy","Orbe d'alchimie","Sphäre der Alchemie","錬金術のオーブ","연금술의 오브","Orbe da Alquimia","Сфера алхимии","Orbe de alquimia","Orb of Alchemy","點金石","Metadata/Items/Currency/StackableCurrency",5,"",[],1,521,[],38,10,2433763647,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
10,"Metadata/Items/Currency/CurrencyUpgradeRandomly",30,1,1,"Orb of Chance","Orbe de chance","Sphäre der Möglichkeiten","可能性のオーブ","기회의 오브","Orbe da Chance","Сфера удачи","Orbe de azar","Orb of Chance","機會石","Metadata/Items/Currency/StackableCurrency",12,"",[],1,524,[],38,11,3312659589,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
11,"Metadata/Items/Currency/CurrencyPassiveRefund",30,1,1,"Orb of Regret","Orbe de regret","Sphäre der Reue","後悔のオーブ","후회의 오브","Orbe do Arrependimento","Сфера раскаяния","Orbe de arrepentimiento","Orb of Regret","後悔石","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],38,12,2605400741,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
12,"Metadata/Items/Currency/CurrencyAtlasPassiveRefund",30,1,1,"Orb of Unmaking","Orbe de démantèlement","Sphäre der Umkehr","解除のオーブ","취소의 오브","Orbe da Restituição","Сфера небытия","Orbe de destrucción","Orb of Unmaking","撤銷石","Metadata/Items/Currency/StackableCurrency",70,"",[],1,34,[],38,13,3892935821,[],"","M","F","","","M","FS","M","","","","",[],[],"",1,"","","","",[],"","",0,[],[],[]
13,"Metadata/Items/Currency/CurrencyUpgradeToMagic",30,1,1,"Orb of Transmutation","Orbe de transmutation","Umwandlungssphäre","変成のオーブ","진화의 오브","Orbe da Transmutação","Сфера превращения","Orbe de transmutación","Orb of Transmutation","蛻變石","Metadata/Items/Currency/StackableCurrency",1,"",[],1,527,[],38,14,1315720499,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
14,"Metadata/Items/Currency/CurrencyUpgradeToMagic2",30,1,1,"Greater Orb of Transmutation","Orbe de transmutation majeur","Größere Umwandlungssphäre","変成のオーブ (上級)","상위 진화의 오브","Orbe da Transmutação Maior","Большая сфера превращения","Orbe de transmutación superior","Orb of Transmutation ชั้นสูง","高階蛻變石","Metadata/Items/Currency/StackableCurrency",46,"",[],1,527,[],38,15,956661154,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
15,"Metadata/Items/Currency/CurrencyUpgradeToMagic3",30,1,1,"Perfect Orb of Transmutation","Orbe de transmutation parfait","Perfekte Umwandlungssphäre","変成のオーブ (完全)","완벽한 진화의 오브","Orbe da Transmutação Perfeito","Совершенная сфера превращения","Orbe de transmutación perfecto","Orb of Transmutation ไร้ที่ติ","完美蛻變石","Metadata/Items/Currency/StackableCurrency",72,"",[],1,527,[],38,16,1638222139,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
16,"Metadata/Items/Currency/CurrencyRerollMagic",30,1,1,"Orb of Alteration","Orbe d'altération","Veränderungssphäre","改変のオーブ","변화의 오브","Orbe da Alteração","Сфера перемен","Orbe de alteración","Orb of Alteration","改造石","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],38,17,3610411607,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
17,"Metadata/Items/Currency/CurrencyConvertToNormal",30,1,1,"Orb of Scouring","Orbe de suppression","Sphäre der Läuterung","洗浄のオーブ","정제의 오브","Orbe do Expurgo","Сфера очищения","Orbe de purga","Orb of Scouring","重鑄石","Metadata/Items/Currency/StackableCurrency",12,"",[],1,520,[],38,18,2131686967,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
18,"Metadata/Items/Currency/CurrencyAddModToRare",30,1,1,"Exalted Orb","Orbe exalté","Erhabene Sphäre","高貴なオーブ","엑잘티드 오브","Orbe Exaltado","Сфера возвышения","Orbe exaltado","Exalted Orb","崇高石","Metadata/Items/Currency/StackableCurrency",5,"",[],1,519,[],38,20,3226424873,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
19,"Metadata/Items/Currency/CurrencyAddModToRare2",30,1,1,"Greater Exalted Orb","Orbe exalté majeur","Größere Erhabene Sphäre","高貴なオーブ (上級)","상위 엑잘티드 오브","Orbe Exaltado Maior","Большая сфера возвышения","Orbe exaltado superior","Exalted Orb ชั้นสูง","高階崇高石","Metadata/Items/Currency/StackableCurrency",72,"",[],1,519,[],38,21,1521989296,[],"","M","F","","","M","FS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
