"rownum","string_0","[rid]_8","[rid]_24","[rid]_40","[rid]_56","[rid]_72","rid_88","rid_104","rid_120","string_136","i32_144","i32_148","rid_152","rid_168","bool_184","rid_185","rid_201","rid_217","rid_233","string_249","rid_257","i32_273","bool_277","rid_278","i32_294","i32_298","bool_302","rid_303","rid_319","rid_335","rid_351","rid_367","rid_383","rid_399","rid_415","rid_431","rid_447","rid_463","rid_479","rid_495","rid_511","rid_527","rid_543","bool_559","rid_560","rid_576","rid_592","rid_608","rid_624","rid_640","rid_656"
0,"MainHandAttack","[267,268]","[255,256]","[259,260]","[251,252]","[263,264]",21905,590,18425,"",0,0,288,18589,1,18101,276,449,464,"main hand",2,0,1,22185,1,0,"",21910,533,22460,23226,23230,23234,23238,23242,23246,23250,23254,23420,23424,23428,23432,23436,1,278,8275,16858,7988,18089,694,""
1,"MainHandFakeHitForAilments","[267,268]","[255,256]","[259,260]","[251,252]","[263,264]",21905,590,18425,"",0,0,"","","","","","","","main hand fake hit ailment",2,0,1,"",-16843010,-16843010,1,21910,533,"","","","","","","","","","","","","","","","","","","","","",""
2,"OffHandAttack","[269,270]","[257,258]","[261,262]","[253,254]","[265,266]",21906,591,18425,"",0,0,289,18590,1,18102,277,450,465,"off hand",2,1,1,22186,3,0,"",21911,534,22461,23227,23231,23235,23239,23243,23247,23251,23255,23421,23425,23429,23433,23437,1,279,8276,16859,7988,18090,695,""
3,"OffHandFakeHitForAilments","[269,270]","[257,258]","[261,262]","[253,254]","[265,266]",21906,591,18425,"",0,0,"","","","","","","","off hand fake hit ailment",2,1,1,"",-16843010,-16843010,1,21911,534,"","","","","","","","","","","","","","","","","","","","","",""
4,"Spell","[249,250]","[243,244]","[245,247]","[241,242]","[246,248]",21907,592,8819,"",0,0,101,197,1,18456,103,14382,2270,"spell",3,2,"",22187,5,0,"","",535,22462,23228,23232,23236,23240,23244,23248,23252,23256,23422,23426,23430,23434,23438,1,23986,7074,23987,7988,19011,2743,18872
5,"SpellFakeHitForAilments","[249,250]","[243,244]","[245,247]","[241,242]","[246,248]",21907,592,8819,"",0,0,"","","","","","","","spell fake hit ailment",3,2,"","",-16843010,-16843010,1,"",535,"","","","","","","","","","","","","","","","","","","","","",""
6,"Secondary","[713,714]","[717,718]","[719,720]","[715,716]","[721,722]",21908,723,8819,"",0,0,101,197,1,"",103,14382,2270,"secondary",4,3,"",22188,8,0,"","",724,22463,23229,23233,23237,23241,23245,23249,23253,23257,23423,23427,23431,23435,23439,1,23986,7074,23987,7988,19011,2742,18872
7,"SecondarySelfDamage","[713,714]","[717,718]","[719,720]","[715,716]","[721,722]",21908,723,8819,"",0,0,101,197,"","","","","","secondary self",4,3,"",22188,8,0,"","",724,22463,23229,23233,23237,23241,23245,23249,23253,23257,23423,23427,23431,23435,23439,"","","","","","","",""
8,"SecondaryFakeHitForAilments","[713,714]","[717,718]","[719,720]","[715,716]","[721,722]",21908,723,8819,"",0,0,"","","","","","","","secondary fake hit ailment",4,3,"","",-16843010,-16843010,1,"",724,"","","","","","","","","","","","","","","","","","","","","",""
9,"SecondaryWithMainHandDefence","[713,714]","[717,718]","[719,720]","[715,716]","[721,722]",21908,723,8819,"",0,0,288,197,1,18101,276,449,464,"secondary main hand",4,3,"",22188,8,0,"","",724,22463,23229,23233,23237,23241,23245,23249,23253,23257,23423,23427,23431,23435,23439,1,278,8275,16858,7988,18089,694,""
10,"SecondaryWithOffHandDefence","[713,714]","[717,718]","[719,720]","[715,716]","[721,722]",21908,723,8819,"",0,0,289,197,1,18102,277,450,465,"secondary off hand",4,3,"",22188,8,0,"","",724,22463,23229,23233,23237,23241,23245,23249,23253,23257,23423,23427,23431,23435,23439,1,279,8276,16859,7988,18090,695,""
11,"SecondaryWithSpellDefence","[713,714]","[717,718]","[719,720]","[715,716]","[721,722]",21908,723,8819,"",0,0,101,197,1,18456,103,14382,2270,"secondary spell",4,3,"",22188,8,0,"","",724,22463,23229,23233,23237,23241,23245,23249,23253,23257,23423,23427,23431,23435,23439,1,23986,7074,23987,7988,19011,2743,18872
12,"Thorns","[20184,20185]","[20188,20189]","[20190,20191]","[20186,20187]","[20192,20193]",21909,20194,8819,"",0,0,101,197,1,"",103,14382,2270,"thorns",41,4,"",22188,8,0,"","",20197,22463,23229,23233,23237,23241,23245,23249,23253,23257,23423,23427,23431,23435,23439,1,"","","","","","",""
