"rownum","NPCKey","i32_16","DialogueOption","DialogueOption (French)","DialogueOption (German)","DialogueOption (Japanese)","DialogueOption (Korean)","DialogueOption (Portuguese)","DialogueOption (Russian)","DialogueOption (Spanish)","DialogueOption (Thai)","DialogueOption (Traditional Chinese)","[rid]_28","[rid]_44","[rid]_60","Script","QuestFlags1","Category","QuestRewardOffersKey","QuestFlag2","NPCTextAudioKeys","Script2","bool_172","bool_173","[i32]_174","[i32]_190","i32_206","[i32]_210","[i32]_226","bool_242","BaseItemTypes","[i32]_259","bool_275","DialogueOption2","ConsoleQuickAction","Music1","i32_316","[rid]_320","i32_336","Music2","i32_356","QuestFlag3","bool_376","i32_377","row_381","TalkDialogue","bool_405","Ascendancy","bool_422"
0,1,0,"Introduction","Présentations","Einführung","自己紹介","소개","Apresentação","Приветствие","Presentación","แนะนำตัว","介紹",[],[],[717],"",[717],3,"",717,[4],"","","",[223],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[],"",[],""
1,1,1,"Captain Fairgraves","Le Capitaine Fairgraves","Kapitän Fairgraves","フェアグレーヴズ船長","페어그레이브즈 선장","Capitão Fairgraves","Капитан Фейргрейвс","Capitán Fairgraves","กัปตันแฟร์เกรฟส์","費爾船長",[],[],[],"",[],3,"","",[6],"","","",[233],[],233,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[],"",[],""
2,1,2,"Zana, Master Cartographer","Zana, Maître-cartographe","Zana, Meisterkartographin","マスターカートグラファー、ザナ","지도의 대가 자나","Zana, Mestra Cartógrafa","Зана, мастер странствий","Zana, Maestra cartógrafa","ซานะ มาสเตอร์แห่งแผนที่","製圖大師札娜",[],[],[],"",[],3,"","",[13],"","","",[232],[],232,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[],"",[],""
3,1,3,"Fishing","La pêche","Angeln","釣り","낚시","Pescaria","Рыбалка","Pescando","การตกปลา","釣魚",[717],[],[],"triggerer.DoFishingTalk();",[715],6,"",712,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[],"",[],""
4,1,4,"_no_rod","_no_rod","_keine_Angelrute","_no_rod","_no_rod","_no_rod","Нет удочки","_sin_caña","_no_rod","沒有魚竿",[72],[],[],"",[],6,"",72,[2],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[],"",[],""
5,1,5,"_have_rod","_have_rod","_Rute_nehmen","_have_rod","_have_rod","_have_rod","Есть удочка","_con_caña","_have_rod","擁有魚竿",[72],[],[],"triggerer.ActivateFishingQuest();",[],6,"",72,[3],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[],"",[],""
6,1,6,"Claim Fish Reward","Récompense de pêche","Fisch – Belohnung","魚報酬を受け取る","낚시 보상 요구","Reivindicar Recompensa da Pescaria","Пойманная рыба (награда)","Reclamar recompensa de pesca","รับปลาเป็นรางวัล","獲得釣魚獎勵",[72],[],[],"",[],6,"",72,[5],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[],"",[],""
7,26,0,"Page 1","Page 1","Seite 1","ページ 1","1장","Página 1","Страница 1","Página 1","หน้าที่ 1","第1頁",[],[],[],"",[],3,"","",[69],"","","",[384],[],384,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[],"",[],""
8,26,1,"Page 2","Page 2","Seite 2","ページ 2","2장","Página 2","Страница 2","Página 2","หน้าที่ 2","第2頁",[],[],[],"",[],3,"","",[70],"","","",[385],[],385,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[],"",[],""
9,26,2,"Page 3","Page 3","Seite 3","ページ 3","3장","Página 3","Страница 3","Página 3","หน้าที่ 3","第3頁",[],[],[],"",[],3,"","",[71],"","","",[386],[],386,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[],"",[],""
