"rownum","Id","Normal","CanAllocate","Active","Mask","Header"
0,"CharacterSmall","Art/2DArt/UIImages/InGame/PassiveSkillScreenPassiveFrameNormal","Art/2DArt/UIImages/InGame/PassiveSkillScreenPassiveFrameCanAllocate","Art/2DArt/UIImages/InGame/PassiveSkillScreenPassiveFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/NodeFrameMask.dds","Art/2DArt/UIImages/InGame/NormalPassiveHeader"
1,"CharacterNotable","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameNormal","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameCanAllocate","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/NotableFrameMask.dds","Art/2DArt/UIImages/InGame/NotablePassiveHeader"
2,"CharacterKeystone","Art/2DArt/UIImages/InGame/PassiveSkillScreenKeystoneFrameNormal","Art/2DArt/UIImages/InGame/PassiveSkillScreenKeystoneFrameCanAllocate","Art/2DArt/UIImages/InGame/PassiveSkillScreenKeystoneFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/KeystoneFrameMask.dds","Art/2DArt/UIImages/InGame/KeystonePassiveHeader"
3,"CharacterJewel","Art/2DArt/UIImages/InGame/SanctumPassiveSkillScreenJewelSocketNormal","Art/2DArt/UIImages/InGame/SanctumPassiveSkillScreenJewelSocketCanAllocate","Art/2DArt/UIImages/InGame/SanctumPassiveSkillScreenJewelSocketActive","Art/2DArt/UIEffects/PassiveSkillScreen/JewelSocketFrameMask.dds","Art/2DArt/UIImages/InGame/JewelPassiveHeader"
4,"AscendancyStart","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyMiddle","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyMiddle","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyMiddle","Art/2DArt/UIEffects/PassiveSkillScreen/AscendancyFrameSmallMask.dds","Art/2DArt/UIImages/InGame/NormalPassiveHeader"
5,"AscendancySmall","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameSmallNormal","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameSmallCanAllocate","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameSmallAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AscendancyFrameSmallMask.dds","Art/2DArt/UIImages/InGame/NormalPassiveHeader"
6,"AscendancyNotable","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameLargeNormal","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameLargeCanAllocate","Art/2DArt/UIImages/InGame/PassiveSkillScreenAscendancyFrameLargeAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AscendancyFrameLargeMask.dds","Art/2DArt/UIImages/InGame/NotablePassiveHeader"
7,"CharacterPlanningSmall","Art/2DArt/UIImages/InGame/PassiveSkillScreenPassiveFrameNormalBlue","Art/2DArt/UIImages/InGame/PassiveSkillScreenPassiveFrameCanAllocateBlue","Art/2DArt/UIImages/InGame/PassiveSkillScreenPassiveFrameActiveBlue","Art/2DArt/UIEffects/PassiveSkillScreen/NodeFrameMask.dds","Art/2DArt/UIImages/InGame/NormalPassiveHeader"
8,"CharacterPlanningNotable","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameNormalBlue","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameCanAllocateBlue","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameActiveBlue","Art/2DArt/UIEffects/PassiveSkillScreen/NotableFrameMask.dds","Art/2DArt/UIImages/InGame/NotablePassiveHeader"
9,"CharacterPlanningKeystone","Art/2DArt/UIImages/InGame/PassiveSkillScreenKeystoneFrameNormalBlue","Art/2DArt/UIImages/InGame/PassiveSkillScreenKeystoneFrameCanAllocateBlue","Art/2DArt/UIImages/InGame/PassiveSkillScreenKeystoneFrameActiveBlue","Art/2DArt/UIEffects/PassiveSkillScreen/KeystoneFrameMask.dds","Art/2DArt/UIImages/InGame/KeystonePassiveHeader"
