"rownum","Id","Icon_DDSFile","Stats","Stat1Value","Stat2Value","Stat3Value","Stat4Value","PassiveSkillGraphId","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Characters","IsKeystone","IsNotable","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","IsJustIcon","AchievementItem","IsJewelSocket","Ascendancy","IsAscendancyStartingNode","ReminderStrings","SkillPointsGranted","IsMultipleChoice","IsMultipleChoiceOption","Stat5Value","PassiveSkillBuffs","IsAnointmentOnly","i32_162","IsExpansion","IsProxyPassive","SkillType","MasteryGroup","Group","SoundEffect","AtlasNodeGroup","i32_228","i32_232","i32_236","i32_240","i32_244","bool_248","[rid]_249","i32_265","[rid]_269","bool_285","AudioEvent","bool_302","IsAttribute","AtlasSubTree","IsRootOfAtlasTree","GrantedSkill","WeaponPointsGranted","IsFree","bool_342","UnlockedBy","VisibleForAscendancy","bool_375","NodeFrameArt","bool_392","i32_393","bool_397","BrequelTree","i32_414","bool_418","StatValue6","StatValue7","i32_427","i32_431","rid_435","i32_451","QuestFlag","Requirement"
0,"attributes1","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],2,0,0,0,3251,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
1,"attributes2","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,3041,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
2,"attributes3","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,4140,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
3,"attributes4","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,32474,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
4,"attributes5","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,59785,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
5,"attributes6","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,62498,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
6,"attributes7","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,8493,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
7,"attributes8_","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,58814,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
8,"attributes9","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,30657,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
9,"attributes10","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18365],1,0,0,0,27705,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","","","",4825,"","",4825,"",0,0,0,0,0,0,"",""
