"rownum","Id","ArmFiles","TdtFiles","[string]_40","[i32]_56","row_72","WorldAreasKey","bool_96","i32_97"
0,"MissionFish","[""Metadata/Terrain/Missions/Fish/mission_room.arm""]","[""Metadata/Terrain/Islands/Tiles/Island/Volcano/Pools_02.tdt""]",[],[0],"","","",41
1,"Shrine","[""Metadata/Terrain/generic_shrine.arm""]",[],[],[8],"","","",41
2,"ExpeditionEncounter","[""Metadata/Terrain/Gallows/Leagues/Expedition/encounter.arm""]",[],[],[0],"","","",41
3,"ExpeditionBossSideArea_Olroth","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Kalguur_Boss_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/KalguurBossEntrance_01.tdt""]","[""link""]",[8],"",386,"",41
4,"ExpeditionBossSideArea_Uhtred","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Kalguur_Boss_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/KalguurBossEntrance_01.tdt""]","[""link""]",[8],"",387,"",41
5,"ExpeditionSideAreaKalguur","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Kalguur_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/KalguurEntrance_01.tdt"",""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/KalguurBossEntrance_01.tdt""]","[""link""]",[8],"",381,"",41
6,"ExpeditionSideAreaCavern","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Cavern_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/CavernEntrance_01.tdt""]","[""link""]",[8],"",380,"",41
7,"ExpeditionSideAreaPrecursor","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Precursor_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/PrecursorEntrance_01.tdt""]","[""link""]",[8],"",391,"",41
8,"ExpeditionSideAreaLair","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Lair_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/LairEntrance_01.tdt""]","[""link""]",[8],"",392,"",41
9,"ExpeditionSideAreaVolcano","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Volcano_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/VolcanoEntrance_01.tdt""]","[""link""]",[8],"",394,"",41
10,"ExpeditionSideAreaSiren","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Siren_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/SirenEntrance_01.tdt""]","[""link""]",[8],"",393,"",41
11,"ExpeditionSideAreaVein","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Vein_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/VeinEntrance_01.tdt""]","[""link""]",[8],"",395,"",41
12,"ExpeditionSideAreaLaboratory","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Laboratory_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/LaboratoryEntrance_01.tdt""]","[""link""]",[8],"",396,"",41
13,"ExpeditionSideAreaSanctuary","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Sanctuary_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/SanctuaryEntrance_01.tdt""]","[""link""]",[8],"",397,"",41
14,"ExpeditionSideAreaFissure","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Fissure_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/FissureEntrance_01.tdt""]","[""link""]",[8],"",398,"",41
