"rownum","Id","ItemClasses","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
0,"AllEquipment","[9,11,12,15,16,17,77,13,57,7,25,24,22,23,26,14,8,32,5,4,21,20,78,83,108]","[Equipment]","[Equipment|Équipement]","[Equipment|Ausrüstung]","[Equipment|装備]","[Equipment|장비]","[Equipment|Equipamento]","[Equipment|снаряжение]","[Equipment|Equipamiento]","[Equipment|ไอเทมสวมใส่]","[Equipment|裝備]"
1,"Weapons","[9,11,12,15,16,17,77,13,57,7,78,83,108]","[MartialWeapon|Martial Weapon]","[MartialWeapon|Arme martiale]","[MartialWeapon|Kampfwaffe]","[MartialWeapon|マーシャル武器]","[MartialWeapon|무도 무기]","[MartialWeapon|Arma Marcial]","[MartialWeapon|Боевое оружие]","[MartialWeapon|Arma marcial]","[MartialWeapon|อาวุธจู่โจม]","[MartialWeapon|軍用武器]"
2,"Armour","[25,24,22,23,26,92]","[EquipArmour|Armour]","[EquipArmour|Pièce d'armure]","[EquipArmour|Rüstung]","[EquipArmour|防具]","[EquipArmour|방어구]","[EquipArmour|Armadura]","[EquipArmour|Доспехи]","[EquipArmour|Armadura]","[EquipArmour|เกราะ]","[Armour|護甲]"
3,"Caster","[14,8,32]","[CasterWeapon|Caster Weapon]","[CasterWeapon|Arme de Lanceur de sort]","[CasterWeapon|Zaubererwaffe]","[CasterWeapon|キャスター武器]","[CasterWeapon|시전자 무기]","[CasterWeapon|Arma de Conjurador]","[CasterWeapon|Чародейское оружие]","[CasterWeapon|Arma de lanzador de hechizos]","[CasterWeapon|อาวุธนักเวท]","[CasterWeapon|法術武器]"
4,"Jewellery","[5,4,21]","[Jewellery] or Belt","[Jewellery|Accessoire] ou Ceinture","[Jewellery|Schmuck] oder Gürtel","[Jewellery|宝飾品]またはベルト","[Jewellery|장신구] 또는 허리띠","[Jewellery|Pedrarias] ou Cinto","[Jewellery|Бижутерия] или пояс","[Jewellery|Joyería] o cinturón","[Jewellery|เครื่องประดับ]หรือเข็มขัด","[Jewellery|飾品]或腰帶"
5,"HelmetRingAmulet","[25,5,4,23,22]","Boots, Gloves, Helmet or [Jewellery]","Bottes, Gants, Casque ou [Jewellery|Accessoire]","Amulett, Stiefel, Handschuhe, Helm oder [Jewellery|Schmuck]","靴、手袋、兜または[Jewellery|宝飾品]","장화, 장갑, 투구 또는 [Jewellery|장신구]","Botas, Luvas, Elmo ou [Jewellery|Pedrarias]","Сапоги, перчатки, шлем или [Jewellery|бижутерия]","Botas, guantes, casco o [Jewellery|joyería]","สร้อย, รองเท้า, ถุงมือ, หมวก หรือ [Jewellery|เครื่องประดับ]","長靴、手套、頭盔或[Jewellery|飾品]"
6,"GlovesBoots","[22,23]","Gloves or Boots","Gants ou Bottes","Handschuhe oder Stiefel","手袋または靴","장갑 또는 장화","Luvas ou Botas","Перчатки или сапоги","Guantes o botas","ถุงมือหรือแหวน","手套或長靴"
7,"BodyArmour",[24],"Body Armour","Armure","Körperrüstung","鎧","갑옷","Peitoral","Нательный доспех","Armadura","เสื้อเกราะ","身體護甲"
8,"Belt",[21],"Belt","Ceinture","Gürtel","ベルト","허리띠","Cinto","Пояс","Cinturón","เข็มขัด","腰帶"
9,"Amulet",[4],"Amulet","Amulette, Bottes, Gants, Casque ou Bague","Amulett","アミュレット","목걸이","Amuleto","Амулет","Amuleto","สร้อย","項鍊"
