"rownum","Id","BaseItemType","i32_24","i32_28","i32_32","i32_36","i32_40","i32_44","i32_48","bool_52","SlotStyle"
0,"Metadata/Items/Currency/CurrencyJewelleryQualityLife",277,179,450,78,0,0,1,1,"",0
1,"Metadata/Items/Currency/CurrencyJewelleryQualityMana",278,279,450,78,1,0,1,1,"",0
2,"Metadata/Items/Currency/CurrencyJewelleryQualityAttribute",288,379,450,78,11,0,1,1,"",0
3,"Metadata/Items/Currency/CurrencyJewelleryQualityPhysical",280,479,450,78,3,0,1,1,"",0
4,"Metadata/Items/Currency/CurrencyJewelleryQualityFire",281,579,450,78,4,0,1,1,"",0
5,"Metadata/Items/Currency/CurrencyJewelleryQualityCold",282,679,450,78,5,0,1,1,"",0
6,"Metadata/Items/Currency/CurrencyJewelleryQualityLightning",283,129,550,78,6,0,1,1,"",0
7,"Metadata/Items/Currency/CurrencyJewelleryQualityChaos",284,229,550,78,7,0,1,1,"",0
8,"Metadata/Items/Currency/CurrencyJewelleryQualityDefences",279,329,550,78,2,0,1,1,"",0
9,"Metadata/Items/Currency/CurrencyJewelleryQualityAttack",285,429,550,78,8,0,1,1,"",0
10,"Metadata/Items/Currency/CurrencyJewelleryQualityCaster",286,529,550,78,9,0,1,1,"",0
11,"Metadata/Items/Currency/CurrencyJewelleryQualitySpeed",287,629,550,78,10,0,1,1,"",0
12,"Metadata/Items/Currency/CurrencyJewelleryQualityMinion",289,729,550,78,12,0,1,1,"",0
13,"Metadata/Items/Currency/CurrencyJewelQualityLife",290,179,680,78,0,1,1,1,"",0
14,"Metadata/Items/Currency/CurrencyJewelQualityMana",291,279,680,78,1,1,1,1,"",0
15,"Metadata/Items/Currency/CurrencyJewelQualityAttribute",301,379,680,78,11,1,1,1,"",0
16,"Metadata/Items/Currency/CurrencyJewelQualityPhysical",293,479,680,78,3,1,1,1,"",0
17,"Metadata/Items/Currency/CurrencyJewelQualityFire",294,579,680,78,4,1,1,1,"",0
18,"Metadata/Items/Currency/CurrencyJewelQualityCold",295,679,680,78,5,1,1,1,"",0
19,"Metadata/Items/Currency/CurrencyJewelQualityLightning",296,129,780,78,6,1,1,1,"",0
20,"Metadata/Items/Currency/CurrencyJewelQualityChaos",297,229,780,78,7,1,1,1,"",0
21,"Metadata/Items/Currency/CurrencyJewelQualityDefences",292,329,780,78,2,1,1,1,"",0
22,"Metadata/Items/Currency/CurrencyJewelQualityAttack",298,429,780,78,8,1,1,1,"",0
23,"Metadata/Items/Currency/CurrencyJewelQualityCaster",299,529,780,78,9,1,1,1,"",0
24,"Metadata/Items/Currency/CurrencyJewelQualitySpeed",300,629,780,78,10,1,1,1,"",0
25,"Metadata/Items/Currency/CurrencyJewelQualityMinion",302,729,780,78,12,1,1,1,"",0
26,"Metadata/Items/Currency/CurrencyBreachShard",177,379,142,78,0,2,1,1,"",3
27,"Metadata/Items/MapFragments/CurrencyBreachFragment",870,479,142,78,1,2,1,1,"",3
28,"PinnacleKey",481,390,242,78,0,3,2,2,"",3
