"rownum","Id","string_8","string_16","string_24","string_32","string_40","string_48","string_56","string_64","string_72","string_80","string_88","string_96"
0,"MicrotransactionHyenaHunterBodyPaint","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/HyenaHunter/mat/HyenaHunter_STR_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/HyenaHunter/mat/HyenaHunter_STR_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/HyenaHunter/mat/HyenaHunter_INT_F.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/HyenaHunter/mat/HyenaHunter_INT_F_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/HyenaHunter/mat/HyenaHunter_DEX_F.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/HyenaHunter/mat/HyenaHunter_DEX_F_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/HyenaHunter/mat/HyenaHunter_STRDEX_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/HyenaHunter/mat/HyenaHunter_STRDEX_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/HyenaHunter/mat/HyenaHunter_INTSTR_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/HyenaHunter/mat/HyenaHunter_INTSTR_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/HyenaHunter/mat/HyenaHunter_DEXINT_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/HyenaHunter/mat/HyenaHunter_DEXINT_M_B.mat"
1,"MicrotransactionDjinnBodyTattoo","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/DjinnOfTime/mat/DjinnTattoo_STR_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/DjinnOfTime/mat/DjinnTattoo_STR_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/DjinnOfTime/mat/DjinnTattoo_INT_F.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/DjinnOfTime/mat/DjinnTattoo_INT_F_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/DjinnOfTime/mat/DjinnTattoo_DEX_F.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/DjinnOfTime/mat/DjinnTattoo_DEX_F_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/DjinnOfTime/mat/DjinnTattoo_STRDEX_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/DjinnOfTime/mat/DjinnTattoo_STRDEX_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/DjinnOfTime/mat/DjinnTattoo_INTSTR_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/DjinnOfTime/mat/DjinnTattoo_INTSTR_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/DjinnOfTime/mat/DjinnTattoo_DEXINT_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/DjinnOfTime/mat/DjinnTattoo_DEXINT_M_B.mat"
2,"MicrotransactionVaalChronoSeerTattoo","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/VaalChronoSeer/mat/ChronoTatt_STR_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/VaalChronoSeer/mat/ChronoTatt_STR_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/VaalChronoSeer/mat/ChronoTatt_INT_F.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/VaalChronoSeer/mat/ChronoTatt_INT_F_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/VaalChronoSeer/mat/ChronoTatt_DEX_F.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/VaalChronoSeer/mat/ChronoTatt_DEX_F_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/VaalChronoSeer/mat/ChronoTatt_STRDEX_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/VaalChronoSeer/mat/ChronoTatt_STRDEX_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/VaalChronoSeer/mat/ChronoTatt_INTSTR_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/VaalChronoSeer/mat/ChronoTatt_INTSTR_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/VaalChronoSeer/mat/ChronoTatt_DEXINT_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/VaalChronoSeer/mat/ChronoTatt_DEXINT_M_B.mat"
3,"MicrotransactionSkeletonBodyPaint","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/SkeletonBodyPaint/mat/SkeletonPaint_STR_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/SkeletonBodyPaint/mat/SkeletonPaint_STR_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/SkeletonBodyPaint/mat/SkeletonPaint_INT_F.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/SkeletonBodyPaint/mat/SkeletonPaint_INT_F_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/SkeletonBodyPaint/mat/SkeletonPaint_DEX_F.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/SkeletonBodyPaint/mat/SkeletonPaint_DEX_F_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/SkeletonBodyPaint/mat/SkeletonPaint_STRDEX_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/SkeletonBodyPaint/mat/SkeletonPaint_STRDEX_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/SkeletonBodyPaint/mat/SkeletonPaint_INTSTR_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/SkeletonBodyPaint/mat/SkeletonPaint_INTSTR_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/SkeletonBodyPaint/mat/SkeletonPaint_DEXINT_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/SkeletonBodyPaint/mat/SkeletonPaint_DEXINT_M_B.mat"
4,"MicrotransactionCrocodileDruidCharacterSkin","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/CrocDruidPaintedSkin/mat/CrocDruidPaint_STR_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/CrocDruidPaintedSkin/mat/CrocDruidPaint_STR_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/CrocDruidPaintedSkin/mat/CrocDruidPaint_INT_F.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/CrocDruidPaintedSkin/mat/CrocDruidPaint_INT_F_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/CrocDruidPaintedSkin/mat/CrocDruidPaint_DEX_F.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/CrocDruidPaintedSkin/mat/CrocDruidPaint_DEX_F_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/CrocDruidPaintedSkin/mat/CrocDruidPaint_STRDEX_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/CrocDruidPaintedSkin/mat/CrocDruidPaint_STRDEX_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/CrocDruidPaintedSkin/mat/CrocDruidPaint_INTSTR_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/CrocDruidPaintedSkin/mat/CrocDruidPaint_INTSTR_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/CrocDruidPaintedSkin/mat/CrocDruidPaint_DEXINT_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Paint/CrocDruidPaintedSkin/mat/CrocDruidPaint_DEXINT_M_B.mat"
5,"MicrotransactionSeidrmanCharacterSkin","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OracleDruidSeidrman/mat/OracleDruidSeidrman_STR_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OracleDruidSeidrman/mat/OracleDruidSeidrman_STR_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OracleDruidSeidrman/mat/OracleDruidSeidrman_INT_F.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OracleDruidSeidrman/mat/OracleDruidSeidrman_INT_F_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OracleDruidSeidrman/mat/OracleDruidSeidrman_DEX_F.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OracleDruidSeidrman/mat/OracleDruidSeidrman_DEX_F_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OracleDruidSeidrman/mat/OracleDruidSeidrman_STRDEX_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OracleDruidSeidrman/mat/OracleDruidSeidrman_STRDEX_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OracleDruidSeidrman/mat/OracleDruidSeidrman_INTSTR_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OracleDruidSeidrman/mat/OracleDruidSeidrman_INTSTR_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OracleDruidSeidrman/mat/OracleDruidSeidrman_DEXINT_M.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OracleDruidSeidrman/mat/OracleDruidSeidrman_DEXINT_M_B.mat"
6,"UniqueAncientOrderShapeshiftingSkin","Metadata/Effects/Microtransactions/Misc/uniques/TheAncientOrder/MATs/ancientOrder_STR_A.mat","Metadata/Effects/Microtransactions/Misc/uniques/TheAncientOrder/MATs/ancientOrder_STR_B.mat","Metadata/Effects/Microtransactions/Misc/uniques/TheAncientOrder/MATs/ancientOrder_INT_A.mat","Metadata/Effects/Microtransactions/Misc/uniques/TheAncientOrder/MATs/ancientOrder_INT_B.mat","Metadata/Effects/Microtransactions/Misc/uniques/TheAncientOrder/MATs/ancientOrder_DEX_A.mat","Metadata/Effects/Microtransactions/Misc/uniques/TheAncientOrder/MATs/ancientOrder_DEX_B.mat","Metadata/Effects/Microtransactions/Misc/uniques/TheAncientOrder/MATs/ancientOrder_STRDEX_A.mat","Metadata/Effects/Microtransactions/Misc/uniques/TheAncientOrder/MATs/ancientOrder_STRDEX_B.mat","Metadata/Effects/Microtransactions/Misc/uniques/TheAncientOrder/MATs/ancientOrder_INTSTR_A.mat","Metadata/Effects/Microtransactions/Misc/uniques/TheAncientOrder/MATs/ancientOrder_INTSTR_B.mat","Metadata/Effects/Microtransactions/Misc/uniques/TheAncientOrder/MATs/ancientOrder_DEXINT_A.mat","Metadata/Effects/Microtransactions/Misc/uniques/TheAncientOrder/MATs/ancientOrder_DEXINT_B.mat"
7,"AscendancyArchonChayula","","","","","","","","","","","","Art/Models/CharactersFour/Textures/Body/DEXINT/B/Breach/Body_DEXINT_M_DEMONc.mat"
8,"AscendancyMartialArtist","","","","","","","","","","","","Metadata/Effects/Spells/ascendancy_classes/MartialArtist/AscendancyTattoo/MATs/MartialArtist_DEXINT_M_B.mat"
9,"OghamTattooSkin","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OghamBloodTattoos/mat/OghamBloodTattoo_STR_M_A.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OghamBloodTattoos/mat/OghamBloodTattoo_STR_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OghamBloodTattoos/mat/OghamBloodTattoo_INT_F_A.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OghamBloodTattoos/mat/OghamBloodTattoo_INT_F_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OghamBloodTattoos/mat/OghamBloodTattoo_DEX_F_A.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OghamBloodTattoos/mat/OghamBloodTattoo_DEX_F_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OghamBloodTattoos/mat/OghamBloodTattoo_STRDEX_M_A.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OghamBloodTattoos/mat/OghamBloodTattoo_STRDEX_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OghamBloodTattoos/mat/OghamBloodTattoo_INTSTR_M_A.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OghamBloodTattoos/mat/OghamBloodTattoo_INTSTR_M_B.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OghamBloodTattoos/mat/OghamBloodTattoo_DEXINT_M_A.mat","Art/Models/CharactersFour/Textures/Microtransactions/Common/Tattoos/OghamBloodTattoos/mat/OghamBloodTattoo_DEXINT_M_B.mat"
