"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","SetId","Objective","Objective (French)","Objective (German)","Objective (Japanese)","Objective (Korean)","Objective (Portuguese)","Objective (Russian)","Objective (Spanish)","Objective (Thai)","Objective (Traditional Chinese)","HASH16","bool_30","HideAchievementItems","bool_32","MinCompletedItems","TwoColumnLayout","ShowItemCompletionsAsOne","string_39","SoftcoreOnly","HardcoreOnly","bool_49","string_50","string_58","string_66"
0,"PerandusCatchFish","Catch these Fish","Attrapez ces poissons","Fangt diese Fische","Catch these Fish","생선 잡기","Pesque estes Peixes","Поймать рыбу","Pesca a estos Peces","จับปลาเหล่านี้","到陣來釣魚",2,"Catch each of the following Unique Fish.","Attrapez chacun des Poissons uniques suivants : ","Fangt jeden dieser einzigartigen Fische.","Catch each of the following Unique Fish.","다음 고유 생선을 전부 잡으십시오.","Pesque cada um dos seguintes Peixes Únicos.","Выловите уникальных рыб.","Pesca cada uno de los siguientes Peces Únicos.","ตก Unique Fish แต่ละตัวดังต่อไปนี้","捕捉下列傳奇魚。",-11348,1,"",1,0,"","","","","","","","",""
1,"Level70","Leader","Leader","Anführer","リーダー","지도자","Líder","Лидер","Líder","ผู้นำ","領袖",2,"Reach level 70 as a non-Hardcore character.","Atteignez le niveau 70 avec un personnage créé dans une ligue non Hardcore.","Erreicht Stufe 70 (Hardcore-Charakter ausgenommen).","非ハードコアキャラクターでレベル70に到達せよ。","비-하드코어 캐릭터로 70레벨을 달성하십시오.","Atinja o nível 70 com um personagem fora do modo Extremo.","Достигните 70 уровня в лиге без ограничений на возрождения.","Alcanza el nivel 70 con un personaje en una liga que no sea Hardcore.","ไป​ให้​ถึง​เลเวล 70 ด้วย​ตัวละคร​ที่​ไม่ใช่ Hardcore","在非專家模式中角色達到 70 級。",-30078,"",1,"",0,1,"","",1,"","","","",""
2,"Level80","Hero","Héros","Held","ヒーロー","영웅","Herói","Герой","Héroe","วีรชน","英雄",2,"Reach level 80 as a non-Hardcore character.","Atteignez le niveau 80 avec un personnage créé dans une ligue non Hardcore.","Erreicht Stufe 80 (Hardcore-Charakter ausgenommen).","非ハードコアキャラクターでレベル80に到達せよ。","비-하드코어 캐릭터로 80레벨을 달성하십시오.","Atinja o nível 80 com um personagem fora do modo Extremo.","Достигните 80 уровня в лиге без ограничений на возрождения.","Alcanza el nivel 80 con un personaje en una liga que no sea Hardcore.","ไป​ให้​ถึง​เลเวล 80 ด้วย​ตัวละคร​ที่​ไม่ใช่ Hardcore","在非專家模式中角色達到 80 級。",-27481,"",1,"",0,1,"","",1,"","","","",""
3,"Level90","Saviour","Sauveur","Retter","セイヴィア","구원자","Salvador","Спаситель","Salvador","ผู้กอบกู้","救贖者",2,"Reach level 90 as a non-Hardcore character.","Atteignez le niveau 90 avec un personnage créé dans une ligue non Hardcore.","Erreicht Stufe 90 (Hardcore-Charakter ausgenommen).","非ハードコアキャラクターでレベル90に到達せよ。","비-하드코어 캐릭터로 90레벨을 달성하십시오.","Atinja o nível 90 com um personagem fora do modo Extremo.","Достигните 90 уровня в лиге без ограничений на возрождения.","Alcanza el nivel 90 con un personaje en una liga que no sea Hardcore.","ไป​ให้​ถึง​เลเวล 90 ด้วย​ตัวละคร​ที่​ไม่ใช่ Hardcore","在非專家模式中角色達到 90 級。",-7344,"",1,"",0,1,"","",1,"","","","",""
4,"Level100","Legend","Légende","Legende","レジェンド","전설","Lenda","Легенда","Leyenda","ตำนาน","傳說",2,"Reach level 100 as a non-Hardcore character.","Atteignez le niveau 100 avec un personnage créé dans une ligue non Hardcore.","Erreicht Stufe 100 (Hardcore-Charakter ausgenommen).","非ハードコアキャラクターでレベル100に到達せよ。","비-하드코어 캐릭터로 100레벨을 달성하십시오.","Atinja o nível 100 com um personagem fora do modo Extremo.","Достигните 100 уровня в лиге без ограничений на возрождения.","Alcanza el nivel 100 con un personaje en una liga que no sea Hardcore.","ไป​ให้​ถึง​เลเวล 100 ด้วย​ตัวละคร​ที่​ไม่ใช่ Hardcore","在非專家模式中角色達到 100 級。",13363,"",1,"",0,1,"","",1,"","","","",""
5,"Level70HC","Ruthless","Impitoyable","Erbarmungslos","ルースレス","무자비","Impiedoso","Беспощадный","Implacable","ไร้ปรานี","殘暴",2,"Reach level 70 as a Hardcore character.","Atteignez le niveau 70 avec un personnage créé dans une ligue Hardcore.","Erreicht Stufe 70 als Hardcore-Charakter.","ハードコアキャラクターでレベル70に到達せよ。","하드코어 캐릭터로 70레벨을 달성하십시오.","Atinja o nível 70 com um personagem no modo Extremo.","Достигните 70 уровня в лиге с одной жизнью.","Alcanza el nivel 70 con un personaje en una liga Hardcore.","ไป​ให้​ถึง​เลเวล 70 ด้วย​ตัวละคร Hardcore","在專家模式中角色達到 70 級。",-1682,"",1,"",0,1,"","","",1,"","","",""
6,"Level80HC","Restless","Sans repos","Ruhelos","レストレス","위태","Inquieto","Неустанный","Incansable","ไร้พัก","狂躁",2,"Reach level 80 as a Hardcore character.","Atteignez le niveau 80 avec un personnage créé dans une ligue Hardcore.","Erreicht Stufe 80 als Hardcore-Charakter.","ハードコアキャラクターでレベル80に到達せよ。","하드코어 캐릭터로 80레벨을 달성하십시오.","Atinja o nível 80 com um personagem no modo Extremo.","Достигните 80 уровня в лиге с одной жизнью.","Alcanza el nivel 80 con un personaje en una liga Hardcore.","ไป​ให้​ถึง​เลเวล 80 ด้วย​ตัวละคร Hardcore","在專家模式中角色達到 80 級。",-24407,"",1,"",0,1,"","","",1,"","","",""
7,"Level90HC","Relentless","Implacable","Unnachgiebig","リレントレス","집요","Implacável","Непреклонный","Imparable","ไร้ย่อท้อ","冷酷無情",2,"Reach level 90 as a Hardcore character.","Atteignez le niveau 90 avec un personnage créé dans une ligue Hardcore.","Erreicht Stufe 90 als Hardcore-Charakter.","ハードコアキャラクターでレベル90に到達せよ。","하드코어 캐릭터로 90레벨을 달성하십시오.","Atinja o nível 90 com um personagem no modo Extremo.","Достигните 90 уровня в лиге с одной жизнью.","Alcanza el nivel 90 con un personaje en una liga Hardcore.","ไป​ให้​ถึง​เลเวล 90 ด้วย​ตัวละคร Hardcore","在專家模式中角色達到 90 級。",-14041,"",1,"",0,1,"","","",1,"","","",""
8,"Level100HC","Deathless","Immortel","Unsterblich","デスレス","불사","Imortal","Бессмертный","Inmortal","ไร้วันตาย","永生不朽",2,"Reach level 100 as a Hardcore character.","Atteignez le niveau 100 avec un personnage créé dans une ligue Hardcore.","Erreicht Stufe 100 als Hardcore-Charakter.","ハードコアキャラクターでレベル100に到達せよ。","하드코어 캐릭터로 100레벨을 달성하십시오.","Atinja o nível 100 com um personagem no modo Extremo.","Достигните 100 уровня в лиге с одной жизнью.","Alcanza el nivel 100 con un personaje en una liga Hardcore.","ไป​ให้​ถึง​เลเวล 100 ด้วย​ตัวละคร Hardcore","在專家模式中角色達到 100 級。",6106,"",1,"",0,1,"","","",1,"","","",""
9,"Act1Normal","Cruel Count","Comte Cruel","Grausamer Graf","残酷なカウント","잔혹한 백작","Conde Cruel","Грозный граф","Conde cruel","เคานต์อำมหิต","殘酷的伯爵",2,"Complete Act 1.","Terminez l'Acte 1.","Schließt Akt 1 ab.","第1章を完了せよ。","1장을 완료하십시오.","Complete o Ato 1.","Завершите 1 Акт.","Completa el acto 1.","ผ่าน​บท​ที่ 1","完成第 1 章。",23988,"",1,"",0,1,"","","","","","","",""
