"rownum","Id","Function","Arguments","i32_20","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","[rid]_32","string_48","i32_56","i32_60","DealFamily"
0,0,"reroll_affixes_highest_of_X","prefix count 1",1,"Reroll Prefix Modifiers.","Tire au hasard les Préfixes.","Verändert die Präfix-Modifikatoren.","プレフィックスモッドをリロールする。","접두어 속성을 무작위 변경합니다.","Recria os modificadores de prefixo.","Изменить свойства-префиксы.","Aleatoriza los modificadores de prefijo.","สุ่ม ม็อด​​พรีฟิกซ์","重骰前綴。",[],"s_highest_of_X",0,0,1
1,1,"reroll_affixes_highest_of_X","suffix count 1",2,"Reroll Suffix Modifiers.","Tire au hasard les Suffixes.","Verändert die Suffix-Modifikatoren.","サフィックスモッドをリロールする。","접미어 속성을 무작위 변경합니다.","Recria os modificadores de sufixo.","Изменить свойства-суффиксы.","Aleatoriza los modificadores de sufijo.","สุ่ม ม็อด​ซัฟฟิกซ์","重骰後綴。",[],"s_highest_of_X",0,0,2
2,2,"reroll_mods_lucky","prefix suffix single ignore_max count 1",12,"Reroll Modifier Values of a single Modifier.","Tire au hasard les valeurs d'un seul Modificateur.","Verändert die Modifikatorenwerte eines einzelnen Modifikators.","1つのモッドの値をリロールする。","속성 1개의 속성 수치를 무작위 변경합니다.","Recria os valores de modificador de um único modificador.","Изменить значения свойства на одном свойстве.","Aleatoriza los valores de modificador de un solo modificador.","สุ่ม​ค่าตัวเลข​ของ​ ม็อด​ 1 ​อย่าง","重骰單一詞綴的數值。",[],"s_highest_of_X",0,0,3
3,3,"reroll_mods_lucky","prefix ignore_max count 1",13,"Reroll Modifier Values of Prefixes.","Tire au hasard les valeurs des Préfixes.","Verändert die Präfix-Modifikatorenwerte.","プレフィックスのモッドの値をリロールする。","접두어의 속성 수치를 무작위 변경합니다.","Recria os valores de modificador de prefixos.","Изменить значения свойств-префиксов.","Aleatoriza los valores de los modificadores de prefijo.","สุ่ม​ค่าตัวเลข​ของ​ ม็อด​พรีฟิกซ์","重骰前綴的數值。",[],"s_highest_of_X",0,0,4
4,4,"reroll_mods_lucky","suffix ignore_max count 1",14,"Reroll Modifier Values of Suffixes.","Tire au hasard les valeurs des Suffixes.","Verändert die Suffix-Modifikatorenwerte.","サフィックスのモッドの値をリロールする。","접미어의 속성 수치를 무작위 변경합니다.","Recria os valores de modificador de sufixos.","Изменить значений свойств-суффиксов.","Aleatoriza los valores de los modificadores de sufijo.","สุ่ม​ค่าตัวเลข​ของ​ ม็อด​ซัฟฟิกซ์","重骰後綴的數值。",[],"s_highest_of_X",0,0,5
5,5,"add_mod_to_rare_highest_of_X","prefix 1",4,"Add a Prefix Modifier.","Ajoute un Préfixe.","Fügt einen Präfix-Modifikator hinzu.","プレフィックスモッドを追加する。","접두어 속성을 추가합니다.","Adiciona um modificador de prefixo.","Добавить свойство-префикс.","Agrega un modificador de prefijo.","เพิ่ม ม็อด​พรีฟิกซ์ 1 อย่าง","新增 1 個前綴。",[],"s_highest_of_X",0,0,10
6,6,"add_mod_to_rare_highest_of_X","suffix 1",5,"Add a Suffix Modifier.","Ajoute un Suffixe.","Fügt einen Suffix-Modifikator hinzu.","サフィックスモッドを追加する。","접미어 속성을 추가합니다.","Adiciona um modificador de sufixo.","Добавить свойство-суффикс.","Agrega un modificador de sufijo.","เพิ่ม ม็อด​ซัฟฟิกซ์ 1 อย่าง","新增 1 個後綴。",[],"s_highest_of_X",0,0,11
7,7,"remove_X_lowest_level_mods","1",6,"Remove a single Modifier with the lowest Modifier level.","Retire un seul Modificateur dont le Palier est le plus bas.","Entfernt einen einzelnen Modifikator mit der niedrigsten Modifikatorstufe.","モッドレベルが最も低いモッドを1つ取り除く。","속성 레벨이 가장 낮은 속성 1개를 제거합니다.","Remove um único modificador com o menor nível de modificador.","Удалить одно свойство наименьшего уровня.","Elimina el modificador que tenga el menor nivel de modificador.","ลบ​ ม็อด 1 อย่าง ​ที่​มี​เลเวล​ของ​ม็อด​น้อย​ที่สุด","移除最低詞綴等級的單個詞綴。",[],"s_highest_of_X",0,0,9
8,8,"remove_affixes_of_type","prefix",15,"Remove all Prefix Modifiers.","Retire tous les Préfixes.","Entfernt alle Präfix-Modifikatoren.","全てのプレフィックスモッドを取り除く。","모든 접두어 속성을 제거합니다.","Remove todos os modificadores de prefixo.","Удалить все свойства-префиксы.","Elimina todos los modificadores de prefijo.","ลบ ม็อด​พรีฟิกซ์ ทั้งหมด","移除全部前綴。",[],"s_highest_of_X",0,0,21
9,9,"remove_affixes_of_type","suffix",16,"Remove all Suffix Modifiers.","Retire tous les Suffixes.","Entfernt alle Suffix-Modifikatoren.","全てのサフィックスモッドを取り除く。","모든 접미어 속성을 제거합니다.","Remove todos os modificadores de sufixo.","Удалить все свойства-суффиксы.","Elimina todos los modificadores de sufijo.","ลบ ม็อด​ซัฟฟิกซ์ ทั้งหมด","移除全部後綴。",[],"s_highest_of_X",0,0,22
10,10,"upgrade_X_mods_to_max_tier","1 only_one_tier",17,"Upgrade the level of a Modifier by 1 tier.","Améliore d'un niveau le Palier d'un Modificateur.","Wertet die Stufe eines Modifikators um 1 Level auf.","1つのモッドのレベルを1ティア上昇させる。","속성 부여 1개의 레벨을 1등급 업그레이드합니다.","Atualiza o nível de um modificador em 1 nível.","Повысить уровень свойства на 1.","Mejora el nivel de un modificador en 1 grado.","อัพเกรด​เลเวล​ของ ​ม็อด 1 อย่าง 1 อันดับ","1 個詞綴階級提升 1 階。",[],"s_highest_of_X",0,0,8
