"rownum","Id","StashId","Id2","i32_20","i32_24","i32_28","Icon","ConsoleIcon"
0,"NormalStash",0,"NormalStash",12,12,72,"Art/2DArt/UIImages/InGame/MTX/BlankTabIcon","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsoleRegularTabIcon"
1,"PremiumStash",1,"PremiumStash",12,12,72,"Art/2DArt/UIImages/InGame/MTX/PremiumTabIcon","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsolePremiumTabIcon"
2,"TradeStash",2,"TradeStash",12,12,64,"Art/2DArt/UIImages/InGame/MTX/BlankTabIcon",""
3,"CurrencyStash",3,"CurrencyStash",53,4,18,"Art/2DArt/UIImages/InGame/MTX/CurrencyTabIcon","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsoleCurrencyTabIcon"
4,"UniqueStash",4,"UniqueStash",146,4,24,"Art/2DArt/UIImages/InGame/MTX/UniqueTabIcon","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsoleUniqueTabIcon"
5,"MapStash",5,"MapStash",12,8,23,"Art/2DArt/UIImages/InGame/MTX/MapTabIcon","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsoleMapTabIcon"
6,"DivinationCardStash",6,"DivinationCardStash",0,1,20,"Art/2DArt/UIImages/InGame/MTX/DivinationTabIcon",""
7,"QuadStash",7,"QuadStash",24,24,72,"Art/2DArt/UIImages/InGame/MTX/QuadTabIcon","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsoleQuadTabIcon"
8,"EssenceStash",8,"EssenceStash",88,4,21,"Art/2DArt/UIImages/InGame/MTX/EssenceTabIcon","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsoleEssenceTabIcon"
9,"FragmentStash",9,"FragmentStash",18,6,22,"Art/2DArt/UIImages/InGame/MTX/FragmentTabIcon","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsoleFragmentTabIcon"
10,"PCBangPremiumStash",10,"PCBangPremiumStash",12,12,72,"Art/2DArt/UIImages/InGame/MTX/PremiumTabIcon","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsolePremiumTabIcon"
11,"PCBangEssenceStash",11,"PCBangEssenceStash",88,4,21,"Art/2DArt/UIImages/InGame/MTX/EssenceTabIcon","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsoleEssenceTabIcon"
12,"DelveStash",12,"DelveStash",41,4,27,"Art/2DArt/UIImages/InGame/MTX/DelveTabIcon",""
13,"BlightStash",13,"BlightStash",66,4,31,"Art/2DArt/UIImages/InGame/MTX/BlightTabIcon",""
14,"UltimatumStash",14,"UltimatumStash",0,1,33,"Art/2DArt/UIImages/InGame/MTX/MetamorphTabIcon",""
15,"DeliriumStash",15,"DeliriumStash",60,1,30,"Art/2DArt/UIImages/InGame/MTX/DeliriumTabIcon","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsoleDeliriumTabIcon"
16,"Folder",16,"Folder",0,0,72,"Art/2DArt/UIImages/InGame/MTX/StashFolderTabIcon","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsoleStashFolderTabIcon"
17,"FlaskStash",17,"FlaskStash",250,4,46,"Art/2DArt/UIImages/InGame/MTX/FlaskStash","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsoleFlaskStash"
18,"GemStash",18,"GemStash",250,2,47,"Art/2DArt/UIImages/InGame/MTX/GemStash","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsoleGemStash"
19,"SocketableStash",19,"SocketableStash",214,1,60,"Art/2DArt/UIImages/InGame/MTX/SocketableTabIcon","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsoleSocketableTabIcon"
20,"ExpeditionStash",20,"ExpeditionStash",24,4,61,"Art/2DArt/UIImages/InGame/MTX/ExpeditionTabIcon","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsoleExpeditionTabIcon"
21,"RitualStash",21,"RitualStash",42,1,62,"Art/2DArt/UIImages/InGame/MTX/RitualTabIcon","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsoleRitualTabIcon"
22,"BreachStash",22,"BreachStash",13,5,69,"Art/2DArt/UIImages/InGame/MTX/BreachTabIcon",""
23,"AbyssStash",23,"AbyssStash",12,3,71,"Art/2DArt/UIImages/InGame/MTX/AbyssTabIcon","Art/2DArt/UIImages/InGame/ConsoleNew/Stash/Icons/ConsoleAbyssTabIcon"
