"rownum","Id","ShopTag","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","InventorySlot","FlaskSlot","bool_48","i32_49","i32_53","bool_57","i32_58","i32_58 (French)","i32_58 (German)","i32_58 (Japanese)","i32_58 (Korean)","i32_58 (Portuguese)","i32_58 (Russian)","i32_58 (Spanish)","i32_58 (Thai)","i32_58 (Traditional Chinese)","i32_62","string_66","i32_74"
0,1,796,"Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀",2,0,"",0,0,1,8,8,8,8,8,8,8,8,8,8,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameWeapon",1
1,2,797,"Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效",2,0,"",0,0,1,132,142,132,120,120,138,146,144,128,118,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameWeaponEffect",2
2,3,799,"Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito de Arma Adicional","Добавленный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效",2,0,"",0,31,"",272,280,270,248,246,332,286,290,264,240,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameFinisher",3
3,4,796,"Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀",3,0,"",0,1,1,416,428,426,372,370,486,8,446,410,358,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameWeapon",1
4,5,797,"Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效",3,0,"",0,1,1,458,500,468,396,396,554,146,506,444,374,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameWeaponEffect",2
5,6,799,"Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito de Arma Adicional","Добавленный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效",3,0,"",0,31,"",504,564,514,424,424,622,286,564,482,390,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameFinisher",3
6,7,787,"Helmet Skin","Apparence de casque","Helm-Skin","兜スキン","투구 스킨","Visual de Elmo","Внешний вид шлема","Aspecto para casco","สกินหมวก","頭部外觀",4,0,"",0,8,"",562,646,594,456,458,710,442,640,538,410,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameHelmet",4
7,8,792,"Helmet Attachment","Accessoire de casque","Helmzusatz","兜装飾品","투구 부착물","Adorno de Elmo","Эффект шлема","Accesorio para casco","แฟชั่นติดหมวก","頭部特效",4,0,"",0,20,"",686,786,714,566,570,872,578,778,656,520,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameHelmetAttachment",5
8,9,788,"Body Armour Skin","Apparence d'armure","Körperrüstung-Skin","鎧スキン","갑옷 스킨","Visual de Peitoral","Внешний вид брони","Aspecto para armadura","สกินเสื้อเกราะ","身體外觀",1,0,"",0,6,"",842,948,856,696,704,1068,724,940,804,650,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameBody",6
9,10,791,"Back Attachment","Accessoire dorsal","Rückenzusatz","背面装飾品","등 부착물","Adorno Dorsal","Заплечное украшение","Accesorio para la espalda","แฟชั่นติดหลัง","背飾",1,0,"",0,7,"",972,1082,990,816,812,1202,856,1080,930,756,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameBackAttachment",7
10,11,789,"Gloves Skin","Apparence de gants","Handschuhe-Skin","手袋スキン","장갑 스킨","Visual de Luvas","Внешний вид перчаток","Aspecto para guantes","สกินถุงมือ","手部外觀",8,0,"",0,9,"",1120,1234,1132,942,940,1346,1012,1248,1074,878,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameGloves",8
11,12,790,"Boots Skin","Apparence de bottes","Stiefel-Skin","靴スキン","장화 스킨","Visual de Botas","Внешний вид обуви","Aspecto para botas","สกินรองเท้า","腳部外觀",9,0,"",0,10,"",1244,1372,1264,1054,1052,1512,1154,1390,1196,988,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameBoots",9
12,13,795,"Footprints","Empreintes de pas","Fußspuren","足跡","발자국","Pegadas","Следы","Huellas","รอยเท้า","行走特效",9,0,"",0,19,"",1364,1548,1388,1162,1162,1642,1288,1526,1318,1096,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameFootprints",10
13,14,80,"Apparition","Apparition","Erscheinung","幻影","유령","Aparição","Временный эффект","Aparición","ร่างเงา","項鍊特效",5,0,"",0,31,"",1494,1690,1516,1276,1278,1766,1408,1650,1442,1214,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameApparition",11
14,15,800,"Character Effect","Effet de personnage","Charaktereffekt","キャラクターエフェクト","캐릭터 이펙트","Efeito de Personagem","Эффект персонажа","Efecto para el personaje","เอฟเฟคตัวละคร","角色特效",10,0,"",0,18,"",1624,1820,1648,1390,1392,1892,1550,1778,1566,1332,0,"Art/2DArt/UIImages/InGame/Cosmetics/FrameCharacterEffect",12
