"rownum","Id","TargetCharacter","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","OGGFiles","NPC1","rid_64","TargetCharacters","i32_96","i32_100","[rid]_104","NPC2","NPC3","QuestFlag1","QuestFlag2","QuestFlag3","QuestFlag4","QuestFlag5","Video","Script"
0,"HuntressDelwynIntroConvoA",8,"You know why I did it—to save our people. ","Vous savez bien pourquoi j'ai agi ainsi… Pour sauver notre peuple. ","Du weißt, warum ich es getan habe — um unser Volk zu retten. ","なんでやったのかは解ってるだろ……同胞たちを救うためだよ。","내가 왜 그랬는지는 알잖아. 사람들을 구하기 위해서였어.","Você sabe por que eu fiz isso. Foi pra salvar o nosso povo.","Ты знаешь, зачем я это сделала – чтобы спасти наших людей.","Sabes por qué lo hice. Para salvar a nuestro pueblo.","เจ้ารู้เหตุที่ข้าทำเช่นนั้นอยู่แก่ใจ... เพื่อปกป้องกลุ่มชนของเรา","你知道我為什麼要這麼做──為了拯救我們的族人。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1,"HuntressDelwynOnSpiritsA",8,"You think I don't know that? ","Vous croyez que je ne suis pas au courant ? ","Glaubst du, ich wüsste das nicht?","あたしがそれを知らないと？","내가 그걸 모를까 봐?","Acha que não sei disso?","Думаешь, я этого не знаю?","¿Crees que no sé eso?","เจ้าคิดว่าข้าไม่รู้รึ?","你以為我不知道？","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_04_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
2,"HuntressDelwynOnSpiritsB",8,"'Course I care. What do you think it means? ","Bien sûr que cela m'importe. Que pensez-vous que cela signifie ? ","Natürlich interessiert mich das. Was glaubst du, was es bedeutet? ","気にしてるに決まってるだろ。で、どういう意味だと思ってるんだい？","당연히 신경 쓰지. 그 현상이 무슨 뜻이라고 생각해?","Claro que sim. O que você acha que isso significa?","Разумеется, мне не всё равно. Что, как ты думаешь, это значит?","Claro que me importa. ¿Qué crees que significa? ","ข้าใส่ใจแน่ เจ้าว่ามันมีความหมายเช่นไรเล่า?","我當然在乎。你以為那代表什麼？","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_04_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
3,"HuntressDelwynOnSpiritsC",8,"That's no small task. Far greater than chasing wisps.","Ce n'est pas une mince affaire. On ne parle pas de chasser de vulgaires Flammeroles.","Das ist keine einfache Aufgabe. Viel anspruchsvoller als die Jagd nach Irrlichtern.","それは簡単なことじゃないね。ウィスプを追うよりもずっと難しい。","그건 사소한 일이 아니야. 그저 도깨비불을 쫓아다니는 일이 아니지.","Isso não é pouca coisa. Bem mais difícil do que sair caçando lúmens.","Это немалое дело. Куда серьёзнее, чем гоняться за огоньками.","Esa no es una tarea fácil. Es mucho más grande que perseguir fuegos fatuos.","นั่นมิใช่งานง่าย ยากกว่าการไล่ล่าวิสป์เป็นแน่","這可不是什麼小差事。遠比追逐妖精重要得多。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_04_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
4,"HuntressDelwynOnWispTypesA",8,"More dangerous prey, then. Fine by me.","Hum, enfin des proies à ma hauteur.","Also eine gefährlichere Beute. Soll mir recht sein.","危険な獲物ってことかい。構わないよ。","더 위험한 사냥감이라는 거군. 난 좋아.","Caçada mais arriscada, então. Sem problema.","Больше опасной добычи, значит. Меня это устраивает.","Una presa más peligrosa, entonces. Bien por mí.","เหยื่อที่อันตรายกว่าเดิมรึ ข้ายินดี","也就是更危險的獵物。那正合我意。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_05_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
5,"HuntressDelwynOnWispEffectsA",8,"Every beast? Even those it don't possess?","Toutes les bêtes ? Même celles que je ne possède pas ?","Jede Bestie? Auch die, von denen es nicht Besitz ergreift?","全ての獣？取り憑かなかったやつもかい？","모든 야수 말이야? 도깨비불에 사로잡히지 않은 야수도?","Todas as criaturas? Até as que ele não possui?","Каждый зверь? Даже те, в которых он не вселится?","¿Todas las bestias? ¿Incluso las que no posee?","สัตว์ร้ายทุกตัวรึ? แม้นสัตว์ที่มันมิเข้าสิงด้วยรึ?","所有野獸？就連沒被它附身的也算？","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_05_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
6,"HuntressDelwynOnAzmeriA",8,"I've no love for the Vaal, but if not for their virtue gems, our village would be a smolderin' ruin right now.","Je n'apprécie guère les Vaals, mais sans leurs gemmes de vertu, notre village serait en cendres à l'heure qu'il est.","Ich habe nichts für die Vaal übrig, aber ohne ihre Machtgemmen wäre unser Dorf jetzt eine schwelende Ruine.","ヴァールは別に好きじゃないけど、奴らの美徳の魔石がなけりゃ、あたしたちの村は今頃廃墟の燃えカスだよ。","나도 바알을 좋아하진 않지만, 그들의 마석이 없었다면 우리 마을은 지금 연기를 뿜는 폐허가 됐을 거야.","Não gosto dos vaal, mas se não fossem as gemas da virtude deles, o vilarejo já teria virado cinzas.","К ваал я любви не питаю, но, если бы не их камни добродетели, наша деревня сейчас была бы тлеющими развалинами.","No me gustan nada los vaal, pero si no fuera por sus gemas de virtud, nuestro pueblo sería una ruina humeante ahora mismo.","ข้ามิได้ฝักใฝ่พวกวาล์นัก แต่หากมิมีมณีบารมีของพวกมัน\r\nหมู่บ้านเราย่อมเป็นเถ้าถ่านเป็นแน่","我對瓦爾人沒什麼好感，但要不是他們的古靈寶石，我們的村莊現在早已成了冒煙的廢墟。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_08A_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
7,"HuntressDelwynOnAzmeriB",8,"You think that preferable? ","Vous pensez que c'est une meilleure option ? ","Hältst du das für besser? ","その方が良かったと？","그게 낫다고 생각하는 거야?","Acha isso melhor?","Ты бы это предпочёл?","¿Crees que eso es mejor?","เจ้าว่าเป็นเช่นนั้นดีกว่ารึ?","你覺得那樣更好嗎？","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_08A_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
8,"HuntressDelwynOnFoxA",8,"Lucky? Speak for yourself.","De la chance ? Parlez pour vous.","Glück? Du sprichst für dich selbst.","運が良かった？あんたにとってはそうかもね。","운이 좋다고? 당신 생각에나 그렇겠지.","Sorte? Fale por você.","Повезло? Говори за себя.","¿Suerte? Habla por ti.","โชคดีแล้วรึ? เจ้าพูดได้นี่","幸運？你自己才這麼說。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_11.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
9,"HuntressDelwynOnHareA",8,"Lovely. Just what this place needs—more things what won't stay dead.","Merveilleux… Exactement ce qu'il manquait à cet endroit, d'autres créatures qui refusent de mourir.","Wunderbar. Genau das, was dieser Ort braucht — mehr Dinge, die nicht tot bleiben.","最高だよ。丁度もっと必要だったんだ……死んでも起き上がってくる奴らが。","좋네. 죽어 있지 않으려고 하는 존재가 더 있다니, 이곳에 딱이네.","Ótimo, era só o que faltava. Mais coisas que insistem em não morrer.","Чудесно. Как раз этого здесь не хватает – больше тварей, не желающих лежать в земле.","Encantador. Justo lo que este sitio necesita: más cosas que no se quedan muertas.","เยี่ยมนัก ที่นี่ต้องการสิ่งที่ลืมเป็นลืมตายมากกว่าเดิมเป็นแน่","真棒。這地方正需要更多死不透的東西。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_12.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
10,"HuntressDelwynOnSacredWispsA",8,"Think the Spirit's trying to tell us somethin'?","Vous pensez que l'Esprit cherche à nous dire quelque chose ?","Glaubst du, der Geist versucht uns etwas zu sagen?","精霊様が何かを伝えようとしているっていうのかい？","혼백이 우리에게 하고 싶은 말이라도 있는 걸까?","Será que o espírito está tentando nos dizer alguma coisa?","Думаешь, Дух пытается нам что-то сказать?","¿Crees que el Espíritu está intentando decirnos algo?","เจ้าว่าพระวิญญาณพยายามบอกอะไรเราอยู่รึ?","你覺得魂靈是想告訴我們什麼嗎？","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_10_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
11,"HuntressDelwynOnSacredWispsB",8,"I'm here, aren't I? ","Je suis là, après tout. ","Ich bin hier, nicht wahr?","ここにいるだろ？","나 여기 있잖아. 안 보여?","Estou aqui, certo?","Я же здесь, разве нет?","Estoy aquí, ¿no?","ข้าอยู่ที่นี่แล้วไง","我這不是來了嗎？","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_10_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
12,"HuntressDelwynOnMapIntroA",8,"Aye. It's me. ","Oui. C'est moi. ","Jawohl. Ich bin's. ","ああ。あたしだ。","맞아. 나야.","É, sou eu.","Да. Это я.","Sí. Soy yo. ","ใช่ นี่ข้าเอง","是啊。是我。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_13_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
13,"HuntressDelwynOnMapIntroB",8,"I wish it were—but I'm glad yer okay. How'd you end up here? ","Je l'aurais souhaité, mais vous allez bien et m'en voilà rassurée. Comment avez-vous fini ici ? ","Ich wünschte, es wäre so, aber ich bin froh, dass es dir gut geht. Wie bist du hier gelandet? ","そうだった方が良かったよ……でも無事で良かった。どうやってここへ来たんだい？","차라리 꿈이었으면 좋겠지만... 당신이 무사하다니 다행이야. 여긴 웬일이야?","Bem que eu queria... mas fico feliz por você estar bem. Como chegou aqui?","Я бы хотела, чтобы это был он – но рада, что ты цел. Как ты здесь оказался?","Me gustaría que fuera así, pero me alegro de que estés bien. ¿Cómo terminaste aquí? ","หากเป็นฝันก็ดีนัก แต่ข้าดีใจที่เจ้ายังอยู่ดี เจ้าอยู่ถิ่นนี้ได้เช่นไร\r\nเล่า?","要真是就好了──但我很高興你沒事。你怎麼會到這裡來？","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_13_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
14,"TujenA4_Intro_A","","The name's Tujen. I'm the harbourmaster 'round here. <continue>Welcome to our fair little town. You've a vessel charter, I see?","M'appelle Tujen. J'suis le capitaine de port du coin.<continue>Bienvenue dans notre humble petite ville. Z'avez déjà un bateau affrété à c'que j'vois ?","Mein Name ist Tujen. Ich bin hier der Hafenmeister. \r\n<continue>Willkommen in unserer hübschen kleinen Stadt. Wie ich sehe, seid Ihr also auf der Suche nach einem Schiff?","俺はトゥージェン。ここの港を任されてる。<continue>俺たちの素敵な町へようこそ。傭船契約書を持ってるみてえだな？","난 투젠이라고 해. 이 항구 소장이지. <continue>우리 작지만 멋진 마을에 잘 왔어. 용선 증서를 가지고 있네?","Boas-vindas à nossa humilde vila. Me chamo Tujen, sou o chefe do porto por aqui. <continue>Então você tem uma carta de navegação?","Туджин меня зовут. Я тут начальник порта. <continue>Добро пожаловать в наш славный милый городок. Вижу, у тебя есть судовая грамота?","Soy Tujen. Soy el capitán de este puerto.\r\n <continue>Bienvenido a nuestro lindo pueblito. Tienes un contrato de barco, por lo que veo.","ข้าชื่อทูเจน เป็นนายท่าในแถบนี้<continue>ยินดีต้อนรับสู่เมืองเล็กๆ ของเรานะ ได้สัญญาเช่าเรือมาแล้ว\r\nใช่ไหม?","我名叫圖貞，是這裡的港務長。<continue>歡迎來到這座小鎮。我相信你有帶著一份船隻特許證？","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen/TujenA4_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen/TujenA4_01_02.ogg""]",[509],"",[],0,100,[],[],[],[],[],[],[],[],"",""
15,"TujenA4_Intro_A_Dex4b",8,"Greetings, Tujen. I'm lookin' for Makoru.","Salut à vous, Tujen. Je cherche Makoru.","Seid gegrüßt, Tujen. Ich suche nach Makoru.","よろしく、トゥージェン。マコルを探してるんだ。","반갑다, 투젠. 나는 마코루를 찾고 있다.","Saudações, Tujen. Tô procurando a Makoru.","Приветствую, Туджин. Я ищу Макору.","Saludos, Tujen. Estoy buscando a Makoru.","สวัสดีทูเจน ข้ามาหามาโครู","你好啊，圖貞。我正在找瑪寇魯。 ","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Tujen_Convo_A4_01_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
16,"TujenA4_Intro_A_DexInt4b",10,"Yes. I seek Makoru.","Oui, je suis à la recherche de Makoru.","Ja. Ich suche Makoru.","うむ。マコルを探している。","맞다. 마코루를 찾고 있다.","Sim, eu procuro a Makoru.","Да. Я ищу Макору.","Sí. Estoy buscando a Makoru.","ใช่ ข้ากำลังมองหามาโครู","是的。我來找瑪寇魯。","[""Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Convo/Monk_Tujen_Convo_A4_25.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
17,"TujenA4_Intro_A_Str4b",6,"That's right. I'm looking for Makoru.","Tout à fait. Je suis à la recherche de Makoru.","Das stimmt. Ich suche nach Makoru.","そうだ。マコルを探してるんだ。","그렇다. 나는 마코루를 찾고 있다.","Isso mesmo. Tô procurando a Makoru.","Верно. Я ищу Макору.","Así es. Estoy buscando a makoru.","ใช่ ข้าหามาโครูอยู่","你說的對。我正在找瑪寇魯。","[""Audio/Dialogue/4.0/Characters/Str/Warrior/Warrior_Convo/Warrior_Tujen_Convo_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
18,"TujenA4_Intro_A_Int4",1,"Hello, little one! Yes. I'm looking for Makoru.","Salut, petit homme ! En effet, je cherche Makoru.","Hallo, Kleiner! Ja. Ich suche nach Makoru.","こんにちは、おちびさん！ええ、マコルを探してるの。","안녕, 꼬마야! 그래, 나는 마코루를 찾고 있다.","Olá, baixinho! Sim. Estou procurando a Makoru.","А, привет, маленький! Да, я ищу Макору.","¡Hola, pequeño! Sí. Estoy buscando a Makoru.","สวัสดีเจ้าเปี๊ยก! ใช่ ข้าหามาโครูอยู่พอดี","你好啊，小傢伙！是的，我正在找瑪寇魯。 ","[""Audio/Dialogue/4.0/Characters/Int/Witch/Witch_Convo/Witch_Convo_TujenA4_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
19,"TujenA4_Intro_A_Int4b",7,"Greetings, Master Tujen. Indeed, I have a charter. I seek Makoru.","Bien le bonjour, maître Tujen. En effet, j'ai une charte. Je cherche Makoru.","Seid gegrüßt, Meister Tujen. Ich habe bereits einen Chartervertrag. Ich suche Makoru.","よろしく、トゥージェン殿。いかにも、傭船契約書がある。マコルを探している。","반갑다, 투젠 소장. 용선 증서는 가지고 있고, 마코루를 찾고 있다.","Saudações, mestre Tujen. De fato, tenho uma carta de navegação. Procuro a Makoru.","Приветствую, мастер Туджин. Я ищу Макору. Нужный документ у меня есть.","Saludos, maestro Tujen, Ciertamente, poseo un contrato. Busco a Makoru.","สวัสดีคุณทูเจน ใช่ ข้าได้สัญญาเช่ามาแล้ว ข้าตามหามาโครู\r\nอยู่","你好啊，圖貞港務長。是的，我有張特許證。我來找瑪寇魯。","[""Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Convo/Sorceress_Convo_TujenA4_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
20,"TujenA4_Intro_A_Dex4",2,"Yes. Where can I find Makoru?","Oui. Où puis-je trouver Makoru ?","Ja. Wo finde ich Makoru.","ええ。マコルはどこに行けば会えるの？","그렇다. 마코루는 어디 있지?","Sim. Onde posso encontrar a Makoru?","Да. Скажи, где найти Макору?","Sí. ¿Dónde puedo encontrar a Makoru?","ใช่ มาโครูอยู่ที่ไหน?","是的，我在哪裡可以找到瑪寇魯？","[""Audio/Dialogue/4.0/Characters/Dex/Ranger/Ranger_Convo/Ranger_Convo_TujenA4_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
21,"TujenA4_Intro_A_StrDex4b",9,"Hey, mate. Yeah... <continue>Know where Makoru is?","Hé, l'ami. Ouais… <continue>Savez où est Makoru ?","Hey, Kumpel. Ja ...\r\n<continue>'Ne Ahnung, wo Makoru ist?","よお。そうだな……<continue>マコルの居場所はわかるか？","안녕. 그래... <continue>마코루가 어디 있는지 아니?","E aí, colega. Aham... <continue>Sabe onde a Makoru está?","Привет, приятель. Ага...<continue>Знаешь, где найти Макору?","Qué tal, amigo. Sí... <continue>¿Sabes dónde está Makoru?","ไงพวก คืองี้นะ...<continue>รู้ไหมว่ามาโครูอยู่ไหน?","嘿，夥計。是啊...<continue>知道瑪寇魯在哪裡嗎？ ","[""Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Convo/Mercenary_Tujen_Convo_A4_01_01.ogg"",""Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Convo/Mercenary_Tujen_Convo_A4_01_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
