"rownum","string_0","string_8","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","rid_16"
0,"Move_1","","","","","","","","","","",1
1,"FirstWeapon_1","<tutorialgesture>{Get ready for battle!}\r\nLoot the Weapon Rack","<tutorialgesture>{Préparez-vous au combat !}\r\nFouillez le râtelier d'armes","<tutorialgesture>{Bereite dich auf den Kampf vor!}\r\nPlündere das Waffenregal.","<tutorialgesture>{Get ready for battle!}\r\nLoot the Weapon Rack","<tutorialgesture>{전투 준비!}\r\n무기 걸이대에서 전리품을 획득하십시오.","<tutorialgesture>{Prepare-se para a batalha!} Saqueie o suporte de armas","WIP","<tutorialgesture>{¡Prepárate para la batalla!}\r\nSaquea el estante de armas","<tutorialgesture>{เตรียมต่อสู้ให้พร้อม!}\r\nเก็บไอเทมมาจากชั้นอาวุธ","<tutorialgesture>{準備迎戰！}\r\n搜刮武器架",2
2,"FirstWeapon_2","<tutorialgesture>{[Tap]} to pick up items or\r\nuse the Interact button","<tutorialgesture>{[Appuyez]} pour ramasser les objets ou\r\nutilisez le bouton Interagir","<tutorialgesture>{[Tippe]}, um Gegenstände aufzuheben oder\r\nverwenden die Interagieren-Schaltfläche ","<tutorialgesture>{[Tap]} to pick up items or\r\nuse the Interact button","<tutorialgesture>{[터치]}해서 아이템을 획득하거나\r\n상호작용 버튼을 사용하십시오.","<tutorialgesture>{[Toque]} para pegar itens ou usar o botão Interagir","WIP","<tutorialgesture>{[Tap|Pulsa]} para recoger objetos o\r\nusa el botón de interactuar","<tutorialgesture>{[แตะ]}เพื่อเก็บไอเทมหรือ\r\nใช้ปุ่มใช้งาน","<tutorialgesture>{[輕點]}拾取物品或\r\n使用互動鍵",2
3,"FirstSkillGem_1","<tutorialgesture>{[Tap]} to pick up <gem>{Skill Gem}","<tutorialgesture>{[Appuyez]} pour ramasser la <gem>{Gemme d'aptitude}","<tutorialgesture>{[Tippe]}, um die <gem>{Fertigkeitengemme} aufzuheben.","<tutorialgesture>{[Tap]} to pick up <gem>{Skill Gem}","<tutorialgesture>{[터치]}해서 <gem>{스킬 젬}을 획득하십시오.","<tutorialgesture>{[Toque]} para pegar <gem>{Gema de Habilidade}","WIP","<tutorialgesture>{[Tap|Pulsa]} para recoger la <gem>{gema de habilidad}","<tutorialgesture>{[แตะ]}เพื่อเก็บ<gem>{หินสกิล}","<tutorialgesture>{[輕點]}拾取<gem>{技能寶石}",3
4,"FirstSkillGem_2","<gem>{Skill gems} <tutorialgesture>{must be equipped \r\nto harness its power}\r\n<tutorialgesture>{[Tap]} to open your Character Menu","Les <gem>{Gemmes d'aptitude} <tutorialgesture>{doivent être équipées\r\npour exploiter leur puissance}\r\n<tutorialgesture>{[Appuyez]} pour ouvrir votre Menu de personnage","<gem>{Fertigkeitengemmen} <tutorialgesture>{müssen ausgerüstet sein, um ihre Macht zu nutzen}.\r\n<tutorialgesture>{[Tippe]}, um das Charaktermenü zu öffnen.","<gem>{Skill gems} <tutorialgesture>{must be equipped \r\nto harness its power}\r\n<tutorialgesture>{[Tap]} to open your Character Menu","<gem>{스킬 젬}은 <tutorialgesture>{장착해야 \r\n힘을 이용할 수 있습니다.}\r\n<tutorialgesture>{[터치]}해서 캐릭터 메뉴를 여십시오.","<gem>{Gemas de Habilidade} <tutorialgesture>{precisam ser equipadas para liberar seu poder}\r\n<tutorialgesture>{[Toque]} para abrir o Menu de Personagem","WIP","Las <gem>{gemas de habilidad} <tutorialgesture>{deben equiparse \r\npara que puedas obtener su poder}\r\n<tutorialgesture>{[Tap|Pulsa]} para abrir el menú de tu personaje","<gem>{หินสกิล} <tutorialgesture>{ต้องถูกสวมใส่ก่อน\r\nจึงนำพลังมาใช้งานได้}\r\n<tutorialgesture>{[แตะ]}เพื่อเปิดเมนูตัวละครของคุณ","<gem>{技能寶石} <tutorialgesture>{必須裝備\r\n方可運用其力量}\r\n<tutorialgesture>{[輕點]}開啟你的角色選單",3
5,"FirstSkillGem_3","Navigate to the Skills Tab","Rendez-vous dans l'onglet Aptitudes","Wähle den Reiter Fertigkeiten.","Navigate to the Skills Tab","스킬 탭으로 이동","Vá até a aba de Habilidades","WIP","Navega a la pestaña de habilidades","ไปที่แท็บสกิล","引導至技能頁",3
6,"FirstSkillGem_4","<tutorialgesture>{[Drag and Drop]} the <gem>{Skill Gem}\r\ninto a skill gem socket","<tutorialgesture>{[Faites glisser et Déposez]} la <gem>{Gemme d'aptitude}\r\ndans une châsse de gemme d'aptitude","<tutorialgesture>{[Ziehe und setze]} die <gem>{Fertigkeitengemme}\r\nin eine Gemmenfassung","<tutorialgesture>{[Drag and Drop]} the <gem>{Skill Gem}\r\ninto a skill gem socket","<gem>{스킬 젬}을 스킬 젬 홈에\r\n<tutorialgesture>{[끌어 놓으십시오]}.","<tutorialgesture>{[Arraste e solte]} a <gem>{Gema de Habilidade} no encaixe de gema de habilidade","WIP","<tutorialgesture>{[Drag and Drop|Arrastra y suelta]} la <gem>{gema de habilidad}\r\nen un engarce para gemas de habilidad","<tutorialgesture>{[ลากแล้วปล่อย]}<gem>{หินสกิล}\r\nลงไปยังรูหินสกิล","<tutorialgesture>{[拖曳]}<gem>{技能寶石}\r\n至技能寶石插槽後放開",3
7,"FirstSkillGem_5","<tutorialgesture>{New skill acquired!}\r\nClose the Character Menu","<tutorialgesture>{Nouvelle aptitude obtenue !}\r\nFermez le Menu de personnage","<tutorialgesture>{Neue Fertigkeit erhalten!}\r\nSchließe das Charaktermenü.","<tutorialgesture>{New skill acquired!}\r\nClose the Character Menu","<tutorialgesture>{새로운 스킬 획득!}\r\n캐릭터 메뉴를 닫으십시오.","<tutorialgesture>{Nova habilidade adquirida!}\r\nFeche o Menu de Personagem","WIP","<tutorialgesture>{¡Nueva habilidad obtenida!}\r\nCierra el menú del personaje","<tutorialgesture>{ได้รับสกิลใหม่!}\r\nปิดเมนูตัวละคร","<tutorialgesture>{獲得新技能！}\r\n關閉角色選單",3
8,"FirstSkillGem_6","<tutorialgesture>{[Tap]} or <tutorialgesture>{[Tap-Hold]} to\r\ndisplay item information","<tutorialgesture>{[Appuyez]} ou <tutorialgesture>{[Appuyez-Maintenez]} pour\r\nafficher les informations de l'objet","<tutorialgesture>{[Tippe]} oder <tutorialgesture>{[tippe und halte]}, um Informationen zum Gegenstand anzuzeigen.","<tutorialgesture>{[Tap]} or <tutorialgesture>{[Tap-Hold]} to\r\ndisplay item information","<tutorialgesture>{[터치]}하거나 <tutorialgesture>{[길게 눌러]}\r\n아이템 정보를 표시하십시오.","<tutorialgesture>{[Toque]} ou <tutorialgesture>{[Toque e segure]} para exibir as informações do item","WIP","<tutorialgesture>{[Tap|Pulsa]} o <tutorialgesture>{[Tap-Hold|mantén pulsado]} para\r\nver la información del objeto","<tutorialgesture>{[แตะ]}หรือ<tutorialgesture>{[แตะลาก]}\r\nเพื่อแสดงข้อมูลไอเทม","<tutorialgesture>{[輕點]}或<tutorialgesture>{[輕點並按住]}來顯示物品資訊",3
9,"FirstSkillGem_7","<tutorialgesture>{[Drag and Drop]} the <gem>{Skill gem}\r\nto take the item","<tutorialgesture>{[Faites glisser et Déposez]} la <gem>{Gemme d'aptitude}\r\npour prendre l'objet","<tutorialgesture>{[Ziehe und setze]} die <gem>{Fertigkeitengemme} ein, um den Gegenstand zu nehmen.","<tutorialgesture>{[Drag and Drop]} the <gem>{Skill gem}\r\nto take the item","<gem>{스킬 젬}을 <tutorialgesture>{[끌어 놓아서]}\r\n아이템을 획득합니다.","<tutorialgesture>{[Arraste e solte]} a <gem>{Gema de Habilidade} para pegar o item","WIP","<tutorialgesture>{[Drag and Drop|Arrastra y suelta]} la <gem>{gema de habilidad}\r\npara obtener el objeto","<tutorialgesture>{[แตะแล้วลาก]}<gem>{หินสกิล}\r\nเพื่อรับไอเทม","<tutorialgesture>{[拖曳並放下]}<gem>{技能寶石}\r\n來拿取物品",3
