"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","BackgroundImage","i32_24","f32_28","f32_32","string_36","string_44","ForegroundImage","QuestFlag","i32_76","AwardVideo","SoundEffect"
0,"LegionMapDeviceAward","You have unlocked an additional item slot on the Map Device","Vous avez débloqué un emplacement supplémentaire dans votre Dispositif cartographique","Du hast einen zusätzlichen Gegenstandsplatz im Kartenapparat freigeschaltet.","マップデバイスで追加アイテムスロットが開かれました","지도 장치에서 추가 아이템 슬롯 1개를 해제했습니다","Você desbloqueou um espaço de item adicional no Dispositivo de Mapas","Вы разблокировали место для дополнительного предмета в Машине картоходца","Has desbloqueado un espacio de objeto adicional en el Artefacto de mapas","คุณได้ปลดล็อกช่องใส่ไอเทมเพิ่มในเครื่องเปิดแผนที่ของคุณแล้ว","你已解鎖地圖裝置上額外的物品欄","Art/2DArt/UIImages/InGame/GenericRewardBackground",6,3,2,"","","Art/2DArt/UIImages/InGame/GenericRewardMapDevice5","",0,"",""
1,"AtlasMissionKirac","Atlas Mission from Kirac Received","+1 Mission de l'Atlas avec Kirac","Atlasmission von Kirac erhalten","キラックからのアトラスミッションを受け取りました","키락으로부터 아틀라스 임무를 받았습니다","Recebeu Missão do Atlas de Kirac","Получено задание Атласа от Кирака","Has recibido una misión de Atlas de Kirac","ได้รับภารกิจแอตลาสจาก คิรัค","收到基拉克的輿圖任務","Art/2DArt/UIImages/InGame/AtlasMissionNotificationKirac",4829,3,2,"","","","",0,"",""
2,"AtlasMissionAlva","Atlas Mission from Alva Received","+1 Mission de l'Atlas avec Alva","Atlasmission von Alva erhalten","アルヴァからのアトラスミッションを受け取りました","알바로부터 아틀라스 임무를 받았습니다","Recebeu Missão do Atlas de Alva","Получено задание Атласа от Альвы","Has recibido una misión de Atlas de Alva","ได้รับภารกิจแอตลาสจาก อัลวา","收到艾瓦的輿圖任務","Art/2DArt/UIImages/InGame/AtlasMissionNotificationAlva",4829,3,2,"","","","",0,"",""
3,"AtlasMissionNiko","Atlas Mission from Niko Received","+1 Mission de l'Atlas avec Niko","Atlasmission von Niko erhalten","ニコからのアトラスミッションを受け取りました","니코로부터 아틀라스 임무를 받았습니다","Recebeu Missão do Atlas de Niko","Получено задание Атласа от Нико","Has recibido una misión de Atlas de Niko","ได้รับภารกิจแอตลาสจาก นิโค้","收到尼科的輿圖任務","Art/2DArt/UIImages/InGame/AtlasMissionNotificationNiko",4829,3,2,"","","","",0,"",""
4,"AtlasMissionEinhar","Atlas Mission from Einhar Received","+1 Mission de l'Atlas avec Einhar","Atlasmission von Einhar erhalten","アイナーからのアトラスミッションを受け取りました","아인하르로부터 아틀라스 임무를 받았습니다","Recebeu Missão do Atlas de Einhar","Получено задание Атласа от Эйнара","Has recibido una misión de Atlas de Einhar","ได้รับภารกิจแอตลาสจาก ไอนาร์","收到埃哈的輿圖任務","Art/2DArt/UIImages/InGame/AtlasMissionNotificationEinhar",4829,3,2,"","","","",0,"",""
5,"AtlasMissionJun","Atlas Mission from Jun Received","+1 Mission de l'Atlas avec Jun","Atlasmission von Jun erhalten","ジュンからのアトラスミッションを受け取りました","준으로부터 아틀라스 임무를 받았습니다","Recebeu Missão do Atlas de Jun","Получено задание Атласа от Джун","Has recibido una misión de Atlas de Jun","ได้รับภารกิจแอตลาสจาก จุน","收到瓊恩的輿圖任務","Art/2DArt/UIImages/InGame/AtlasMissionNotificationJun",4829,3,2,"","","","",0,"",""
6,"FavouredMapSlotUnlocked","Favoured Map Slot Unlocked","Emplacement de Carte favorite débloqué","Platz für Lieblingskarte freigeschaltet","お気に入りマップスロットがアンロックされました","선호 지도 슬롯을 잠금 해제했습니다","Espaço de Mapa Favorecido Desbloqueado","Разблокирована ячейка предпочитаемой карты","Has desbloqueado un espacio de mapa favorito","ปลดล็อก ช่องใส่แผนที่ที่ชื่นชอบ แล้ว","解鎖幸運地圖欄位","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",4829,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","",0,"",""
7,"HarvestCraftingBenchUnlocked","Horticrafting Station decoration now available in your Hideout","Nouvelle décoration disponible dans votre Repaire :\nÉtabli d'hortisanat","Die Dekoration Anfertigungsstation ist jetzt in deinem Versteck verfügbar","ハーベストクラフト台が隠れ家で使用できるようになりました","이제 푸르미 제작소 장식을 은신처에서 사용할 수 있습니다.","Decoração Estação de Horticultura disponível em seu refúgio","Декоративная плодоремесленная установка теперь доступна в вашем убежище","La decoración Mesa de fabricación herbaria ya está disponible en tu guarida","ของตกแต่ง โต๊ะคราฟท์สวน (Horticrafting Station) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","園藝憩站現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",4829,3,2,"","","Art/2DArt/UIImages/InGame/HorticraftingDisplay","",0,"",""
8,"HarvestSeedStashUnlocked","Seed Stockpile decoration now available in your Hideout","Nouvelle décoration disponible dans votre Repaire :\nRéserve de graines","Die Dekoration Samenvorrat ist jetzt in deinem Versteck verfügbar","シード貯蔵庫が隠れ家で使用できるようになりました","이제 씨앗 전리품 장식을 은신처에서 사용할 수 있습니다.","Decoração Monte de Sementes disponível em seu refúgio","Декоративный сундук с семенами теперь доступен в вашем убежище","La decoración Reserva de semillas ya está disponible en tu guarida","ของตกแต่ง คลังเก็บเมล็ดพันธุ์ (Seed Stockpile) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","裝飾物：種子堆現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",4829,3,2,"","","Art/2DArt/UIImages/InGame/SeedStashDisplay","",0,"",""
9,"HeistStashUnlocked","Heist Locker decoration now available in your Hideout","Nouvelle décoration disponible dans votre Repaire :\nCasier de Malfaiteur","Die Dekoration Heist-Schließfach ist jetzt in deinem Versteck verfügbar","ハイストロッカーが隠れ家で使用できるようになりました","이제 강탈 사물함 장식을 은신처에서 사용할 수 있습니다.","Decoração Armário do Assalto disponível em seu refúgio","Декоративный сундук Кражи теперь доступен в вашем убежище","La decoración Armario de Heist ya está disponible en tu guarida","ของตกแต่ง ล็อกเกอร์โจรกรรม (Heist Locker) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","裝飾物：劫盜鎖櫃現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",4829,3,2,"","","Art/2DArt/UIImages/InGame/HeistStashDisplay","",0,"",""
10,"ExpeditionStashUnlocked","Expedition Locker decoration now available in your Hideout","Nouvelle décoration disponible dans votre Repaire :\nCasier d'Expédition","Die Dekoration Expedition-Truhe ist jetzt in deinem Versteck verfügbar","エクスペディションロッカーが隠れ家で使用できるようになりました","이제 탐험 사물함 장식을 은신처에서 사용할 수 있습니다.","Decoração Armário da Expedição disponível em seu refúgio","Декоративный сундук Экспедиции теперь доступен в вашем убежище","La decoración Armario de Expedition ya está disponible en tu guarida","ของตกแต่ง ล็อกเกอร์กองสำรวจ (Expedition Locker) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","裝飾物：探險鎖櫃現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",4829,3,2,"","","Art/2DArt/UIImages/InGame/ExpeditionStashDisplay","",0,"",""
