"rownum","rid_0","[rid]_16"
0,2469,"[14189,14192,14195,14197,14199]"
1,2470,"[14202,14205,14208,14210,14212]"
2,2471,"[14215,14218,14221,14223,14225]"
3,2472,"[14228,14231,14234,14236,14238]"
4,2473,"[14241,14244,14247,14249,14251]"
5,2474,"[14255,14258,14261,14263,14265]"
6,2475,"[14268,14271,14274,14276,14278]"
7,2476,"[14281,14284,14287,14289,14291]"
8,2477,"[14294,14297,14300,14302,14304]"
9,2478,"[14307,14310,14313,14315,14317]"
10,2479,"[14320,14323,14326,14328,14330]"
11,2480,[14333]
12,2481,[14346]
13,2482,"[14360,14363,14366,14368,14370]"
14,2483,"[14373,14376,14379,14381,14383]"
15,2484,"[14386,14389,14394,14396,14398]"
16,2485,[14401]
17,2486,"[14417,14420,14423,14425,14427]"
18,2487,"[14432,14435,14438,14440,14442]"
19,2488,"[14447,14450,14453,14455,14457]"
20,2489,"[14462,14464,14466,14468,14470]"
21,2490,"[14477,14479,14481,14483,14485]"
22,2491,"[14490,14492,14494,14496,14498]"
23,2492,"[14503,14505,14507,14509,14511]"
24,2493,"[14514,14516,14518,14520,14522]"
25,2494,"[14525,14527,14529,14531,14533]"
26,2495,"[14536,14538,14540,14541,14542]"
27,2496,"[14544,14546,14548,14549,14550]"
28,2497,"[14552,14554,14556,14557,14558]"
29,2498,"[14560,14562,14564,14565,14566]"
30,2499,"[14568,14570,14572,14573,14574]"
31,2500,"[14576,14578,14580,14581,14582]"
32,2501,"[14584,14585,14586,14587,14588]"
33,2502,"[14590,14591,14592,14593,14594]"
34,2503,"[14596,14597,14598,14599,14600]"
35,2504,"[14602,14604,14606,14607,14608]"
36,2505,"[14610,14612,14614,14615,14616]"
37,2506,"[14618,14620,14622,14623,14624]"
38,2507,"[14626,14627,14628,14629,14630]"
39,2508,"[14632,14633,14634,14635,14636]"
40,2509,"[14638,14639,14640,14641,14642]"
41,2510,"[14644,14647,14650,14652,14654]"
42,2511,"[14657,14659,14661,14663,14665]"
43,2512,"[14668,14670,14672,14674,14676]"
44,2513,"[14679,14682,14685,14687,14689]"
45,2514,"[14692,14695,14698,14700,14702]"
46,2515,[14705]
47,2516,[14727]
48,2517,[14738]
49,2518,[14749]
