"rownum","string_0","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)","string_16","string_16 (French)","string_16 (German)","string_16 (Japanese)","string_16 (Korean)","string_16 (Portuguese)","string_16 (Russian)","string_16 (Spanish)","string_16 (Thai)","string_16 (Traditional Chinese)","string_24","i32_32","string_36","string_44"
0,"WorldPanelPinPopupMonsterLevelModified","Monster level: <magic>{{{0}}}","Niveau des monstres : <magic>{{{0}}}","Monsterstufe: <magic>{{{0}}}","モンスターレベル: <magic>{{{0}}}","몬스터 레벨: <magic>{{{0}}}","Nível do monstro: <magic>{{{0}}}","Уровень монстров: <magic>{{{0}}}","Nivel de los monstruos: <magic>{{{0}}}","มอนสเตอร์เลเวล: <magic>{{{0}}}","怪物等級：<magic>{{{0}}}","","","","","","","","","","","",991422826,"",""
1,"WorldPanelEndgameMapLegendBottomText","","","","","","","","","","","","","","","","","","","","","",631551259,"",""
2,"EndgameMapContentNameCorrupted","Corrupted","Corrompue","Verderbt","コラプト状態","타락","Corrompido","Осквернено","Corrupto","มีมลทิน","已汙染","","","","","","","","","","","",1845646208,"",""
3,"EndgameMapContentNameHideout","Hideout","Repaire","Versteck","隠れ家","은신처","Refúgio","Убежище","Guarida","ที่ซ่อน","藏身處","","","","","","","","","","","",362300572,"",""
4,"EndgameMapContentNameMerchant","Merchant","Marchand","Händler","商人","상인","Mercador","Торговец","Mercader","ผู้ค้าขาย","商人","","","","","","","","","","","",1765188316,"",""
5,"EndgameMapContentNameUniqueMap","Unique Map","Carte Unique","Einzigartige Karte","ユニークマップ","고유 지도","Mapa Único","Уникальная карта","Mapa único","แผนที่ยูนิค","傳奇地圖","","","","","","","","","","","",1148221156,"",""
6,"EndgameMapContentDescriptionCorrupted","Area has [CoalescedCorruption|Coalesced Corruption]","La zone a [CoalescedCorruption|Corruption amalgamée]","Gebiet hat [CoalescedCorruption|Vereinigte Verderbtheit]","エリアは[CoalescedCorruption|穢れと融合]している","지역에 [CoalescedCorruption|응결된 타락] 등장","Área tem [CoalescedCorruption|Corrupção Coagulada]","[CoalescedCorruption|Сгустившаяся порча]","Esta área tiene [CoalescedCorruption|fusión de corrupción]","ด่านมี [CoalescedCorruption|พลังมลทินรวมตัว]","區域中具有[CoalescedCorruption|腐化融合體]","","","","","","","","","","","",-1554188264,"",""
7,"EndgameMapContentDescriptionHideout","Area can be claimed as a [ContainsHideout|Hideout] when cleared","La zone peut être revendiquée comme [ContainsHideout|Repaire] une fois nettoyée","Gebiet kann als [ContainsHideout|Versteck] beansprucht werden, nachdem es gesäubert ist","エリアをクリアすると[ContainsHideout|隠れ家]として獲得できる","지역의 적 소탕 시 [ContainsHideout|은신처] 건설 가능","Área pode ser reivindicada como um [ContainsHideout|Refúgio] quando limpa","После зачистки область можно присвоить в качестве [ContainsHideout|убежища]","Esta área se puede reclamar como [ContainsHideout|guarida] tras despejarla","ด่าน สามารถยึดครองมาเป็น [ContainsHideout|ที่ซ่อน] ได้เมื่อกวาดล้างสำเร็จ","區域清空時可以作為[ContainsHideout|藏身處]","","","","","","","","","","","",-1687750642,"",""
8,"EndgameMapContentDescriptionMerchant","Area contains a [ContainsWanderingTrader|Wandering Trader]","La zone contient un [ContainsWanderingTrader|Marchand itinérant]","Gebiet enthält einen [ContainsWanderingTrader|Wandernden Händler]","エリアに[ContainsWanderingTrader|放浪の交易商人]が出現する","지역에 [ContainsWanderingTrader|방랑 상인] 등장","Área contém um [ContainsWanderingTrader|Mercador Errante]","В области можно встретить [ContainsWanderingTrader|бродячего торговца]","Esta área contiene un [ContainsWanderingTrader|Vendedor ambulante]","ด่านมี [WanderingTrader|ผู้ค้าขายพเนจร] คนหนึ่ง","區域含有一名[ContainsWanderingTrader|流浪商人]","","","","","","","","","","","",1808737550,"",""
9,"EndgameMapContentDescriptionUniqueMap","Area is a [ContainsUniqueMap|Unique Map]","La zone est une [ContainsUniqueMap|Carte Unique]","Gebiet ist eine [ContainsUniqueMap|Einzigartige Karte]","エリアは[ContainsUniqueMap|ユニークマップ]である","지역이 [ContainsUniqueMap|고유 지도]임","Área é um [ContainsUniqueMap|Mapa Único]","Область является [ContainsUniqueMap|уникальной картой]","Esta área es un [ContainsUniqueMap|mapa único]","ด่านเป็น [ContainsUniqueMap|แผนที่ยูนิค]","區域為[ContainsUniqueMap|傳奇地圖]","","","","","","","","","","","",22574375,"",""
