"rownum","Id","Image","IsHC","IsSSF","Banner","IsRuthless","BannerArt","LogoArt"
0,"EventFlag","Art/2DArt/UIImages/Common/LeagueEvent","","","Art/2DArt/UIImages/Login/BannerEventDefault","","",""
1,"StandardFlag","Art/2DArt/UIImages/Common/LeagueStandard","","","Art/2DArt/UIImages/Login/BannerStandard","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconStandard.dds",""
2,"HardcoreFlag","Art/2DArt/UIImages/Common/LeagueHardcore",1,"","Art/2DArt/UIImages/Login/BannerHardcore","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/LeagueBannerIconStandard.dds",""
3,"OnslaughtFlag","Art/2DArt/UIImages/Common/LeagueOnslaught","","","Art/2DArt/UIImages/Login/BannerOnslaught","","",""
4,"AnarchyFlag","Art/2DArt/UIImages/Common/LeagueAnarchy",1,"","Art/2DArt/UIImages/Login/BannerAnarchy","","",""
5,"VoidFlag","Art/2DArt/UIImages/Common/LeagueVoid","","","","","",""
6,"EventLargeStandard","Art/2DArt/UIImages/Common/LeagueEventLargeStandard","","","","","",""
7,"EventLargeHardcore","Art/2DArt/UIImages/Common/LeagueEventLargeHardcore",1,"","","","",""
8,"DominationFlag","Art/2DArt/UIImages/Common/LeagueDomination","","","Art/2DArt/UIImages/Login/BannerDomination","","",""
9,"NemesisFlag","Art/2DArt/UIImages/Common/LeagueNemesis",1,"","Art/2DArt/UIImages/Login/BannerNemesis","","",""
10,"AmbushFlag","Art/2DArt/UIImages/Common/LeagueAmbush","","","Art/2DArt/UIImages/Login/BannerAmbush","","",""
11,"InvasionFlag","Art/2DArt/UIImages/Common/LeagueInvasion",1,"","Art/2DArt/UIImages/Login/BannerInvasion","","",""
12,"RampageFlag","Art/2DArt/UIImages/Common/LeagueRampage","","","Art/2DArt/UIImages/Login/BannerRampage","","",""
13,"BeyondFlag","Art/2DArt/UIImages/Common/LeagueBeyond",1,"","Art/2DArt/UIImages/Login/BannerBeyond","","",""
14,"TormentFlag","Art/2DArt/UIImages/Common/LeagueTorment","","","Art/2DArt/UIImages/Login/BannerTorment","","",""
15,"BloodlinesFlag","Art/2DArt/UIImages/Common/LeagueBloodlines",1,"","Art/2DArt/UIImages/Login/BannerBloodlines","","",""
