"rownum","SetId","AchievementsRequired","Rewards","TotemPieceEveryNAchievements","Message","Message (French)","Message (German)","Message (Japanese)","Message (Korean)","Message (Portuguese)","Message (Russian)","Message (Spanish)","Message (Thai)","Message (Traditional Chinese)","NotificationIcon","HideoutName","HideoutName (French)","HideoutName (German)","HideoutName (Japanese)","HideoutName (Korean)","HideoutName (Portuguese)","HideoutName (Russian)","HideoutName (Spanish)","HideoutName (Thai)","HideoutName (Traditional Chinese)","Id"
0,3,1,[7618],1,"Congratulations! You earned the Runes of Aldur Challenger Trophy!\nIt upgrades the more challenges you complete!","Félicitations ! Vous avez remporté le Trophée de défis de Runes of Aldur !\nIl s'améliore à mesure que vous accomplissez des défis !","Glückwunsch!\nDu hast die 'Runes of Aldur'-Herausforderer-Trophäe freigespielt!\nSchließe mehr Herausforderungen ab, um weitere Stufen zu erhalten!","おめでとうございます！\nルーンオブアルダーチャレンジャートロフィーを獲得しました！チャレンジを完了するとアップグレードされていきます！","축하합니다! 알두르의 룬 도전자 트로피를 획득했습니다!\n이 트로피는 도전과제를 많이 완료할수록 업그레이드됩니다!","Parabéns! Você ganhou o Troféu do Desafiante de Runes of Aldur!\nQuanto mais desafios você completar, mais ele se atualizará!","Поздравляем! Вы получили тотем Рун Альдура!\nЗавершайте больше испытаний, чтобы улучшить его!","¡Felicitaciones! ¡Has conseguido el trofeo de desafíos de Runes of Aldur!\n¡Cuantos más desafíos completes, más mejorará!","ยินดีด้วย! คุณ​ได้​รับ​เสาอนุสรณ์​แห่ง​การ​ท้าทาย Runes of Aldur แล้ว! ยิ่ง​ผ่าน​ภารกิจท้าทาย​มาก​เท่าไร มัน​ก็​ยิ่ง​อัพเกรด​มาก​ขึ้น​เท่านั้น! คลิก​ที่​นี่​เพื่อ​ดู​ของ​รางวัล","恭喜！你獲得了阿德爾的符文挑戰者獎盃！\n其會隨著你完成的挑戰數量升級！","","","","","","","","","","","","HideoutTotem2Pole1"
1,3,2,[7601],0,"Congratulations!\nYou earned the Ezomyte Rune Master Boots!","Félicitations !\nVous avez remporté les Bottes de Maître des runes ézomyte !","Glückwunsch!\nDu hast die Mikrotransaktion 'Runenmeister der Ezomyten'-Stiefel freigespielt!","おめでとうございます！\nエゾマイトのルーンマスターのブーツを獲得しました！","축하합니다!\n에조미어 룬 대가 장화를 획득했습니다!","Parabéns!\nVocê ganhou as Botas do Mestre das Runas Ezomyta!","Поздравляем!\nВы получили сапоги эзомитского мастера рун!","¡Felicitaciones!\n¡Has conseguido las Botas de maestro de runas ezomita!","ยินดี​ด้วย! คุณ​ได้​รับ​รองเท้า Ezomyte Rune Master แล้ว!","恭喜！\n你獲得了艾茲麥符文大師鞋子！","","","","","","","","","","","","KnightOfAldurBoots"
2,3,4,[7602],0,"Congratulations!\nYou earned the Ezomyte Rune Master Gloves!","Félicitations !\nVous avez remporté les Gants de Maître des runes ézomyte !","Glückwunsch!\nDu hast die Mikrotransaktion 'Runenmeister der Ezomyten'-Handschuhe freigespielt!","おめでとうございます！\nエゾマイトのルーンマスターのグローブを獲得しました！","축하합니다!\n에조미어 룬 대가 장갑을 획득했습니다!","Parabéns!\nVocê ganhou as Luvas do Mestre das Runas Ezomyta!","Поздравляем!\nВы получили перчатки эзомитского мастера рун!","¡Felicitaciones!\n¡Has conseguido los Guantes de maestro de runas ezomita!","ยินดี​ด้วย! คุณ​ได้​รับ​ถุงมือ Ezomyte Rune Master แล้ว!","恭喜！\n你獲得了艾茲麥符文大師手套！","","","","","","","","","","","","KnightOfAldurGloves"
3,3,6,[7603],0,"Congratulations!\nYou earned the Ezomyte Rune Master Body Armour!","Félicitations !\nVous avez remporté l'Armure de Maître des runes ézomyte !","Glückwunsch!\nDu hast die Mikrotransaktion 'Runenmeister der Ezomyten'-Körperrüstung freigespielt!","おめでとうございます！\nエゾマイトのルーンマスターのアーマーを獲得しました！","축하합니다!\n에조미어 룬 대가 갑옷을 획득했습니다!","Parabéns!\nVocê ganhou o Peitoral do Mestre das Runas Ezomyta!","Поздравляем!\nВы получили нательный доспех эзомитского мастера рун!","¡Felicitaciones!\n¡Has conseguido la Armadura de maestro de runas ezomita!","ยินดี​ด้วย! คุณ​ได้​รับ​เสื้อเกราะ Ezomyte Rune Master แล้ว!","恭喜！\n你獲得了艾茲麥符文大師胸甲！","","","","","","","","","","","","KnightOfAldurBodyArmour"
4,3,8,[7600],0,"Congratulations!\nYou earned the Ezomyte Rune Master Helmet!","Félicitations !\nVous avez remporté le Casque de Maître des runes ézomyte !","Glückwunsch!\nDu hast die Mikrotransaktion 'Runenmeister der Ezomyten'-Helm freigespielt!","おめでとうございます！\nエゾマイトのルーンマスターのヘルメットを獲得しました！","축하합니다!\n에조미어 룬 대가 투구를 획득했습니다!","Parabéns!\nVocê ganhou o Elmo do Mestre das Runas Ezomyta!","Поздравляем!\nВы получили шлем эзомитского мастера рун!","¡Felicitaciones!\n¡Has conseguido el Casco de maestro de runas ezomita!","ยินดี​ด้วย! คุณ​ได้​รับ​หมวก Ezomyte Rune Master แล้ว!","恭喜！\n你獲得了艾茲麥符文大師頭盔！","","","","","","","","","","","","KnightOfAldurHelmet"
5,4,1,[7596],0,"Rewarded the Ezomyte Rune Scars Character Skin Microtransaction!","Microtransaction « Apparence de personnage : Scarifications runiques ézomytes » obtenue !","Du wurdest mit der Mikrotransaktion 'Ezomyten-Runennarben'-Charakterskin belohnt!","エゾマイトのルーンの傷跡キャラクタースキンマイクロトランザクションを獲得しました！","보상으로 에조미어 룬 흉터 캐릭터 스킨 포인트 아이템을 받았습니다!","Recebeu a microtransação \""Visual de Personagem Cicatrizes Rúnicas Ezomytas\""!","Получен облик персонажа со шрамами в виде эзомитских рун!","¡Has recibido la microtransacción Aspecto de Cicatrices de runas ezomitas para el personaje como recompensa!","ได้รับสินค้าแฟชั่น สกินตัวละครแผลเป็นอักขระเอโซไมต์ แล้ว!","你獲得了角色外觀：艾茲麥符痕作為獎勵！","","Ezomyte Rune Scars Character Skin","Scarifications runiques ézomytes","'Ezomyten-Runennarben'-Charakterskin","エゾマイトルーンの傷跡キャラクターエフェクト","에조미어 룬 흉터 캐릭터 스킨","Visual de Personagem Cicatrizes Rúnicas Ezomytas","Облик персонажа со шрамами в виде эзомитских рун","Aspecto de Cicatrices de runas ezomitas para el personaje","สกินตัวละครแผลเป็นอักขระเอโซไมต์","角色外觀：艾茲麥符痕","EzomyteRuneScarsCharacterSkin"
6,4,2,[7599],0,"Rewarded the Candlemass Portal Microtransaction!","Microtransaction « Portail de Moultecierge » obtenue !","Du wurdest mit der Mikrotransaktion 'Brennende Kerzen'-Portal belohnt!","キャンドルマスポータルエフェクトを獲得しました！","보상으로 양초덩어리 포탈 포인트 아이템을 받았습니다!","Recebeu a microtransação \""Portal Candelário\""!","Получен портал Сретения!","¡Has recibido la microtransacción Portal de velas como recompensa!","ได้รับสินค้าแฟชั่น เอฟเฟควาร์ปแคนเดิลแมส แล้ว!","你獲得了時空之門．燭光作為獎勵！","","Candlemass Portal","Portail de Moultecierge","'Brennende Kerzen'-Portaleffekt","キャンドルマスポータル","양초덩어리 포탈","Portal Candelário","Портал Сретения","Portal de velas","เอฟเฟควาร์ปแคนเดิลแมส","時空之門．燭光","CandlemassPortalEffect"
7,5,1,[7620],1,"Congratulations! You earned the Forbidden Rites Challenger Trophy!\nIt upgrades the more challenges you complete!","Félicitations ! Vous avez remporté le Trophée de défis de Forbidden Rites !\nIl s'améliore à mesure que vous accomplissez des défis !","Glückwunsch!\nDu hast die 'Forbidden Rites'-Herausforderer-Trophäe freigespielt!\nSchließe mehr Herausforderungen ab, um weitere Stufen zu erhalten!","おめでとうございます！フォビドゥンライトチャレンジャートロフィーを獲得しました！チャレンジを完了するとアップグレードされていきます！","축하합니다! 금단의 의식 트로피를 획득했습니다!\n이 트로피는 도전과제를 많이 완료할수록 업그레이드됩니다!","Parabéns! Você ganhou o Troféu do Desafiante de Forbidden Rites!\nQuanto mais desafios você completar, mais ele se atualizará!","Поздравляем! Вы получили тотем Запретных ритуалов!\nЗавершайте больше испытаний, чтобы улучшить его!","¡Felicitaciones! ¡Has conseguido el trofeo de desafíos de Forbidden Rites!\n¡Cuantos más desafíos completes, más mejorará!","ยินดีด้วย! คุณ​ได้​รับ​เสาอนุสรณ์​แห่ง​การ​ท้าทาย Forbidden Rites แล้ว! ยิ่ง​ผ่าน​ภารกิจท้าทาย​มาก​เท่าไร มัน​ก็​ยิ่ง​อัพเกรด​มาก​ขึ้น​เท่านั้น! คลิก​ที่​นี่​เพื่อ​ดู​ของ​รางวัล","恭喜！你獲得了禁忌儀式挑戰者獎盃！\n其會隨著你完成的挑戰數量升級！","","","","","","","","","","","","HideoutTotem2Pole2"
8,5,2,[7760],0,"Congratulations!\nYou earned the Locust Footprints!","Félicitations !\nVous avez remporté les Empreintes Nuée de sauterelles !","Glückwunsch!\nDu hast die Heuschrecken-Fußspuren freigespielt!","おめでとうございます！イナゴの足跡を獲得しました！","축하합니다!\n메뚜기 발자국을 획득했습니다!","Parabéns!\nVocê ganhou o efeito Pegadas de Gafanhotos!","Поздравляем!\nВы получили следы саранчи!","¡Felicitaciones!\n¡Has conseguido las Huellas de langosta!","ยินดี​ด้วย! คุณ​ได้​รับเอฟเฟครอยเท้า Locust แล้ว!","恭喜！\n你獲得了行走特效：蝗禍！","","","","","","","","","","","","LocustFootprintsEffect"
9,5,4,[7763],0,"Congratulations!\nYou earned the Locust Swarm Rare Finisher Effect!","Félicitations !\nVous avez remporté l'Effet de mise à mort rare Nuée de sauterelles ! ","Glückwunsch!\nDu hast den Heuschreckenschwarm-Vollstreckereffekt freigespielt!","おめでとうございます！イナゴの群れレアフィニッシャーエフェクトを獲得しました！","축하합니다!\n메뚜기 떼 희귀 마무리 이펙트를 획득했습니다!","Parabéns!\nVocê ganhou o efeito finalizador de raros Enxame de Gafanhotos!","Поздравляем!\nВы получили эффект добивания - рой саранчи!","¡Felicitaciones!\n¡Has conseguido el Efecto de remate de Enjambre de langostas para monstruos raros!","ยินดี​ด้วย! คุณ​ได้​รับเอฟเฟคปลิดชีพแรร์ Locust Swarm แล้ว!","恭喜！\n你獲得了終結特效：蝗禍！","","","","","","","","","","","","LocustSwarmRareFinisherEffect"
