"rownum","string_0","string_8","string_16","string_16 (French)","string_16 (German)","string_16 (Japanese)","string_16 (Korean)","string_16 (Portuguese)","string_16 (Russian)","string_16 (Spanish)","string_16 (Thai)","string_16 (Traditional Chinese)","string_24","string_24 (French)","string_24 (German)","string_24 (Japanese)","string_24 (Korean)","string_24 (Portuguese)","string_24 (Russian)","string_24 (Spanish)","string_24 (Thai)","string_24 (Traditional Chinese)","bool_32"
0,"UseBoundSkill","","Uses Skill bound to this slot.","Utilise l'Aptitude affectée à ce raccourci.","Benutzt die Fertigkeit, die diesem Platz zugewiesen ist.","このスロットに割り当てられたスキルを使用する。","이 슬롯에 지정되어 있는 스킬을 사용합니다.","Usa a Habilidade vinculada a este espaço.","Использовать умение, привязанное к этой ячейке.","Usa la habilidad que está vinculada a este espacio.","ใช้สกิลที่ตั้งไว้ในช่องนี้","使用綁定到此欄位的技能。","Use Skill","Utiliser l'Aptitude","Fertigkeit benutzen","スキルを使用","스킬 사용","Usar Habilidade","Использовать умение","Usar habilidad","ใช้สกิล","使用技能",""
1,"UseAnyLifeFlask","Art/2DArt/SkillIcons/GamepadActions/FlaskLife.dds","Drink from your equipped life flask.","Buvez dans votre Flacon de Vie équipé","Trinke aus deinem ausgerüsteten Lebensfläschchen.","装備しているライフフラスコを飲む。","장착한 생명력 플라스크를 마십니다.","Beba do seu frasco de vida equipado.","Отпить из флакона жизни на поясе.","Bebes de tu frasco de vida equipado.","ดื่มขวดยาพลังชีวิตที่คุณสวมใส่","飲用保有最多使用次數的藥劑。","Use Life Flask","Utiliser le Flacon de Vie","Lebensfläschchen benutzen","ライフフラスコを使用","생명력 플라스크 사용","Usar Frasco de Vida","Использовать флакон жизни","Usar frasco de vida","ใช้ขวดยาพลังชีวิต","使用生命藥劑",""
2,"UseAnyManaFlask","Art/2DArt/SkillIcons/GamepadActions/FlaskMana.dds","Drink from your equipped mana flask.","Buvez dans votre Flacon de Mana équipé.","Trinke aus deinem ausgerüsteten Manafläschchen.","装備しているマナフラスコを飲む。","장착한 마나 플라스크를 마십니다.","Beba do seu frasco de mana equipado.","Отпить из флакона маны на поясе.","Bebes de tu frasco de maná equipado.","ดื่มขวดยามานาที่คุณสวมใส่","飲用保有最多使用次數的藥劑。","Use Mana Flask","Utiliser le Flacon de Mana","Manafläschchen benutzen","マナフラスコを使用","마나 플라스크 사용","Usar Frasco de Mana","Использовать флакон маны","Usar frasco de maná","ใช้ขวดยามานา","使用魔力藥劑",""
3,"UseDodgeRoll","Art/2DArt/SkillIcons/GamepadActions/DodgeRoll.dds","Perform a quick Dodge Roll.\r\nCan be used to instantly break out of animation locks.","Effectue une Roulade rapide.\r\nPeut être utilisé pour casser instantanément les verrouillages d'animation.","Führt eine schnelle Ausweichrolle aus.\r\nKann verwendet werden, um sofort aus Animationssperren herauszukommen.","ドッジロールを行う。\r\nアニメーションロックを即座に解除するために使用できる。","빠르게 회피 구르기를 합니다.\r\n사용하면 즉시 공격 애니메이션 재생으로 인해 움직이지 못하는 상태에서 벗어날 수 있습니다.","Executa uma Cambalhota Evasiva.\r\nPode ser usada para sair instantaneamente de travas de animação.","Быстрый уворот кувырком.\r\nМожно использовать для мгновенного прерывания анимации действий.","Esquiva rodando.\r\nSe puede utilizar para salir al instante de los bloqueos de las animaciones.","ทำการกลิ้งหลบอย่างรวดเร็ว\r\nสามารถใช้เพื่อระงับการล็อกอนิเมชั่นได้","執行快速翻滾閃避。\r\n可用於立刻打破動作鎖定。","Dodge Roll","Roulade","Ausweichrolle","ドッジロール","회피 구르기","Rolamento","Уворот кувырком","Esquivar rodando","กลิ้งหลบ","閃避翻滾",""
4,"ToggleMap","Art/2DArt/SkillIcons/GamepadActions/Map.dds","Toggle between the Corner Map, and the Map Overlay.\r\n\r\nPress and hold the <b>{Map Button} and use <<xbox_rstick>> to pan the full map. ","Bascule entre la Carte en coin et la Carte en surimpression.\r\n\r\nAppuyez et maintenez enfoncé le <b>{bouton Carte} et utilisez <<xbox_rstick>> pour déplacer l'intégralité de la carte.","Wechselt zwischen der Minikarte in der Ecke und der Übersichtskarte.\r\n\r\nHalte die <b>{Kartentaste} gedrückt und benutze <<xbox_rstick>>, um die gesamte Karte zu verschieben. ","コーナーマップ、マップオーバーレイを切り替える。\r\n\r\n<b>{マップボタン}を押したまま、<<xbox_rstick>>でマップ全体をパンします。","미니맵과 지도 전환을 오갑니다.\r\n\r\n<b>{지도 버튼}을 누른 상태로 <<xbox_rstick>을 사용하면 전체 지도에서 이동할 수 있습니다.","Alterna entre o Mapa de Canto e a Sobreposição de Mapa.\r\n\r\nPressione e segure o <b>{Botão de Mapa} e use <<xbox_rstick>> para arrastar todo o mapa.","Переключение между мини-картой в углу и развёрнутой картой.\r\n\r\nУдерживая <b>{кнопку карты}, двигайте <<xbox_rstick>> для прокрутки развёрнутой карты.","Cambia entre el mapa de la esquina y el mapa de transparencia.\r\n\r\nMantén presionado el <b>{botón del mapa} y usa <<xbox_rstick>> para ver el mapa completo.","สลับระหว่างแผนที่หัวมุมกับแผนที่ซ้อน\r\n\r\nกด<b>{ปุ่มแผนที่}ค้างแล้วใช้ <<xbox_rstick>> เพื่อเลื่อนดูแผนที่ตัวเต็ม","在小地圖和地圖重疊間切換。\r\n\r\n按住<b>{地圖按鍵}並使用<<xbox_rstick>>來拖曳整張地圖。","Toggle map","Basculer la Carte","Karte umschalten","マップ切り替え","지도 변경","Alternar mapa","Переключить карту","Alternar mapa","สลับแผนที่","切換地圖",""
5,"CreateTownPortal","Art/2DArt/SkillIcons/GamepadActions/PortalScroll.dds","Create a Portal to Town.","Crée un Portail vers la ville.","Erstellt ein Portal zur Stadt.","街へのポータルを生成する。","마을로 가는 포탈을 엽니다.","Cria um Portal para a Cidade.","Создать портал в лагерь.","Crea un portal al pueblo.","เปิดวาร์ปกลับเมือง","創造一道返回城鎮的傳送門。","Town Portal","Portail de ville","Stadtportal","街へのポータル","마을 포탈","Portal para a Cidade","Портал в лагерь","Portal al pueblo","วาร์ปเมือง","城鎮傳送門",""
6,"UseFlask1","","Use Flask equipped in slot 1.","Utilise le Flacon équipé dans l'emplacement n°1.","Benutze Fläschchen in Platz 1.","スロット1に装備されたフラスコを使用する。","1번 슬롯에 장착한 플라스크를 사용합니다.","Usa o Frasco equipado no espaço 1.","Использовать флакон в 1 ячейке.","Usa el frasco equipado en el espacio 1.","ใช้ขวดยาที่สวมใส่ในช่องที่ 1","使用裝備在欄位 1 的藥劑。","Use Flask 1","Utiliser le Flacon n°1","Fläschchen 1 benutzen","フラスコ1を使用","플라스크 1 사용","Usar Frasco 1","Использовать флакон 1","Usar frasco 1","ใช้ขวดยา 1","使用藥劑 1",1
7,"UseFlask2","","Use Flask equipped in slot 2.","Utilise le Flacon équipé dans l'emplacement n°2.","Benutze Fläschchen in Platz 2.","スロット2に装備されたフラスコを使用する。","2번 슬롯에 장착한 플라스크를 사용합니다.","Usa o Frasco equipado no espaço 2.","Использовать флакон во 2 ячейке.","Usa el frasco equipado en el espacio 2.","ใช้ขวดยาที่สวมใส่ในช่องที่ 2","使用裝備在欄位 2 的藥劑。","Use Flask 2","Utiliser le Flacon n°2","Fläschchen 2 benutzen","フラスコ2を使用","플라스크 2 사용","Usar Frasco 2","Использовать флакон 2","Usar frasco 2","ใช้ขวดยา 2","使用藥劑 2",1
8,"UseFlask3","","Use Flask equipped in slot 3.","Utilise le Flacon équipé dans l'emplacement n°3.","Benutze Fläschchen in Platz 3.","スロット3に装備されたフラスコを使用する。","3번 슬롯에 장착한 플라스크를 사용합니다.","Usa o Frasco equipado no espaço 3.","Использовать флакон в 3 ячейке.","Usa el frasco equipado en el espacio 3.","ใช้ขวดยาที่สวมใส่ในช่องที่ 3","使用裝備在欄位 3 的藥劑。","Use Flask 3","Utiliser le Flacon n°3","Fläschchen 3 benutzen","フラスコ3を使用","플라스크 3 사용","Usar Frasco 3","Использовать флакон 3","Usar frasco 3","ใช้ขวดยา 3","使用藥劑 3",1
9,"UseFlask4","","Use Flask equipped in slot 4.","Utilise le Flacon équipé dans l'emplacement n°4.","Benutze Fläschchen in Platz 4.","スロット4に装備されたフラスコを使用する。","4번 슬롯에 장착한 플라스크를 사용합니다.","Usa o Frasco equipado no espaço 4.","Использовать флакон в 4 ячейке.","Usa el frasco equipado en el espacio 4.","ใช้ขวดยาที่สวมใส่ในช่องที่ 4","使用裝備在欄位 4 的藥劑。","Use Flask 4","Utiliser le Flacon n°4","Fläschchen 4 benutzen","フラスコ4を使用","플라스크 4 사용","Usar Frasco 4","Использовать флакон 4","Usar frasco 4","ใช้ขวดยา 4","使用藥劑 4",1
