"rownum","Id","MonsterType","MovementSpeed","ObjectSize","MinimumAttackDistance","MaximumAttackDistance","ACTFiles","AOFiles","BaseMonsterTypeIndex","Mods","i32_96","string_100","string_108","ModelSizeMultiplier","i32_120","i32_124","WeaponSoundType","i32_144","i32_148","Tags","ExperienceMultiplier","[i32]_172","MinAgroRange","MaxAgroRange","SpotlightColour1","SpotlightColour2","SpotlightColour3","GrantedEffects","AISFile","Mods2","Stance","BloodType","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","DamageMultiplier","LifeMultiplier","AttackSpeed","Weapon1_ItemVisualIdentity","Weapon2_ItemVisualIdentity","Back_ItemVisualIdentity","MainHand_ItemClass","OffHand_ItemClass","Helmet_ItemVisualIdentity","i32_388","KillSpecificMonsterCount_AchievementItems","Special_Mods","KillRare_AchievementItems","bool_440","i32_441","i32_445","i32_449","i32_453","i32_457","i32_461","HASH16","bool_467","string_468","string_468 (French)","string_468 (German)","string_468 (Japanese)","string_468 (Korean)","string_468 (Portuguese)","string_468 (Russian)","string_468 (Spanish)","string_468 (Thai)","string_468 (Traditional Chinese)","KillWhileOnslaughtIsActive_AchievementItem","MonsterSegment","MonsterArmour","KillWhileTalismanIsActive_AchievementItem","Part1_Mods","Part2_Mods","Endgame_Mods","rid_588","i32_604","i32_608","[rid]_612","MultiPartAchievements","i32_644","SinkAnimation_AOFile","bool_656","[rid]_657","bool_673","bool_674","bool_675","i32_676","i32_680","f32_684","SinkEffect","i32_696","MonsterConditionalEffectPack","bool_716","bool_717","i32_718","bool_722","i32_723","i32_727","i32_731","i32_735","i32_739","i32_743","InheritsFrom","i32_763","i32_767","BossHealthBar","TauntGrantedEffect","i32_788","bool_792","i32_793","i32_797","i32_801","i32_805","bool_809","Questflag","f32_826","f32_830","bool_834","[string]_835","[rid]_851","i32_867","PoiseThreshold","AttackCrit","rid_879","bool_895","i32_896","bool_900","i32_901","MonsterCategory","AggroAudio","i32_937","rid_941","bool_957","[i32]_958","[rid]_974","[i32]_990","[rid]_1006","string_1022"
0,"Any",57,40,1,6,6,[],[],"Metadata/Monsters/Clone/Clone",[],1,"","",100,1,3,"",17,0,"[74,760]",100,[],105,105,700,500,0,[1195],"",[],"",3,"[ANY MONSTER]","[ANY MONSTER]","[ANY MONSTER]","[モンスター]","[모든 몬스터]","[ANY MONSTER|QUALQUER MONSTRO]","[ЛЮБОЙ МОНСТР]","[ANY MONSTER]","[มอนสเตอร์ใดก็ได้]","[任意怪物]",100,100,830,[],[],"","","","",0,[],[],[],"",0,6,135,0,0,135,6509,"","","M","N","","","M","","","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,"","",7,"",0,0,0,0,"","",1,1,"",[],[],0,100,0.05,0,1,0,"",10,2,"",0,"","",[],[],[],[],""
1,"Metadata/Monsters/Monkeys/MonkeyJungle",1,46,2,4,9,"[""Metadata/Monsters/Monkeys/Jungle/MonkeyJungle.act""]","[""Metadata/Monsters/Monkeys/BloodMonkey/BloodMonkeyJungle.ao""]","Metadata/Monsters/Monkeys/Jungle/MonkeyJungle",[],1,"","",100,1,6,5,1,0,"[779,72,926,760,762,747,49,718,31,29,719,714,32,118,750,1030]",65,[4],105,105,700,500,0,"[1204,1506,4645]","Metadata/Monsters/Monkeys/Jungle/MonkeyJungle.ais",[],"",0,"Feral Primate","Primate sauvage","Ungezähmter Primat","凶暴な猿","야생 영장류","Primata Selvagem","Дикий примат","Primate feral","Feral Primate","野性靈長類",65,65,1005,[],[],"","","","",0,[],[],[],1,1,4,3,0,0,3,18656,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,15,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",7,"",0,-5,5,0,"","",1,1,"",[],"[47,77]",3,65,0.05,0,1,0,"",25,4,"",0,"","",[],[],[],[],""
2,"Metadata/Monsters/Monkeys/MonkeyJunglePale",1,46,2,4,9,"[""Metadata/Monsters/Monkeys/Jungle/MonkeyJungle.act""]","[""Metadata/Monsters/Monkeys/BloodMonkey/BloodMonkeyPale.ao""]","Metadata/Monsters/Monkeys/Jungle/MonkeyJungle",[],1,"","",100,1,6,5,1,0,"[779,72,926,760,762,747,49,718,31,29,719,714,32,118,750,1030]",65,[4],105,105,700,500,0,"[1204,1506,4645]","Metadata/Monsters/Monkeys/Jungle/MonkeyJungle.ais",[],"",0,"Feral Primate","Primate sauvage","Ungezähmter Primat","凶暴な猿","야생 영장류","Primata Selvagem","Дикий примат","Primate feral","Feral Primate","野性靈長類",65,65,1005,[],[],"","","","",0,[],[],[],1,1,4,3,0,0,3,22212,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,15,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",7,"",0,-5,5,0,"","",1,1,"",[],"[47,77]",3,65,0.05,0,1,0,"",25,4,"",0,"","",[],[],[],[],""
3,"Metadata/Monsters/Monkeys/MonkeyJungleTamed",2,33,2,4,7,"[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.act""]","[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ao""]","Metadata/Monsters/Monkeys/Jungle/BloodApeTamed",[],1,"","",100,1,6,5,1,0,"[779,72,762,747,49,759,718,31,29,719,714,118,750,1030]",65,[4],105,105,700,500,0,[1204],"Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ais",[],"",0,"Feral Primate","Primate sauvage","Ungezähmter Primat","凶暴な猿","야생 영장류","Primata Selvagem","Дикий примат","Primate feral","Feral Primate","野性靈長類",65,65,1005,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,16101,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,0,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",7,"",0,0,0,1,"","",1,1,"",[],"[47,77]",3,65,0.05,0,1,0,"",25,4,"",0,"","",[],[],[],[],""
4,"Metadata/Monsters/Monkeys/MonkeyJungleTamedBossSpectator",2,33,2,4,7,"[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.act""]","[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ao""]","Metadata/Monsters/Monkeys/Jungle/BloodApeTamedBoss",[],1,"","",100,1,6,5,1,0,"[779,72,762,747,49,759,718,31,29,719,714,118,750,1030]",65,[4],105,105,700,500,0,[1204],"Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ais",[],"stance5",0,"Feral Primate","Primate sauvage","Ungezähmter Primat","凶暴な猿","야생 영장류","Primata Selvagem","Дикий примат","Primate feral","Feral Primate","野性靈長類",65,65,1005,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,30687,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,0,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",7,"",0,0,0,1,"","",1,1,"",[],"[47,77]",3,65,0.05,0,1,0,"",25,4,"",0,"","",[],[],[],[],""
5,"Metadata/Monsters/BloodChieftain/MonkeyChiefJungle",16,36,4,8,11,"[""Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain.act""]","[""Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain.ao""]","Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain",[],1,"","",100,3,6,18,1,0,"[72,777,762,736,730,49,752,759,718,1045,30,31,719,714,118]",175,[],105,105,700,500,0,"[1195,1525,6051,5891,4645,2983,5794,5795]","Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain.ais",[],"",0,"Alpha Primate","Primate alpha","Alpha-Primat","ボス猿","우두머리 영장류","Primata Alfa","Примат-альфа","Primate alfa","Alpha Primate","靈長類幻獸",175,175,1905,[],[],"",12,"","",0,[],[],[],"",1,3,135,0,0,3,57331,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,10,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",7,"",0,-5,5,0,"","",1,1,"",[],"[47,77]",7,138,0.05,0,1,0,"",70,4,"",0,"","",[],[],[],[],""
6,"Metadata/Monsters/InsectMinion/InsectTest",31,40,1,6,6,"[""Metadata/Monsters/InsectMinion/Minion/InsectMinion.act""]","[""Metadata/Monsters/InsectMinion/Minion/InsectMinion.ao""]","Metadata/Monsters/InsectMinion/Testling",[],1,"","",60,1,6,4,1,0,"[779,72,1029,748,760,762,75,121,747,718,719]",100,[],105,105,700,500,0,[1195],"Metadata/Monsters/InsectMinion/InsectMinion.ais",[],"",41,"Testling","Insectest","Testling","テストリング","Testling","Testador","Пробник","Testling","Testling","測試蟲",100,100,1500,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,5091,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","","",0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],-50,50,"","",7,"",0,0,0,0,"","",1,1,"",[],[52],0,100,0.05,0,1,0,"",10,4,"",0,"","",[],[],[],[],""
7,"Metadata/Monsters/Spiker/Spiker",14,32,3,6,9,"[""Metadata/Monsters/Spiker/Spiker.act""]","[""Metadata/Monsters/Spiker/Spiker.ao""]","Metadata/Monsters/Spiker/Spiker",[7868],1,"","",100,3,6,4,1,0,"[728,779,72,1029,762,743,730,49,752,759,718,1100,719,118,713]",140,[],105,105,700,500,0,[],"Metadata/Monsters/Spiker/Spiker.ais",[],"",0,"Porcupine Goliath","Porc-épic colossal","Stachelschweingoliath","ポーキュパイン・ゴライアス","호저 골리앗","Porco-espinho Gigante","Дикобразный исполин","Goliat puercoespín","Porcupine Goliath","針背巨獸",140,140,1050,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,62270,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,"",0,"","","",3,1,0,0,0,0,0,0,[],-5,5,"","",7,"",0,-5,5,0,"","",1,1,"",[],"[50,75]",6,120,0.05,0,1,0,"",45,4,"",0,"","",[],[],[],[],""
8,"Metadata/Monsters/Spiker/Spiker3_",14,32,3,6,9,"[""Metadata/Monsters/Spiker/SpikerNew.act""]","[""Metadata/Monsters/Spiker/Spiker_Variant.ao""]","Metadata/Monsters/Spiker/Spiker",[14042],1,"","",100,3,6,4,1,0,"[728,72,1029,49,759,718,1100,719,118,713]",140,[],105,105,700,500,0,"[1195,2433,6227,1300]","Metadata/Monsters/Spiker/Spiker.ais",[],"",0,"Porcupine Goliath","Porc-épic colossal","Stachelschweingoliath","ポーキュパイン・ゴライアス","호저 골리앗","Porco-espinho Gigante","Дикобразный исполин","Goliat puercoespín","Porcupine Goliath","針背巨獸",140,140,1050,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,8963,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-8,8,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-10,5,"","",7,1,0,-5,5,0,"","",1,1,"",[],"[50,75]",6,120,0.05,0,1,0,"",45,4,"",0,"","",[],[],[],[],""
9,"Metadata/Monsters/Spiker/Spiker3SanctumTrial__",15,32,3,6,9,"[""Metadata/Monsters/Spiker/SpikerSanctum.act""]","[""Metadata/Monsters/Spiker/Spiker_Variant.ao""]","Metadata/Monsters/Spiker/SpikerSanctum",[14042],1,"","",100,3,6,4,1,0,"[728,72,1029,49,759,718,1100,719,118,713,1020]",140,[],105,105,700,500,0,"[1195,2437,6228]","Metadata/Monsters/Spiker/SpikerSanctum.ais",[],"",0,"Porcupine Goliath","Porc-épic colossal","Stachelschweingoliath","ポーキュパイン・ゴライアス","호저 골리앗","Porco-espinho Gigante","Дикобразный исполин","Goliat puercoespín","Porcupine Goliath","針背巨獸",140,140,1050,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,60816,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-8,8,0,"",0,"","",1,3,1,0,0,0,0,0,0,"[""Metadata/Monsters/MarakethSanctumTrial/SanctumMonsterBase""]",-10,5,"","",7,1,0,-5,5,0,"","",1,1,"",[],"[50,75]",6,120,0.05,0,1,0,"",45,4,"",0,"","",[],[],[],[],""
