"rownum","Id","i32_8","i32_12","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","CompletionsRequired","AchievementsKey","bool_44","bool_45","bool_46","bool_47"
0,"PerandusCatchFishMoeanu",1,0,"Moeanu, The Undying","Moeanu, The Undying","Moeanu der Unvergängliche ","Moeanu, The Undying","산 송장 모이아누","Moeany, o Imortal","Моеану, бессмертный","Moeanu, El Imperecedero","Moeanu, The Undying","貓奴，不死之徒",1,0,"",1,"",""
1,"PerandusCatchFishTikiheme",1,1,"Tikiheme, Lord of Minnows","Tikiheme, Lord of Minnows","Tikiheme, Fürst der Weißfische","Tikiheme, Lord of Minnows","송사리들의 군주 티키헤메","Tikiheme, Lorde dos Vairões","Тикихеме, царь пескарей","Tikiheme, Señor de los Peces","Tikiheme, Lord of Minnows","圖克哈哈，米諾魚之王",1,0,"",1,"",""
2,"PerandusCatchFishRoha",1,2,"Roha, The Impaler","Roha, The Impaler","Roha der Pfähler","Roha, The Impaler","꿰뚫는 자 로하","Roha, o Empalador","Роха, пронзатель","Roha, El Empalador","Roha, The Impaler","哈喙鳥，穿刺者",1,0,"",1,"",""
3,"PerandusCatchFishTawatawa",1,3,"Tawatawa, Who Devours the Land","Tawatawa, Who Devours the Land","Tawatawa der Landverschlinger","Tawatawa, Who Devours the Land","땅을 모시는 자 타와타와","Tawatawa, Aquele Que Devora a Terra","Таватава, завоеватель суши","Tawatawa, El que Devora la Tierra","Tawatawa, Who Devours the Land","他瓦他瓦，大地吞噬獸",1,0,"",1,"",""
4,"PerandusCatchFishTuatini",1,4,"Tuatini, Rhoa Hunter","Tuatini, Rhoa Hunter","Tuatini, Rhoa-Jäger","Tuatini, Rhoa Hunter","로아 사냥꾼 투아티니","Tuatini, Caçador de Rhoa","Туатини, охотник на роа","Tuatini, Cazador de Rhoas","Tuatini, Rhoa Hunter","土踢你，恐喙鳥獵人",1,0,"",1,"",""
5,"PerandusCatchFishKina",1,5,"Kina, Fairgraves' Bane","Kina, Fairgraves' Bane","Kina, Fairgraves' Verderben","Kina, Fairgraves' Bane","페어그레이브즈의 파멸 키나","Kina, Perdição do Fairgraves","Кина, проклятие Фейргрейвса","Kina, la Perdición de Fairgraves","Kina, Fairgraves' Bane","親哪，費爾船長的災厄",1,0,"",1,"",""
6,"PerandusCatchFishNgoiro",1,6,"Ngoiro, Who Slithers Beneath","Ngoiro, Who Slithers Beneath","Ngoiro der Glitschende","Ngoiro, Who Slithers Beneath","아래로 기어가는 자 응고이로","Ngoiro, Aquele Que Rasteja Abaixo","Нгоиро, пресмыкающийся","Ngoiro, El que Repta por Debajo","Ngoiro, Who Slithers Beneath","尼龜羅，蠕行者",1,0,"",1,"",""
7,"PerandusCatchFishTikati",1,7,"Tikati, The Gemfish King","Tikati, The Gemfish King","Tikati der Gemmenfisch-König","Tikati, The Gemfish King","마석물고기 왕 티카티","Tikati, o Peixe Espada Rei","Тикати, царь макрелей","Tikati, El Rey Pez de Gemas","Tikati, The Gemfish King","踢卡踢，寶石魚王",1,0,"",1,"",""
8,"PerandusCatchFishMakohuarau",1,8,"Makohuarau, The Fallen Angler","Makohuarau, The Fallen Angler","Makohuarau der gefallene Angler","Makohuarau, The Fallen Angler","몰락한 낚시꾼 마코후아라우","Makohuarau, o Tamboril Caído","Макохуарау, падший морской черт","Makohaurau, El Pescador Caído","Makohuarau, The Fallen Angler","馬口花撈，鮟鱇魚",1,0,"",1,"",""
9,"PerandusCatchFishKoura",1,9,"Koura, The Iron Claw","Koura, The Iron Claw","Koura die Eisenklaue","Koura, The Iron Claw","강철 발톱 코우라","Koura, a Garra de Ferro","Коура, стальные челюсти","Koura, La Garra de Hierro","Koura, The Iron Claw","哭啦，捲線器",1,0,"",1,"",""
