"rownum","Id","string_8","FormatString_Positive","FormatString_Positive (French)","FormatString_Positive (German)","FormatString_Positive (Japanese)","FormatString_Positive (Korean)","FormatString_Positive (Portuguese)","FormatString_Positive (Russian)","FormatString_Positive (Spanish)","FormatString_Positive (Thai)","FormatString_Positive (Traditional Chinese)","FormatString_Negative","FormatString_Negative (French)","FormatString_Negative (German)","FormatString_Negative (Japanese)","FormatString_Negative (Korean)","FormatString_Negative (Portuguese)","FormatString_Negative (Russian)","FormatString_Negative (Spanish)","FormatString_Negative (Thai)","FormatString_Negative (Traditional Chinese)"
0,"FlatValue","x","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","","","","","","","","","",""
1,"PercentageValue","x%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","","","","","","","","","",""
2,"Range","x - y","{0} - {1}","{0} à {1}","{0} - {1}","{0} - {1}","{0} ~ {1}","{0} - {1}","{0} - {1}","{0} - {1}","{0} - {1}","{0} - {1}","","","","","","","","","",""
3,"CurrentOfMax","x / y","{0} / {1}","{0} / {1}","{0} / {1}","{0} / {1}","{0} / {1}","{0} / {1}","{0} / {1}","{0} / {1}","{0} / {1}","{0} / {1}","","","","","","","","","",""
4,"Yes","Yes","No","Non","Nein","いいえ","아니요","Não","Нет","No","ไม่","否","Yes","Oui","Ja","はい","예","Sim","Да","Sí","ใช่","是"
5,"Resistance","x% (y%)","{0}% ({1}%)","{0}% ({1}%)","{0}% ({1}%)","{0}% ({1}%)","{0}% ({1}%)","{0}% ({1}%)","{0}% ({1}%)","{0}% ({1}%)","{0}% ({1}%)","{0}% ({1}%)","<colour:red>{{{0}%}} ({1}%)","<colour:red>{{{0}%}} ({1}%)","<colour:red>{{{0}%}} ({1}%)","<colour:red>{{{0}%}} ({1}%)","<colour:red>{{{0}%}} ({1}%)","<colour:red>{{{0}%}} ({1}%)","<colour:red>{{{0}%}} ({1}%)","<colour:red>{{{0}%}} {{{1}%}}","<colour:red>{{{0}%}} ({1}%)","<colour:red>{{{0}%}} ({1}%)"
6,"RangeOrMin","x - y OR x","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0} - {1}","{0} à {1}","{0} - {1}","{0} - {1}","{0} ~ {1}","{0} - {1}","{0} - {1}","{0} - {1}","{0} - {1}","{0} - {1}"
7,"PercentModifier","+/-x%","{0:+d}%","{0:+d}%","{0:+d}%","{0:+d}%","{0:+d}%","{0:+d}%","{0:+d}%","{0:+d}%","{0:+d}%","{0:+d}%","","","","","","","","","",""
8,"PercentModifierFinal","x% more/less","{0}% more","{0}% Davantage","{0}% mehr","{0}%上昇","{0}% 증폭","ㅤ+{0}%","На {0}% больше","{0}% más","เพิ่มขึ้น อีก {0}%","{0}% 更多","{0}% less","{0}% de Perte","{0}% weniger","{0}%低下","{0}% 감폭","ㅤ-{0}%","На {0}% меньше","{0}% menos","ลดลง อีก {0}%","{0}% 較少"
9,"Seconds","xs","{0}s","{0} s","{0}s","{0}秒","{0}초","{0} s","{0} сек.","{0} s","{0} วิ","{0} 秒","","","","","","","","","",""
10,"FlatValueFromPercentValue","x (y%)","{0} ({1}%)","{0} ({1}%)","{0} ({1}%)","{0} ({1}%)","{0} ({1}%)","{0} ({1}%)","{0} ({1}%)","{0} ({1}%)","{0} ({1}%)","{0} ({1}%)","","","","","","","","","",""
11,"ResistanceSingle","x%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","{0}%","<colour:red>{{{0}%}}","<colour:red>{{{0}%}}","<colour:red>{{{0}%}}","<colour:red>{{{0}%}}","<colour:red>{{{0}%}}","<colour:red>{{{0}%}}","<colour:red>{{{0}%}}","<colour:red>{{{0}%}}","<colour:red>{{{0}%}}","<colour:red>{{{0}%}}"
12,"PercentageValueWithMax","x% (max: y%)","{0}% (max {1}%)","{0}% (max {1}%)","{0}% (max. {1}%)","{0}% (最大{1}%)","{0}% (최대 {1}%)","{0}% (máx. {1}%)","{0}% (макс. {1}%)","{0}% (máx. {1}%)","{0}% (สูงสุด {1}%)","{0}%（最高 {1}%）","","","","","","","","","",""
13,"PercentageRange","x% - y%","{0}% - {1}%","{0}% - {1}%","{0}% - {1}%","{0}%から{1}%","{0}% - {1}%","{0}% - {1}%","{0}% - {1}%","{0}% - {1}%","{0}% - {1}%","{0}% - {1}%","","","","","","","","","",""
14,"FindActualDescription","","","","","","","","","","","","","","","","","","","","",""
