"rownum","rid_0","rid_16"
0,9679,0
1,9680,32
2,14817,9
3,14818,10
4,14819,11
5,14820,12
6,14821,13
7,14822,14
8,14823,15
9,14824,16
10,14825,17
11,14826,18
12,14827,19
13,15218,20
14,15219,21
15,15220,22
16,15221,23
17,15222,24
18,15223,25
19,15224,26
20,15225,27
21,15226,28
22,15227,29
23,15228,30
24,15683,31
25,14367,32
26,14368,33
27,14369,34
28,14370,35
29,14371,36
30,14372,37
31,14373,38
32,14374,39
33,14375,40
34,14376,41
35,14377,42
36,14378,43
37,14379,44
38,15437,45
39,15438,46
40,15439,47
41,15440,48
42,15441,49
43,15442,50
44,15443,51
45,15444,52
46,15445,53
47,15446,54
48,15447,55
49,15448,56
50,15449,57
51,6803,58
