"rownum","ModType","HASH16"
0,439,22335
1,443,53708
2,447,38728
3,449,42784
4,144,24751
5,145,6108
6,146,25895
7,147,57399
8,10750,44244
9,259,54912
10,0,31066
11,245,48581
12,14,549
13,481,38023
14,64,19840
15,62,62727
16,9,7224
17,66,64186
18,56,49969
19,71,56498
20,65,44820
21,63,42008
22,11,13379
23,72,43788
24,73,52965
25,74,42009
26,69,34404
27,50,11451
28,12,62113
29,547,64233
30,545,55240
31,549,3668
32,557,45125
33,558,55444
34,559,14712
35,560,62322
36,561,32235
37,562,20928
38,85,18797
39,86,28205
40,87,20417
41,82,43109
42,83,46591
43,84,30472
44,92,19427
45,93,42489
46,94,40033
47,89,29129
48,90,9749
49,91,22210
50,99,47404
51,100,39398
52,101,1671
53,96,28685
54,97,41693
55,98,4528
56,1325,30086
57,10791,492
58,165,13054
59,3975,2860
60,140,60059
61,172,22336
62,10768,63045
63,10771,40109
64,19,36507
65,1,10329
66,5,56525
67,7,32151
68,60,14570
69,61,60527
70,197,15771
71,198,43956
72,16,17684
73,17,1482
74,194,24710
75,195,52345
76,10743,60619
77,10740,42808
78,10741,32400
79,10742,4633
80,247,36909
81,15,41093
82,10739,36251
83,104,2038
84,107,34587
85,175,63413
86,181,16926
87,187,14650
88,191,27284
89,193,59967
90,1581,57302
91,1582,29560
92,396,46276
93,397,7066
94,398,43593
95,399,36640
96,400,41605
97,401,59613
98,402,29808
99,403,15945
100,404,25845
101,407,16925
102,408,37562
103,409,49840
104,410,33268
105,411,27172
106,412,45059
107,413,27350
108,414,38632
109,415,62281
110,416,59912
111,419,10795
112,137,13821
113,10751,12511
114,138,5667
115,24,13844
116,25,23507
117,29,52924
118,30,33237
119,370,9844
120,371,9475
121,278,22821
122,279,45947
123,130,17494
124,250,36958
125,10745,23396
126,125,32468
127,10746,47430
128,1575,64478
129,135,23116
130,435,65410
131,10747,63481
132,254,38564
133,10690,37613
134,264,55450
135,9290,18691
136,9291,21370
137,10748,44072
138,262,63217
139,344,8895
140,9317,30503
141,9320,42788
142,9321,61743
143,10749,2264
144,168,20842
145,169,37022
146,1327,23935
147,1329,11486
148,1331,28349
149,42,63501
150,43,36121
151,45,13616
152,157,48615
153,154,14336
154,155,15731
155,124,14557
156,123,49994
157,120,14098
158,122,35260
159,117,53599
160,118,44575
161,6269,21944
162,4054,56013
163,1286,1990
164,626,11353
165,2452,51913
166,2453,8675
167,6896,37348
168,31,25250
169,36,992
170,575,57032
171,579,34393
172,576,50847
173,563,553
174,564,2771
175,572,11126
176,573,48057
177,10961,8898
178,10783,61225
179,10787,25893
180,10784,29482
181,275,27965
182,7260,32406
183,1074,60577
184,10792,22608
185,10789,27791
186,756,65062
187,173,9108
188,179,36971
189,185,39082
190,2135,46306
191,280,49864
192,10825,6397
193,10826,45308
194,10827,30482
195,9261,49755
196,10793,8637
197,10779,2815
198,504,11665
199,4151,52188
200,4152,19246
