"rownum","Mod","Skill"
0,3863,643
1,4538,689
2,4167,715
3,4168,716
4,4215,724
5,4216,725
6,4155,940
7,4156,941
8,4157,946
9,4480,947
10,4481,948
11,4482,949
12,4483,950
13,4217,965
14,4412,970
15,4484,969
16,4456,973
17,4455,975
18,14291,985
19,14292,986
20,14293,984
21,14407,1055
22,14408,394
23,14415,489
24,14444,484
25,14455,64
26,14460,1060
27,14461,1061
28,14462,1062
29,14820,1063
30,14821,1064
31,14822,252
32,14823,51
33,14824,495
34,14825,1068
35,14850,1065
36,14840,125
37,3868,258
38,3869,240
39,8912,2
40,3887,103
41,4005,542
42,3882,379
43,3876,127
44,3942,171
45,3945,1114
46,3888,104
47,3891,1115
48,3894,1116
49,3864,1118
50,3867,406
51,3899,96
52,3878,126
53,3881,1119
54,3872,254
55,3870,1131
56,14836,1120
57,14832,1077
58,14835,1132
59,16283,1155
60,16065,1162
61,16426,1163
62,16668,1176
63,16092,1187
