"rownum","Id","Stat","FormatText","FormatText (French)","FormatText (German)","FormatText (Japanese)","FormatText (Korean)","FormatText (Portuguese)","FormatText (Russian)","FormatText (Spanish)","FormatText (Thai)","FormatText (Traditional Chinese)","Divisor","PerMinute"
0,"Mana",10946,"{0} Mana","{0} de Mana","{0} Mana","{0} マナ","마나 {0}","{0} de Mana","{0} маны","{0} de maná","มานา {0}","{0} 魔力",1,""
1,"Life",13103,"{0} Life","{0} de Vie","{0} Leben","{0} ライフ","생명력 {0}","{0} de Vida","{0} здоровья","{0} de vida","พลังชีวิต {0}","{0} 生命",1,""
2,"ES",13911,"{0} Energy Shield","{0} de Bouclier d'énergie","{0} Energieschild","{0} エナジーシールド","에너지 보호막 {0}","{0} de Escudo de Energia","{0} энергетического щита","{0} de escudo de energía","โล่พลังงาน {0}","{0} 能量護盾",1,""
3,"Rage",13140,"{0} Rage","{0} de Rage","{0} Rausch","{0} 憤怒","격노 {0}","{0} de Fúria","{0} свирепости","{0} de furia","สถานะคลั่ง {0}","{0} 盛怒",1,""
4,"Ward",25188,"{0} Ward","{0} de Sauvegarde","{0} Schutz","{0} ワード","수호 {0}","{0} de Salvaguarda","{0} барьера","{0} de barrera","วอร์ดอักขระ {0}","{0} 保護",1,""
5,"ManaPercent",13102,"{0}% Mana","{0}% de Mana","{0}% Mana","マナの {0}%","마나 {0}%","{0}% de Mana","{0}% маны","{0}% del maná","มานา {0}%","{0}% 魔力",1,""
6,"LifePercent",13104,"{0}% Life","{0}% de Vie","{0}% Leben","ライフの {0}%","생명력 {0}%","{0}% de Vida","{0}% здоровья","{0}% de la vida","พลังชีวิต {0}%","{0}% 生命",1,""
7,"WardPercent",25190,"{0}% Ward","{0}% de Sauvegarde","{0}% Schutz","ワードの {0}%","수호 {0}%","{0}% de Salvaguarda","{0}% барьера","{0}% de la barrera","วอร์ด {0}%","{0}% 保護",1,""
8,"UnreservedManaPercent",13356,"{0}% Unreserved Mana ","{0}% de Mana non Réservé","{0}% Unreserviertes Mana ","未リザーブマナの {0}%","점유되지 않은 마나 {0}%","{0}% de Mana não Reservado","{0}% не удержанной маны ","{0}% del maná sin reservar","มานาที่ไม่สำรอง {0}%","{0}% 未保留魔力",1,""
9,"ManaPerMinute",13753,"{0} Mana per second","{0} de Mana par seconde","{0} Mana pro Sekunde","毎秒 {0} マナ","1초당 마나 {0}","{0} de Mana por Segundo","{0} маны в секунду","{0} de maná por segundo","มานา {0} ต่อวินาที","每秒 {0} 魔力",60,1
10,"LifePerMinute",13754,"{0} Life per second","{0} de Vie par seconde","{0} Leben pro Sekunde","毎秒 {0} ライフ","1초당 생명력 {0}","{0} de Vida por Segundo","{0} здоровья в секунду","{0} de vida por segundo","พลังชีวิต {0} ต่อวินาที","每秒 {0} 生命",60,1
11,"ManaPercentPerMinute",13757,"{0}% Mana per second","{0}% de Mana par seconde","{0}% Mana pro Sekunde","毎秒マナの {0}%","1초당 마나 {0}%","{0}% de Mana por Segundo","{0}% маны в секунду","{0}% del maná por segundo","มานา {0}% ต่อวินาที","每秒 {0}% 魔力",60,1
12,"LifePercentPerMinute",13758,"{0}% Life per second","{0}% de Vie par seconde","{0}% Leben pro Sekunde","毎秒ライフの {0}%","1초당 생명력 {0}%","{0}% de Vida por Segundo","{0}% здоровья в секунду","{0}% de la vida por segundo","พลังชีวิต {0}% ต่อวินาที","每秒 {0}% 生命",60,1
13,"ESPerMinute",13833,"{0} Energy Shield per second","{0} de Bouclier d'énergie par seconde","{0} Energieschild pro Sekunde","毎秒 {0} エナジーシールド","1초당 에너지 보호막 {0}","{0} de Escudo de Energia por Segundo","{0} энергетического щита в секунду","{0} de escudo de energía por segundo","โล่พลังงาน {0) ต่อวินาที","每秒 {0} 能量護盾",60,1
14,"ESPercentPerMinute",13834,"{0}% Energy Shield per second","{0}% de Bouclier d'énergie par seconde","{0)% Energieschild pro Sekunde","毎秒エナジーシールドの {0}%","1초당 에너지 보호막 {0}","{0}% de Escudo de Energia por Segundo","{0}% энергетического щита в секунду","{0}% del escudo de energía por segundo","โล่พลังงาน {0}% ต่อวินาที","每秒 {0}% 能量護盾",60,1
15,"ESPercent",21455,"{0}% Energy Shield","{0}% de Bouclier d'énergie","{0)% Energieschild","エナジーシールドの {0}%","에너지 보호막 {0}%","{0}% de Escudo de Energia","{0}% энергетического щита","{0}% del escudo de energía","โล่พลังงาน {0}%","{0}% 能量護盾",1,""
16,"RagePerMinute",24192,"{0} Rage per second","{0} de Rage par seconde","{0} Rausch pro Sekunde","毎秒{0}の憤怒","1초당 격노 {0}","{0} de Fúria por Segundo","{0} свирепости в секунду","{0} de furia por segundo","สถานะ คลั่ง {0} ต่อวินาที","每秒 {0} 盛怒",60,1
17,"WardPerMinute",25192,"{0} Ward per second","{0} de Sauvegarde par seconde","{0} Schutz pro Sekunde","毎秒{0}のワード","1초당 수호 {0}","{0} de Salvaguarda por segundo","{0} барьера в секунду","{0} de barrera por segundo","วอร์ดอักขระ {0} ต่อวินาที","每秒 {0} 保護",60,1
