"rownum","SoulCore","StatCategory","Stats","StatsValues","BondedStats","BondedStatsValues"
0,0,1,"[47,48]","[4,6]",[9536],[25]
1,0,2,[17864],[6],[9536],[25]
2,0,3,[138],[10],"[117,121]","[10,10]"
3,1,1,"[47,48]","[7,11]",[9536],[25]
4,1,2,[17864],[8],[9536],[25]
5,1,3,[138],[12],"[117,121]","[10,10]"
6,2,1,"[47,48]","[13,16]",[9536],[25]
7,2,2,[17864],[10],[9536],[25]
8,2,3,[138],[14],"[117,121]","[10,10]"
9,3,1,"[54,55]","[3,5]",[18181],[30]
10,3,2,[17865],[6],[18181],[30]
11,3,3,[140],[10],"[117,121]","[10,10]"
12,4,1,"[54,55]","[6,10]",[18181],[30]
13,4,2,[17865],[8],[18181],[30]
14,4,3,[140],[12],"[117,121]","[10,10]"
15,5,1,"[54,55]","[9,15]",[18181],[30]
16,5,2,[17865],[10],[18181],[30]
17,5,3,[140],[14],"[117,121]","[10,10]"
18,6,1,"[61,62]","[1,10]",[3421],[30]
19,6,2,[17866],[6],[3421],[30]
20,6,3,[142],[10],"[117,121]","[10,10]"
21,7,1,"[61,62]","[1,20]",[3421],[30]
22,7,2,[17866],[8],[3421],[30]
23,7,3,[142],[12],"[117,121]","[10,10]"
24,8,1,"[61,62]","[1,30]",[3421],[30]
25,8,2,[17866],[10],[3421],[30]
26,8,3,[142],[14],"[117,121]","[10,10]"
27,9,1,[27],[14],[22240],[20]
28,9,2,[25],[20],[19803],[12]
29,9,3,[760],[14],"[117,121]","[10,10]"
30,10,1,[27],[16],[22240],[20]
31,10,2,[25],[25],[19803],[12]
32,10,3,[760],[16],"[117,121]","[10,10]"
33,11,1,[27],[18],[22240],[20]
34,11,2,[25],[30],[19803],[12]
35,11,3,[760],[18],"[117,121]","[10,10]"
36,12,1,[3000],[200],[118],[5]
37,12,2,[127],[25],[118],[5]
38,12,3,[117],[20],"[117,121]","[10,10]"
39,13,1,[3000],[250],[118],[5]
40,13,2,[127],[30],[118],[5]
41,13,3,[117],[30],"[117,121]","[10,10]"
42,14,1,[3000],[300],[118],[5]
43,14,2,[127],[35],[118],[5]
44,14,3,[117],[40],"[117,121]","[10,10]"
45,15,1,[3003],[150],[122],[5]
46,15,2,[121],[30],[122],[5]
47,15,3,[121],[15],"[117,121]","[10,10]"
48,16,1,[3003],[200],[122],[5]
49,16,2,[121],[40],[122],[5]
50,16,3,[121],[25],"[117,121]","[10,10]"
51,17,1,[3003],[250],[122],[5]
52,17,2,[121],[50],[122],[5]
53,17,3,[121],[35],"[117,121]","[10,10]"
54,18,1,[99],[10],[436],[24]
55,18,2,[132],[12],[8947],[8]
56,18,3,[436],[15],"[117,121]","[10,10]"
57,19,1,[99],[20],[436],[24]
58,19,2,[132],[15],[8947],[8]
59,19,3,[436],[18],"[117,121]","[10,10]"
