"rownum","Id","UnavailablePin","AvailablePin","ActivePin","FailedPin","CompletePin","HighlightEPK","RevealAnimation","RitualHighlightEPK","RitualSelectedEPK","DeliriumHighlightEPK","AudioAnimation","rid_152"
0,"DefaultMap",8776,8777,8778,8777,8780,"Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_small.epk","","Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/nameless_pin_highlight_small.epk","Metadata/Terrain/WorldMaps/Maps/Doodads/Pins/vfx/epks/selected/pin_selected_nameless.epk","Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_delirium_fog.epk","",8777
1,"DefaultTower",8781,8782,8783,8782,8785,"Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_medium.epk","","Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/nameless_pin_highlight_mid.epk","Metadata/Terrain/WorldMaps/Maps/Doodads/Pins/vfx/epks/selected/pin_selected_nameless_mid.epk","Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_delirium_fog.epk","",8782
2,"BaseCamp",8791,8791,8791,8791,8791,"Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_large.epk","","Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/nameless_pin_highlight_large.epk","Metadata/Terrain/WorldMaps/Maps/Doodads/Pins/vfx/epks/selected/pin_selected_nameless_large.epk","Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_delirium_fog.epk","",8791
3,"CorruptedMap",8810,8811,8812,8811,8814,"Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_small.epk","","Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/nameless_pin_highlight_small.epk","Metadata/Terrain/WorldMaps/Maps/Doodads/Pins/vfx/epks/selected/pin_selected_nameless.epk","Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_delirium_fog.epk","",8811
4,"CorruptedTower",8815,8816,8817,8816,8819,"Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_medium.epk","","Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/nameless_pin_highlight_mid.epk","Metadata/Terrain/WorldMaps/Maps/Doodads/Pins/vfx/epks/selected/pin_selected_nameless_mid.epk","Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_delirium_fog.epk","",8816
5,"CleansedTower",8820,8821,8822,8821,8785,"Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_medium.epk","","Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/nameless_pin_highlight_mid.epk","Metadata/Terrain/WorldMaps/Maps/Doodads/Pins/vfx/epks/selected/pin_selected_nameless_mid.epk","Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_delirium_fog.epk","",8821
6,"UniqueMap",9383,9380,9379,9382,9381,"Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_small.epk",10987,"Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/nameless_pin_highlight_small.epk","Metadata/Terrain/WorldMaps/Maps/Doodads/Pins/vfx/epks/selected/pin_selected_nameless.epk","Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_delirium_fog.epk","",9382
7,"CorruptedUniqueMap",9383,9380,9379,9382,9381,"Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_small.epk",10987,"Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/nameless_pin_highlight_small.epk","Metadata/Terrain/WorldMaps/Maps/Doodads/Pins/vfx/epks/selected/pin_selected_nameless.epk","Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_delirium_fog.epk","",9382
8,"IronCitadel",8835,8824,8825,8826,8827,"Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_large.epk",10988,"Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/nameless_pin_highlight_large.epk","Metadata/Terrain/WorldMaps/Maps/Doodads/Pins/vfx/epks/selected/pin_selected_nameless_large.epk","Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_delirium_fog.epk",11109,8826
9,"CorruptedIronCitadel",8836,8829,8830,8831,8832,"Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_large.epk",10988,"Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/nameless_pin_highlight_large.epk","Metadata/Terrain/WorldMaps/Maps/Doodads/Pins/vfx/epks/selected/pin_selected_nameless_large.epk","Metadata/Effects/Environment/EndGame_World_Map/pins_highlight/epk/pin_highlight_delirium_fog.epk",11109,8831
