"rownum","MonsterVarietiesKey","MiscAnimatedKey0","MiscAnimatedKey1","bool_48","bool_49","i32_50","i32_54","i32_58","i32_62","bool_66","bool_67","[rid]_68","QuestFlag","i32_100","bool_104","bool_105","i32_106","string_110","rid_118","i32_134"
0,191,5337,5337,1,1,60,0,20,120,"","",[],[2979],0,1,"",0,"","",18
1,477,4371,4371,1,1,60,1,20,120,1,1,[],[],0,1,"",0,"","",18
2,478,4371,4371,1,1,60,1,20,90,1,1,[],[],30,1,"",0,"","",18
3,1685,4371,4371,1,1,60,1,20,120,1,1,[],[],0,1,"",0,"","",18
4,2211,4371,4371,1,1,60,2,20,120,1,1,[],[],30,1,"",0,"nearest_player_to_spirit","",18
5,2222,4371,4371,1,1,60,1,20,120,1,1,[],[],0,1,"",135,"","",18
6,2223,4371,4371,1,1,60,1,20,120,1,1,[],[],0,1,"",215,"","",18
7,2562,4371,4371,1,1,60,2,20,120,1,1,[],[],30,1,"",0,"","",18
8,2686,4372,4372,1,"",66,1,10,75,"",1,[],[],0,"",1,135,"","",18
9,2681,4371,4371,1,1,60,1,20,120,1,1,[],[],0,1,"",0,"","",15
10,2682,4371,4371,1,1,60,1,20,120,1,1,[],[],0,1,"",0,"","",15
11,2683,4371,4371,1,1,60,1,20,120,1,1,[],[],0,1,"",0,"","",15
12,2684,4371,4371,1,1,60,1,20,120,1,1,[],[],0,1,"",0,"","",15
