"rownum","Id","Value","Divisor"
0,"MonsterAccuracyBase",28,1
1,"MonsterAccuracyIncremental",280,1
2,"MonsterAccuracyImprovement",260,100
3,"MonsterArmourBase",2,1
4,"MonsterArmourIncremental",7,4
5,"MonsterArmourStrengthRatioMultiplier",3,1
6,"MonsterArmourImprovement",450,100
7,"MonsterEvasionBase",18,1
8,"MonsterEvasionIncremental",6,1
9,"MonsterEvasionDexterityRatioMultiplier",2,1
10,"MonsterEvasionImprovement",75,100
11,"OldLeechModsEffectiveness",20,1
12,"AscendancyRespecCost",5,1
13,"SkillDamageBaseEffectiveness",3885209,1000000
14,"SkillDamageIncrementalEffectiveness",0,1000000
15,"MaxHideoutDoodads",750,1
16,"PassiveTreeJewelDistanceMultiplier",120,100
17,"PartyQuantityBonusPerAdditionalPlayer",20,100
18,"PartyQuantityBonusPerAdditionalPlayerTencent",16,100
19,"PartyQuantityBonusPerAdditionalPlayerHardMode",20,100
20,"PartyRarityBonusPerAdditionalPlayer",0,100
21,"PartyRarityBonusPerAdditionalPlayerTencent",0,100
22,"PartyRarityBonusPerAdditionalPlayerHardMode",0,100
23,"PartyUniqueBonusPerAdditionalPlayer",30,100
24,"LightStunMinimumChance",15,1
25,"LightStunRatioScale",58,1
26,"LightStunMinimumChancePlayer",15,1
27,"LightStunRatioScalePlayer",44,1
28,"HeavyStunDamageScale",58,100
29,"HeavyStunThresholdModifier",500,1
30,"HeavyStunModifierDuration",16500,1000
31,"HeavyStunDamageScalePlayer",65,100
32,"HeavyStunThresholdModifierPlayer",100,1
33,"HeavyStunModifierDurationPlayer",10000,1000
34,"FreezeDamageScale",210,100
35,"FreezeDamageScalePlayer",200,100
36,"FreezeDuration",4000,1000
37,"FreezeDurationPlayer",2000,1000
38,"FreezeThresholdModifier",500,1
39,"FreezeModifierDuration",14000,1000
40,"ElectrocuteDamageScale",170,100
41,"ElectrocuteDuration",5000,1
42,"ElectrocuteDurationPlayer",2000,1
43,"ElectrocuteThresholdModifier",500,1
44,"ElectrocuteModifierDuration",15000,1000
45,"PinDamageScale",420,100
46,"PinDuration",3000,1000
47,"PinDurationPlayer",2000,1000
48,"PinThresholdModifier",500,1
49,"PinModifierDuration",13000,1000
50,"MonsterIntRatioCovertLifeToEnergyShield",100,1
51,"ShockChanceMultiplier",25,1
52,"IgniteChanceMultiplier",20,1
53,"MiscAilmentChanceMultiplier",25,1
54,"AilmentChanceExponent",1,1
55,"BaseShockMagnitude",20,1
56,"ChillEffectMultiplier",100,1
57,"ChillMaxEffect",50,1
58,"SellPriceMultiplier",11,100
59,"MobilePriceMultiplier",25,100
60,"UnidentifiedMagicMultiplier",150,100
61,"UnidentifiedRareMultiplier",600,100
62,"IdentifiedMagicMultiplier",100,100
63,"IdentifiedRareMultiplier",200,100
64,"AtlasPassiveRespecCost",5000,1
65,"EndgameStartLevel",65,1
66,"BleedingHitDamagePercentPerMinute",900,1
67,"IgniteHitDamagePercentPerMinute",1200,1
68,"PoisonHitDamagePercentPerMinute",1200,1
69,"JaggedGroundMagnitude",-20,1
70,"BaseBleedingDuration",5,1
71,"BaseChillDuration",8,1
72,"BaseChillDurationPlayer",2,1
73,"BaseShockDuration",8,1
74,"BaseShockDurationPlayer",4,1
75,"BasePoisonDuration",2,1
76,"BaseIgniteDuration",4,1
77,"BaseBloodstainedAfterBleedingDuration",6000,1000
78,"BloodstainedMultiplierWhenMovingOrBleedingAggravated",2,1
79,"UnholyMightBaseMagnitude",30,1
80,"ImpalePercentage",30,100
81,"ImpaleMaximumStacks",60,1
82,"PlayerAilmentThresholdLifeFactor",50,100
83,"BaseShieldRegenCooldownTimeMs",4000,1
84,"CullingStrikeNormalThreshold",35,1
85,"CullingStrikeMagicThreshold",20,1
86,"CullingStrikeRareThreshold",10,1
87,"CullingStrikeUniqueThreshold",5,1
88,"BaseRequiredEnemiesToBeConsideredSurrounded",5,1
89,"NumPetrifiedStacksToPetrify",5,1
90,"DefaultMaxEvadeChancePercent",95,1
91,"BasePercentDamageDeflected",40,1
92,"InfusionRemnantBaseDuration",12000,1
93,"BaseFlammabilityDuration",8,1
94,"BaseFlammabilityDurationPlayer",4,1
95,"IgniteNonHitFlammabilityModifier",80,100
96,"GiganticMagnitude",20,1
97,"NonHitFlammabilityPermyriadThresholdToIgnite",5000,1
98,"ShapeshiftVisualsDurationPlayer",1200,1000
99,"ShapeshiftRevertingAnimationDurationPlayer",0,1000
100,"BriarpatchDurationSpeedWhenWet",-50,1
101,"BriarpatchDamageTickSpeedWhenWet",50,1
102,"KeystoneAlternateESRecoveryPhysicalDamagePercentageRecoupedAsES",5,1
103,"BaseMaximumRage",30,1
104,"BaseRageLossPerMinute",300,1
105,"BaseRageLossDelayMs",4000,1
106,"ChronomancerDelayedSelfDamageDelayMs",4000,1
107,"SpellEchoCascadeDelayMs",500,1
108,"BaseWardRegenerationPercentPerMinute",300,1
109,"DefaultLowStatusThresholdPercent",35,1
110,"EffectiveMaxDamageForLeech",40000,1
111,"RitualOfferedTributeRequirement",30000,1
112,"RitualOfferedTributeRequirementQuest",10000,1
113,"BaseMaximumInfusionCount",3,1
114,"BaseInfusionDurationMs",20000,1
115,"SupportGemGoldPrice",228,1
116,"LineageSupportGemGoldPrice ",9091,1
117,"DivinityInherentRegenPercentPerMinute",1500,1
118,"OpenWeaknessHealthPercentage",45,1
119,"ExpeditionMonsterModRuneOpulentMoreIIROfRuneMods",400,1
120,"ExpeditionMonsterModRuneOpulentPowerMoreIIROfRuneMods",400,1
