"rownum","string_0","string_8"
0,"WereBear","Metadata/Monsters/WereBear/WereBear.ao"
1,"WereWolf","Metadata/Monsters/WereWolf/WereWolf.ao"
2,"DemonForm","Metadata/Characters/Int/Forms/DemonForm/DemonForm.ao"
3,"WereWyvern","Metadata/Monsters/WereWyvern/WereWyvern.ao"
4,"WereTree","Metadata/Monsters/WereTree/WereTree.ao"
5,"MtxCrocWereBear","Metadata/Effects/Microtransactions/ShapeshiftSkin/WereBearCrocodile/WereBearCrocodile.ao"
6,"MtxWerePandaBear","Metadata/Effects/Microtransactions/ShapeshiftSkin/WereBearPanda/ShiftingWerePanda.ao"
7,"UniqueVesselOfWrath","Metadata/Monsters/WereBear/VesselOfWrathBalrog.ao"
8,"MtxWarbringerBear","Metadata/Effects/Microtransactions/ShapeshiftSkin/WereBearWarbringer/Warbringer.ao"
9,"MtxSnappingTurtleWereWyvern","Metadata/Effects/Microtransactions/ShapeshiftSkin/WereWyvernSnappingTurtle/WereWyvernSnappingTurtle.ao"
10,"MtxSnakeWereWolf","Metadata/Effects/Microtransactions/ShapeshiftSkin/WereWolfSnake/Snake_WereWolf.ao"
11,"MtxBatWereWyvern","Metadata/Effects/Microtransactions/ShapeshiftSkin/WereWyvernBat/WereWyvernBat.ao"
12,"MtxWereBoarBear","Metadata/Effects/Microtransactions/ShapeshiftSkin/WereBearBoar/WereBoar.ao"
