"rownum","Name","DisplayText","DisplayText (French)","DisplayText (German)","DisplayText (Japanese)","DisplayText (Korean)","DisplayText (Portuguese)","DisplayText (Russian)","DisplayText (Spanish)","DisplayText (Thai)","DisplayText (Traditional Chinese)","Stats","StatValues"
0,"Amethyst","[LegacyOfAmethyst|Amethyst]","[LegacyOfAmethyst|Améthyste]","[LegacyOfAmethyst|Amethyst]","[LegacyOfAmethyst|アメジスト]","[LegacyOfAmethyst|자수정]","[LegacyOfAmethyst|Ametista]","[LegacyOfAmethyst|Аметист]","[LegacyOfAmethyst|Amatista]","[LegacyOfAmethyst|Amethyst]","[LegacyOfAmethyst|紫晶]",[145],[45]
1,"Basalt","[LegacyOfBasalt|Basalt]","[LegacyOfBasalt|Basalte]","[LegacyOfBasalt|Basalt]","[LegacyOfBasalt|バサルト]","[LegacyOfBasalt|현무암]","[LegacyOfBasalt|Basalto]","[LegacyOfBasalt|Базальт]","[LegacyOfBasalt|Basalto]","[LegacyOfBasalt|Basalt]","[LegacyOfBasalt|堅岩]",[111],[150]
2,"Bismuth","[LegacyOfBismuth|Bismuth]","[LegacyOfBismuth|Bismuth]","[LegacyOfBismuth|Bismut]","[LegacyOfBismuth|ビスマス]","[LegacyOfBismuth|비스무트]","[LegacyOfBismuth|Bismuto]","[LegacyOfBismuth|Висмут]","[LegacyOfBismuth|Bismuto]","[LegacyOfBismuth|Bismuth]","[LegacyOfBismuth|灰岩]",[136],[45]
3,"Diamond","[LegacyOfDiamond|Diamond]","[LegacyOfDiamond|Diamant]","[LegacyOfDiamond|Diamant]","[LegacyOfDiamond|ダイアモンド]","[LegacyOfDiamond|다이아몬드]","[LegacyOfDiamond|Diamante]","[LegacyOfDiamond|Алмаз]","[LegacyOfDiamond|Diamante]","[LegacyOfDiamond|Diamond]","[LegacyOfDiamond|寶鑽]",[544],[75]
4,"Gold","[LegacyOfGold|Gold]","[LegacyOfGold|Or]","[LegacyOfGold|Gold]","[LegacyOfGold|金]","[LegacyOfGold|금]","[LegacyOfGold|Ouro]","[LegacyOfGold|Золото]","[LegacyOfGold|Oro]","[LegacyOfGold|Gold]","[LegacyOfGold|黃金]",[148],[45]
5,"Granite","[LegacyOfGranite|Granite]","[LegacyOfGranite|Granite]","[LegacyOfGranite|Granit]","[LegacyOfGranite|グラナイト]","[LegacyOfGranite|화강암]","[LegacyOfGranite|Granito]","[LegacyOfGranite|Гранит]","[LegacyOfGranite|Granito]","[LegacyOfGranite|Granite]","[LegacyOfGranite|石化]",[110],[2000]
6,"Jade","[LegacyOfJade|Jade]","[LegacyOfJade|Jade]","[LegacyOfJade|Jade]","[LegacyOfJade|ヒスイ]","[LegacyOfJade|비취]","[LegacyOfJade|Jade]","[LegacyOfJade|Нефрит]","[LegacyOfJade|Jade]","[LegacyOfJade|Jade]","[LegacyOfJade|翠玉]",[113],[2000]
7,"Quicksilver","[LegacyOfQuicksilver|Quicksilver]","[LegacyOfQuicksilver|Vif-argent]","[LegacyOfQuicksilver|Quecksilber]","[LegacyOfQuicksilver|水銀]","[LegacyOfQuicksilver|수은]","[LegacyOfQuicksilver|Mercúrio]","[LegacyOfQuicksilver|Ртуть]","[LegacyOfQuicksilver|Celeridad]","[LegacyOfQuicksilver|Quicksilver]","[LegacyOfQuicksilver|水銀]",[172],[30]
8,"Ruby","[LegacyOfRuby|Ruby]","[LegacyOfRuby|Rubis]","[LegacyOfRuby|Rubin]","[LegacyOfRuby|ルビー]","[LegacyOfRuby|루비]","[LegacyOfRuby|Rubi]","[LegacyOfRuby|Рубин]","[LegacyOfRuby|Rubí]","[LegacyOfRuby|Ruby]","[LegacyOfRuby|紅玉]","[139,949]","[60,5]"
9,"Sapphire","[LegacyOfSapphire|Sapphire]","[LegacyOfSapphire|Saphir]","[LegacyOfSapphire|Saphir]","[LegacyOfSapphire|サファイア]","[LegacyOfSapphire|사파이어]","[LegacyOfSapphire|Safira]","[LegacyOfSapphire|Сапфир]","[LegacyOfSapphire|Zafiro]","[LegacyOfSapphire|Sapphire]","[LegacyOfSapphire|藍玉]","[141,950]","[60,5]"
