"rownum","Id","Value","rid_12"
0,"SimulacrumWaves",7,""
1,"DeliriumFogMinTier",6,""
2,"EventSpawnPlayerDistanceThreshold",60,""
3,"EventDepthSpawnRange",30,""
4,"BaseMinimumSpecialEventCount",2,""
5,"MinimumDistanceBetweenEvents",100,""
6,"FogBankValidNodeDensity",6,""
7,"BaseFogBankMaxDepth",100,""
8,"FogBankSpawnDelayMs",400,""
9,"QuestFogBankRevealRadiusAndCenterNode",9,881
10,"VisualFogDensityDepthMultiplierPermyriad",8,""
11,"VisualFogDensityBasePermyriad",2750,""
12,"DeliriousnessPerRarePercent",1,""
13,"DeliriousnessPerUniquePercent",1,""
14,"DeliriousnessOnMapCompletePercent",10,""
15,"FogBankInitialDepth",10,""
16,"DepthToUnlockSimulacrum",100,""
