"rownum","Id","bool_8","bool_9","Message","Message (French)","Message (German)","Message (Japanese)","Message (Korean)","Message (Portuguese)","Message (Russian)","Message (Spanish)","Message (Thai)","Message (Traditional Chinese)","string_18"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","i32_26","bool_30","bool_31","i32_32"
0,"FriendRequest",1,1,"Friend Request","<size:30>{Vous recevez une demande en ami}","Freundesanfrage","フレンド申請","친구 요청","Solicitação de Amizade","Запрос в друзья","<size:30>{Solicitud de amistad}","คำขอเป็นเพื่อน","好友邀請","","","","","","","","","","",0,1,1,0
1,"FriendNowOnline","",1,"Friend Now Online","Un ami passe en ligne","Freund ist jetzt online","フレンドがオンラインです","친구 접속 중","Amigo Entrou","Друг вошёл в игру","Un amigo se ha conectado","เพื่อนกำลังออนไลน์","好友上線","","","","","","","","","","",1,1,1,0
2,"FriendNowOffline","",1,"Friend Now Offline","Un ami passe hors-ligne","Freund ist jetzt offline","フレンドがオフラインです","친구 접속 해제","Amigo Saiu","Друг вышел из игры","Un amigo se ha desconectado","เพื่อนกำลังออฟไลน์","好友下線","","","","","","","","","","",2,1,1,0
3,"FriendAreaChanged","","","Friend Area Changed","Un ami change de zone","Freund hat Gebiet gewechselt","フレンドエリアが変更されました","친구 지역 변경","Área do Amigo Mudou","Друг вошёл в область","Un amigo ha cambiado de área","เพื่อนเปลี่ยนด่าน","好友區域變化","","","","","","","","","","",3,1,"",0
4,"FriendLevelChanged","","","Friend Level Changed","Un ami gagne un niveau","Freund hat neue Stufe erreicht","フレンドレベルが変更されました","친구 레벨 변경","Nível do Amigo Mudou","Друг получил уровень","Un amigo ha cambiado de nivel","เพื่อนเปลี่ยนเลเวล","好友等級變化","","","","","","","","","","",4,1,"",0
5,"FriendStatusMessageChanged",1,1,"Friend Status Changed","Un ami change son statut","Freund hat Status geändert","フレンドステータスが変更されました","친구 상태 변경","Status do Amigo Mudou","Друг изменил статус","<size:30>{Un amigo ha cambiado de estado}","เพื่อนเปลี่ยนสถานะ","好友狀態變化","","","","","","","","","","",5,1,1,0
6,"PartyInvite",1,1,"Party Invite","Vous êtes invité à un groupe","Gruppeneinladung","パーティーへ招待","파티 초대","Convite para Grupo","Приглашён в группу","Te han invitado a un grupo","คำเชิญเข้าร่วมปาร์ตี้","邀請加入隊伍","","","","","","","","","","",6,1,1,0
7,"PartyJoined","",1,"Party Joined","Vous rejoignez un groupe","Gruppe beigetreten","パーティーに参加しました","파티 합류","Grupo Entrou","Вступил в группу","Te has unido a un grupo","เข้าร่วมปาร์ตี้","已經加入隊伍","","","","","","","","","","",7,1,1,0
8,"PartyLeft","",1,"Party Left","Vous quittez un groupe","Gruppe verlassen","パーティーから離脱しました","파티 퇴장","Grupo Saiu","Покинул группу","Has abandonado el grupo","ออกจากปาร์ตี้","已經離開隊伍","","","","","","","","","","",8,1,1,0
9,"PartyMemberInvited","",1,"Party Member Invited","<size:30>{Quelqu'un est invité à votre groupe}","<size:30>{Gruppenmitglied wurde eingeladen}","パーティーメンバーを招待","파티원 초대","Membro do Grupo Convidado","Игрок приглашён в группу","<size:30>{Se ha invitado a un compañero al grupo}","สมาชิกปาร์ตี้ถูกเชิญ","已邀請隊伍成員","","","","","","","","","","",9,1,1,0
10,"PartyMemberJoined","",1,"Party Member Joined","<size:30>{Quelqu'un rejoint votre groupe}","<size:30>{Gruppenmitglied ist beigetreten}","パーティーメンバーが参加しました","파티원 참가","Membro do Grupo Entrou","Игрок вступил в группу","<size:30>{Un compañero se ha unido al grupo}","สมาชิกปาร์ตี้เข้าร่วม","隊伍成員加入","","","","","","","","","","",10,1,1,0
11,"PartyMemberLeft","",1,"Party Member Left","<size:30>{Quelqu'un quitte votre groupe}","<size:30>{Gruppenmitglied hat Gruppe verlassen}","パーティーメンバーが離脱しました","파티원 떠남","Membro do Grupo Saiu","Игрок покинул группу","<size:30>{Un compañero ha abandonado el grupo}","สมาชิกปาร์ตี้ออก","隊伍成員離開","","","","","","","","","","",11,1,1,0
12,"PartyMemberPromotedToLeader","",1,"Party Member Promoted","<size:30>{Quelqu'un devient le chef du groupe}","<size:30>{Gruppenmitglied wurde befördert}","パーティーメンバーが昇進しました","파티원 진급","Membro do Grupo Promovido","Изменение статуса игрока в группе","<size:30>{Se ha ascendido a un compañero del grupo}","สมาชิกปาร์ตี้ถูกยกตำแหน่ง","隊伍成員提升","","","","","","","","","","",12,1,1,0
13,"PartyMemberNowOnline","",1,"Party Member Now Online","<size:30>{Un membre de votre groupe \nvient de se connecter}","<size:30>{Gruppenmitglied ist jetzt online}","パーティーメンバーがオンラインです","파티원 현재 온라인","Membro do Grupo Offline","Участник группы вошёл в игру","<size:30>{Un compañero se ha conectado}","สมาชิกปาร์ตี้กำลังออนไลน์","隊伍成員現在上線","","","","","","","","","","",13,1,1,0
14,"PartyMemberNowOffline","",1,"Party Member Now Offline","<size:30>{Un membre de votre groupe \nvient de se déconnecter}","<size:30>{Gruppenmitglied ist jetzt offline}","パーティーメンバーがオフラインです","파티원 현재 오프라인","Membro do Grupo Offline","Участник группы вышел из игры","<size:30>{Un compañero se ha desconectado}","สมาชิกปาร์ตี้กำลังออฟไลน์","隊伍成員現在離線","","","","","","","","","","",14,1,1,0
15,"GuildInvite",1,1,"Guild Invite","Vous êtes invité à une Guilde","Gildeneinladung","ギルドへ招待","길드 초대","Convite para Guilda","Приглашение в гильдию","<size:30>{Invitación a hermandad}","คำเชิญเข้าร่วมกิลด์","邀請加入公會","","","","","","","","","","",15,1,1,0
16,"GuildJoined","",1,"Guild Joined","Vous rejoignez une Guilde","Gilde beigetreten","ギルドに参加しました","길드 합류","Guilda Entrou","Вступил в гильдию","<size:30>{Te has unido a la hermandad}","เข้าร่วมกิลด์","已加入公會","","","","","","","","","","",16,1,1,0
17,"GuildLeft","",1,"Guild Left","Vous quittez une Guilde","Gilde verlassen","ギルドを離脱しました","길드 퇴장","Guilda Saiu","Покинул гильдию","<size:30>{Has abandonado la hermandad}","ออกจากกิลด์","已離開公會","","","","","","","","","","",17,1,1,0
18,"GuildRankChanged","",1,"Guild Rank Changed","Vous changez de rang dans la Guilde","Gildenrang geändert","ギルドランクが変更されました","길드 계급 변경","Rank da Guilda Mudou","Изменение статуса в гильдии","<size:30>{Tu rango de hermandad ha cambiado}","เปลี่ยนยศในกิลด์","公會階級變更","","","","","","","","","","",18,1,1,0
19,"GuildMemberInvited",1,1,"Guild Member Invited","Quelqu'un est invité à la Guilde","Gildenmitglied wurde eingeladen","ギルドメンバーを招待","길드원 초대","Membro da Guilda Convidado","Игрок приглашён в гильдию","<size:30>{Se ha invitado a un compañero a la hermandad}","สมาชิกกิลด์ถูกเชิญ","已邀請公會成員","","","","","","","","","","",19,1,1,0
20,"GuildMemberJoined",1,1,"Guild Member Joined","Quelqu'un rejoint la Guilde","Gildenmitglied ist beigetreten","ギルドメンバーが参加しました","길드원 참가","Membro da Guilda Entrou","Игрок вступил в гильдию","<size:30>{Un compañero se ha unido a la hermandad}","สมาชิกกิลด์เข้าร่วม","已加入公會成員","","","","","","","","","","",20,1,1,0
21,"GuildMemberLeft",1,1,"Guild Member Left","Quelqu'un quitte la Guilde","Gildenmitglied hat Gilde verlassen","ギルドメンバーが離脱しました","길드원 떠남","Membro da Guilda Saiu","Игрок покинул гильдию","<size:30>{Un compañero ha abandonado la hermandad}","สมาชิกกิลด์ออก","已離開公會成員","","","","","","","","","","",21,1,1,0
22,"GuildMemberRankChanged",1,1,"Guild Member Rank Changed","<size:30>{Quelqu'un change \nde rang dans la Guilde}","Gildenmitglied hat neuen Rang","ギルドメンバーランクが変更されました","길드원 계급 변경","Rank do Membro da Guilda Mudou","Изменение статуса игрока в гильдии","<size:30>{Un compañero ha cambiado de rango de hermandad}","สมาชิกกิลด์เปลี่ยนยศ","已變更階級公會成員","","","","","","","","","","",22,1,1,0
23,"GiftReceived",1,1,"Gift Received","Vous recevez un cadeau","Geschenk erhalten","ギフトを受け取りました","선물 수령","Presente Recebido","Получен подарок","Regalo recibido","ได้รับของขวัญ","收到禮物","","","","","","","","","","",23,1,1,0
24,"TradeRequest",1,1,"Trade Request","Demande d'échange","Handelsanfrage","トレードリクエスト","거래 요청","Solicitação de Negociação","Запрос на торговлю","Solicitud de comercio","คำขอการแลกเปลี่ยน","交易要求","","","","","","","","","","",24,1,1,0
25,"AchievementComplete","",1,"Achievement Complete","Vous terminez un succès","Errungenschaft abgeschlossen","実績達成","도전과제 완료","Conquista Completa","Достижение выполнено","Logro completado","ความสำเร็จเสร็จสมบูรณ์","成就達成","","","","","","","","","","",25,1,1,0
26,"AchievementItemComplete","",1,"Achievement Item Complete","Vous progressez dans un succès","<size:30>{Teil der Errungenschaft abgeschlossen}","実績アイテム達成","도전과제 항목 완료","Item da Conquista Completo","Часть достижения выполнена","Objeto de logro completado","ส่วนประกอบของความสำเร็จเสร็จสมบูรณ์","成就項目達成","Displays notification when part of an achievement is completed","Affiche une notification lorsque vous atteignez une étape d'un succès ou d'un défi.","Zeigt einen Hinweis an, wenn ein Teil einer Errungenschaft abgeschlossen wurde.","実績が達成されたときに、ディスプレイ通知が表示されます","도전과제의 일부 항목을 완료했을 때 알림 표시","Exibi uma notificação quando parte de uma conquista é completa","Показывает уведомление при выполнении части достижения","Muestra una notificación cuando se completa una parte de un logro","แสดงการแจ้งเตือนเมื่อผ่านส่วนหนึ่งของความสำเร็จเรียบร้อยแล้ว","完成成就項目時顯示通知訊息。",26,1,1,0
27,"AchievementItemFailed","",1,"Tracked Achievement Item Failed","Vous échouez un succès","<size:30>{Teil der Errungenschaft nicht abgeschlossen}","追跡実績アイテム失敗","목표로 한 도전과제 항목 실패","Item da Conquista Rastreado Falhou","Не выполнено условие отслеживаемого достижения","<size:30>{El objeto de logro en seguimiento ha fallado}","ส่วนประกอบของความสำเร็จที่ติดตามล้มเหลว","追蹤成就物品失敗","","","","","","","","","","",27,1,1,0
