"rownum","Id","Stat","ItemVisualIdentity"
0,1897,16667,14476
1,1899,16667,14476
2,1902,16667,14476
3,1904,16667,14476
4,1905,16667,14475
5,1901,16667,14476
6,1900,16667,14475
7,1898,16667,14475
8,1903,16667,14475
9,1093,16667,14477
10,1094,16667,14477
11,1095,16667,14478
12,1096,16667,14477
13,1097,16667,14476
14,1098,16667,14476
15,1099,16667,14476
16,1100,16667,14475
17,1101,16667,14475
18,1102,16667,14475
19,0,16667,14474
20,43,16667,14474
21,197,16667,14475
22,9,16667,14475
23,13,16667,14474
24,10,16667,14474
25,21,16667,14475
26,1356,16667,14477
27,201,16667,14476
28,200,16667,14475
29,45,16667,14478
30,202,16667,14477
31,84,16667,14478
32,32,16667,14474
33,31,16667,14474
34,30,16667,14474
35,83,16667,14478
36,3,16667,14476
37,198,16667,14475
38,16,16667,14474
39,37,16667,14475
40,38,16667,14478
41,196,16667,14477
42,1449,16667,14477
43,27,16667,14474
44,11,16667,14474
45,36,16667,14478
46,39,16667,14474
47,277,16667,14477
48,278,16667,14477
49,279,16667,14477
50,280,16667,14476
51,281,16667,14476
52,282,16667,14476
53,283,16667,14476
54,284,16667,14475
55,285,16667,14475
56,286,16667,14475
57,287,16667,14475
58,288,16667,14475
59,1448,16667,14476
60,227,16667,14476
61,229,16667,14476
62,232,16667,14476
63,230,16667,14476
64,228,16667,14476
65,231,16667,14476
66,234,16667,14478
67,233,16667,14477
68,235,16667,14476
69,971,16667,14477
70,941,16667,14477
71,955,16667,14477
72,925,16667,14477
73,957,16667,14477
74,927,16667,14477
75,969,16667,14477
76,939,16667,14478
77,972,16667,14477
78,942,16667,14477
79,965,16667,14477
80,935,16667,14477
81,960,16667,14477
82,930,16667,14477
83,963,16667,14477
84,933,16667,14477
85,981,16667,14477
86,951,16667,14477
87,956,16667,14477
88,926,16667,14477
89,973,16667,14477
90,943,16667,14477
91,966,16667,14477
92,936,16667,14477
93,975,16667,14477
94,945,16667,14477
95,977,16667,14477
96,947,16667,14477
97,976,16667,14477
98,978,16667,14477
99,948,16667,14477
100,946,16667,14477
101,959,16667,14477
102,929,16667,14477
103,962,16667,14477
104,932,16667,14477
105,953,16667,14477
106,961,16667,14477
107,931,16667,14477
108,923,16667,14477
109,964,16667,14477
110,934,16667,14477
111,982,16667,14477
112,952,16667,14477
113,954,16667,14477
114,968,16667,14477
115,938,16667,14477
116,924,16667,14477
117,974,16667,14477
118,944,16667,14477
119,980,16667,14477
120,950,16667,14477
121,979,16667,14477
122,949,16667,14477
123,970,16667,14477
124,940,16667,14477
125,967,16667,14477
126,937,16667,14477
127,958,16667,14477
128,928,16667,14477
129,2,16667,14474
130,1461,16667,14477
131,1459,16667,14477
132,1462,16667,14478
133,1456,16667,14476
134,1455,16667,14476
135,1454,16667,14476
136,1457,16667,14477
137,1460,16667,14476
138,1458,16667,14477
139,85,16667,14478
140,86,16667,14478
141,306,16667,14477
142,307,16667,14477
143,308,16667,14477
144,304,16667,14477
145,305,16667,14477
146,303,16667,14478
147,29,16667,14476
148,214,16667,14478
149,203,16667,14478
150,28,16667,14474
151,1906,16667,14476
152,1447,16667,14475
153,1885,16667,14477
154,1887,16667,14477
155,319,16667,14478
156,318,16667,14477
157,317,16667,14476
158,316,16667,14475
159,315,16667,14478
160,314,16667,14477
161,313,16667,14476
162,312,16667,14475
163,1886,16667,14477
164,211,16667,14478
165,7,16667,14478
166,254,16667,14476
167,248,16667,14476
168,252,16667,14476
169,260,16667,14477
170,258,16667,14476
171,250,16667,14477
172,239,16667,14476
173,256,16667,14478
174,249,16667,14477
175,247,16667,14476
176,259,16667,14477
177,238,16667,14476
178,241,16667,14476
179,253,16667,14478
180,236,16667,14476
181,251,16667,14476
182,244,16667,14476
183,242,16667,14476
184,257,16667,14476
185,237,16667,14476
186,240,16667,14476
187,245,16667,14476
188,243,16667,14476
189,246,16667,14476
190,255,16667,14476
191,52,16667,14476
192,17,16667,14475
193,320,16667,14478
194,186,16667,14476
195,185,16667,14476
196,183,16667,14476
197,184,16667,14477
198,187,16667,14478
199,12,16667,14476
200,6,16667,14475
201,18,16667,14477
202,24,16667,14474
203,309,16667,14478
204,1160,16667,14478
205,1159,16667,14478
206,1157,16667,14478
207,1158,16667,14478
208,1156,16667,14478
209,1921,16667,14477
210,1922,16667,14478
211,1923,16667,14477
212,1924,16667,14478
