"rownum","MapLevel","LifePercentIncrease","DamagePercentIncrease","Stat1","Stat2","Stat3","Stat3Value","Stat4","Stat4Value"
0,66,0,0,2398,2399,"",0,"",0
1,67,0,0,2398,2399,"",0,"",0
2,68,0,0,2398,2399,"",0,"",0
3,69,0,0,2398,2399,"",0,"",0
4,70,0,0,2398,2399,"",0,"",0
5,71,0,0,2398,2399,"",0,"",0
6,72,0,0,2398,2399,"",0,"",0
7,73,0,0,2398,2399,"",0,"",0
8,74,0,0,2398,2399,"",0,"",0
9,75,0,0,2398,2399,"",0,"",0
10,76,0,0,2398,2399,"",0,"",0
11,77,0,0,2398,2399,"",0,"",0
12,78,0,0,2398,2399,"",0,"",0
13,79,0,0,2398,2399,"",0,"",0
14,80,0,0,2398,2399,"",0,"",0
15,81,0,0,2398,2399,"",0,"",0
16,82,0,0,2398,2399,"",0,"",0
17,83,0,0,2398,2399,"",0,"",0
18,84,0,0,2398,2399,"",0,"",0
19,85,0,0,2398,2399,"",0,"",0
20,86,0,0,2398,2399,"",0,"",0
21,87,0,0,2398,2399,"",0,"",0
22,88,0,0,2398,2399,"",0,"",0
23,89,0,0,2398,2399,"",0,"",0
24,90,0,0,2398,2399,"",0,"",0
