"rownum","Id","MiscAnimated","BuffVisualOrbType","MiscEffectPack","BuffVisual","Monster","MonsterMiscAnimated","MonsterEffectPack"
0,"Poisoner","","",406,[],[],[],[]
1,"VoidTouched","","",407,[],[],[],[]
2,"FrostTouched",6489,9,"",[1059],[],[],[]
3,"Freezer",6490,8,"",[],[],[],[]
4,"Raider","","",408,[],[],[],[]
5,"Deadeye","","",432,[],[],[],[]
6,"Bombardier","","","",[],[],[],[]
7,"FlameTouched",6485,9,"",[1058],[],[],[]
8,"Igniter",6486,8,"",[],[],[],[]
9,"ArcaneEnchanted","","",409,[],[585],[],[]
10,"Echoist","","",410,[],[],[],[]
11,"StormTouched",6487,9,"",[1060],[],[],[]
12,"Shocker",6488,8,"",[],[],[],[]
13,"Bonebreaker","","","",[],[],[],[]
14,"Bloodletter","","","",[],[],[],[]
15,"BloodletterMagic","","",412,[],[],[],[]
16,"SteelAttuned",6491,9,"",[],[],[],[]
17,"Gargantuan","","","",[],[],[],[]
18,"Berserker","","",413,[],[],[],[]
19,"Defender","","","",[],[640],[],[]
20,"Juggernaut","","",451,[],[],[],[]
21,"Vampiric","","",414,[],[],[],[]
22,"ChargeGenerator","","",415,[],[],[],[]
23,"SoulConduit","","","",[],[],[],[]
24,"Wealthy","","",416,[],[],[],[]
25,"Oppressor","","",429,[],[],[],[]
26,"Consecration","","",417,[],[],[],[]
27,"MonsterPeriodicEnrage","","",854,[1773],[624],[],[]
28,"MonsterConstantEnrage","","",855,[1774],[626],[],[]
29,"HeraldOfTheObelisk","","","",[],[634],"[6471,6472]",[]
30,"Assassin","","",419,[],[],[],[]
31,"Trickster","","","",[1776],[],[],[]
32,"Necromancer","","",446,[],[],[],[]
33,"Rejuvenating","","","","[1771,1772]",[],[],[]
34,"Executioner","","","",[],[],[],[]
35,"Hexer","","","","[69,79]",[],[],[]
36,"FlaskDrain","","","",[],[],[],[]
37,"GraspingVines","","",421,[],[],[5068],[]
38,"TimeBubble","","","",[],[],[],[]
39,"Saplings","","","",[],[637],[],[400]
40,"FrostWalker","","",422,[],[],[],[]
41,"GlacialCage",6495,10,"",[],[],[],[]
42,"SoulEater","","","",[],[],[],[]
43,"FlameWalker","","",423,[],[],[],[]
44,"CorpseExploder","","","",[],[],[],[]
45,"Prismatic",6603,9,"",[],[],[],[]
46,"VolatileFlameBlood","","","",[],[],[],[]
47,"MirrorImage","","","",[],[],[],[]
48,"LightningWalker","","",424,[],[],[],[]
49,"ManaDonut","","","",[],[],[],[]
50,"Corrupter","","",425,[],[],[],[]
51,"DivineTouched","","","",[],[],[],[]
52,"LivingCrystals","","","",[],[],[],[]
53,"CycleOfElements","","","",[],[],[],[]
54,"VoodooDoll","","","",[],[],[],[]
55,"Lunaris","","","",[],[],[],[]
56,"Solaris","","","",[],[],[],[]
57,"Arakaali","","","",[],[],[],[]
58,"BrineKing","","","",[],[],[],[]
59,"Tukohama","","","",[],[],[],[]
60,"Abberath","","","",[],[],[],[]
61,"Shakari","","","",[],[],[],[]
62,"Innocence","","","",[],[],[],[]
63,"Kitava","","","",[],[],[],[]
64,"Hasted","","",810,[],[],[],[]
65,"MonsterStrongerMinions","","",825,[],[],[],[]
66,"MonsterMinionStrongerMinions","","",826,[],[],[],[]
67,"MonsterManaSiphonAura","","","",[],[598],[],[]
68,"MonsterFlameBeacons","","",845,[],[605],[8978],[]
69,"MonsterFrostBeacons","","",846,[],[606],[8979],[]
70,"MonsterLightningBeacons","","",847,[],[607],[8980],[]
71,"MonsterImmuneAura1","","",848,[],[616],[],[]
72,"MonsterFireGroundOnDeath","","",860,[],"[548,549]",[],[]
73,"MonsterShockedGroundOnDeath","","",861,[],"[545,546]",[],[]
74,"MonsterChilledGroundOnDeath","","",862,[],"[551,552]",[],[]
75,"MonsterBurningGroundTrail","","","",[],[590],[],[]
76,"MonsterChilledGroundTrail","","","",[],[592],[],[]
77,"MonsterShockedGroundTrail","","","",[],[594],[],[]
78,"MonsterHealingNova","","",849,"[1771,1772]",[622],[],[]
79,"MonsterFlaskDrainAura","","","",[1762],[],[],[]
80,"MonsterRevivesMinions","","",851,[],[629],[],[]
81,"MonsterMinionsTakeLifeInstead","","",852,[],[],[],[853]
82,"MonsterMinionsTakeLifeInsteadMinions","","",853,[],[],[],[]
83,"MonsterShroudWalker","","",419,[],[554],[],[]
84,"MonsterCorpseExplode","","",859,[],[620],[],[]
85,"MonsterMagmaBarrier","","","",[],[596],[],[]
86,"MonsterBombadier","","","",[],[],[],[]
87,"MonsterGlacialPrison","","",856,[],[586],[],[]
88,"MonsterFlamewaller","","",857,[],[588],[],[]
89,"MonsterLightningStorms","","",858,[],[558],[],[]
90,"MonsterLivingCrystals","","",431,[],[633],[],[]
91,"MonsterVolatilePlants","","",906,[],[564],[],[]
92,"MonsterElementalWaller","","",1050,[],[],[],[]
93,"MonsterManaAbyssSiphonAura","","","",[],[2436],[],[]
94,"MonsterKurgalsGasp","","","",[],[2438],[],[]
95,"MonsterAbyssCrystalWaller","","","",[],[562],[],[]
