"rownum","GrantedEffect","Stats","StatsValuesPermille","AddTypes","AddMinionTypes","ApplyToStatSets","AltStats","AltStatValuesPermille","AltApplyToStatSets"
0,7620,[19672],[1000],[],[],[],[22866],[2000],[0]
1,36,[170],[1500],[],[],[],[18039],[200],[]
2,37,[170],[1500],[],[],[],[],[],[]
3,326,[19601],[150],[],[],[2],[18689],[500],[0]
4,50,[17243],[1000],[],[],[1],[18392],[1000],[1]
5,225,[18666],[200],[],[],[],[12017],[500],[]
6,226,[3731],[500],[],[],[],[],[],[]
7,320,[1230],[200],[],[],[],[25290],[100],[2]
8,322,[6388],[2000],[],[],[],[18039],[100],[]
9,182,[19602],[1000],[],[],[],[19402],[2000],[]
10,209,[70],[1000],[],[],[],[11176],[1000],[]
11,198,[584],[1000],[],[],[],[1083],[2000],[]
12,323,[212],[1000],[],[],[],[18392],[1000],[]
13,175,[70],[1000],[],[],[],[625],[1000],[]
14,35,[11176],[1000],[],[],[],[18392],[1000],[]
15,29,[19606],[1000],[],[],[],[23378],[2000],[]
16,112,[18308],[1000],[],[],[0],[627],[2000],[0]
17,81,[167],[150],[],[],[],[14788],[300],[]
18,7618,[19604],[1000],[],[],[0],[],[],[]
19,57,[167],[100],[],[],[0],[7187],[150],[]
20,7621,[23601],[500],[],[],[],[3224],[5000],[]
21,79,[19605],[500],[],[],[],[167],[200],[]
22,46,[3418],[500],[],[],[],[1211],[2000],[]
23,80,[23503],[500],[],[],[],[23881],[150],[]
24,69,[1211],[1000],[],[],[],[25291],[2000],[]
25,60,[1383],[500],[],[],[],[19371],[-2500],[]
26,61,[1383],[500],[],[],[],[19371],[-2500],[]
27,62,[1383],[500],[],[],[],[19371],[-2500],[]
28,63,[1383],[500],[],[],[],[19371],[-2500],[]
29,42,[1383],[500],[],[],[],[19371],[-2500],[]
30,223,[19607],[100000],[],[],[],[17209],[-400],[]
31,40,[3224],[1000],[],[],[0],[19372],[20000],[]
32,7619,[19086],[500],[],[],[0],[20300],[500],[0]
33,133,[629],[1000],[],[],[],[20706],[200],[]
34,210,[19663],[500],[],[],[],[2828],[2000],[]
35,49,[17376],[100],[],[],[],[23378],[1000],[]
36,64,[17376],[200],[],[],[0],[22866],[-1500],[0]
37,83,[19666],[100],[],[],[],[3731],[2500],[]
38,90,[642],[1000],[],[],[],[],[],[]
39,7580,[452],[1],[],[],[],[627],[2500],[]
40,331,"[347,606]","[250000,2500]",[],[],[],[10859],[2500],[]
41,43,[1383],[500],[],[],[],[210],[2500],[]
42,85,[347],[50000],[],[],[1],[167],[200],"[0,1]"
43,87,[641],[1000],[],[],[],[],[],[]
44,93,[452],[1],[],[],[],[18039],[100],[]
45,7583,[18628],[200],[],[],[],[],[],[]
46,330,[17795],[2500],[],[],[],[5682],[2000],[]
47,34,[19608],[1250],[],[],[],[160],[200],[]
48,299,[17376],[1200],[],[],[],[18112],[1000],[]
49,329,[1211],[500],[],[],[],[18392],[1000],[]
50,33,[17376],[200],[],[],[],[1100],[3000],[]
51,45,[1383],[500],[],[],[],[210],[2500],[]
52,39,[642],[1000],[],[],[],[13815],[1000],[]
53,356,[18632],[500],[],[],[],[12091],[5000],[]
54,99,[1383],[500],[],[],[],[210],[2500],[]
55,88,[19667],[1000],[],[],[],[19402],[1500],[]
56,359,[17379],[100],[],[],[],[],[],[]
57,358,[452],[0],[],[],[],[877],[50],[0]
58,71,[19612],[-1500],[],[],[],[12091],[1500],[]
59,92,[9332],[1000],[],[],[],[2074],[1500],[]
60,114,[19609],[500],[],[],[],[11176],[2000],[]
61,89,[22100],[2000],[],[],[],[641],[1500],[]
62,94,[19610],[150000],[],[],[],[9488],[-2000],[]
63,357,[347],[50000],[],[],[],[20156],[1000],[]
64,52,[18307],[2000],[],[],[],[22114],[1500],[]
65,178,[18068],[6000],[],[],[],[2828],[2000],[]
66,332,[22557],[500],[],[],[],[18398],[1000],[]
67,336,[19613],[1000],[],[],[],[1908],[1000],[]
68,333,[197],[1500],[],[],[],[18039],[100],[0]
69,106,[17376],[200],[],[],"[1,2,3]","[1908,18974]","[1000,1000]",[0]
70,345,[18370],[500],[],[],[1],[12091],[2000],[1]
71,70,[20126],[-250],[],[],[],[18392],[1000],[]
72,7612,"[18039,22103]","[50,50]",[],[],[0],[3248],[2000],[]
73,339,[19668],[500],[],[],[],[25293],[1000],[]
74,44,[11570],[750],[],[],[],[25294],[-500],[]
75,337,[17376],[200],[],[],"[0,1]",[627],[1000],[2]
76,101,[19669],[1000],[],[],[],[623],[1000],[]
77,7611,[18249],[50],[],[],[],[7324],[2000],[]
78,364,[629],[1000],[],[],[],[1908],[1000],[]
79,82,[20172],[100],[],[],[0],[25296],[2000],[]
80,128,[70],[1000],[],[],[],[17376],[1000],[1]
81,174,[19670],[5000],[],[],"[0,1,2]",[19402],[2000],[]
82,48,[19001],[1000],[],[],[],[625],[1000],[]
83,54,[871],[200000],[],[],[],[877],[50],[]
84,76,[23102],[500],[],[],[],[17376],[1500],[]
85,340,[18308],[1000],[],[],[],[1908],[2000],[]
86,7706,[9462],[1500],[],[],[],[18039],[100],[1]
87,7715,[452],[1],[],[],[],[25297],[1000],[]
88,7716,[17376],[200],[],[],[],[3079],[2000],[]
89,30,[19614],[1000],[],[],[],[3731],[1000],[]
90,108,[19615],[300],[],[],[],[18553],[1000],[]
91,342,[19001],[1000],[],[],[],[24046],[5000],[]
92,109,[19671],[-2500],[],[],[],[1908],[1000],[0]
93,186,[18553],[1000],[],[],[],[627],[1000],[]
94,7714,[19616],[2000],[],[],[],[21422],[1000],[]
95,107,[17973],[500],[],[],[],[21422],[1000],[]
96,180,[17612],[50],[],[],[],[18076],[15000],[]
97,7713,[18553],[1000],[],[],[],[3731],[1000],[]
98,115,[871],[100000],[],[],[],[161],[2500],[]
99,7709,[17376],[200],[],[],[],[23016],[2500],[]
100,294,[3224],[1000],[],[],[],[18039],[100],[]
101,162,[18039],[100],[],[],[],[],[],[]
102,163,[452],[0],[],[],[],[20265],[5000],[]
103,202,[19001],[1000],[],[],[],[1908],[1000],[]
104,166,[18039],[100],[],[],[],[],[],[]
105,167,[452],[0],[],[],[],[20265],[5000],[]
106,295,[3224],[1000],[],[],[],"[21420,21419]","[500,500]",[]
107,222,[452],[0],[],[],[],[877],[50],[]
108,335,[17795],[10000],[],[],[],[],[],[]
109,160,[19672],[1000],[],[],[],[625],[1000],[]
110,158,[22973],[750],[],[],[],[18039],[200],[]
111,200,[17177],[750],[],[],[],[17177],[1500],[]
112,204,[9988],[5000],[],[],[1],[18068],[10000],[1]
113,165,[18058],[100],[],[],[],[],[],[]
114,164,[452],[1],[],[],[],[17376],[500],[1]
115,156,[7324],[1500],[],[],[],[],[],[]
116,157,[452],[1],[],[],[],[18058],[100],[]
117,104,[452],[1],[],[],[],[877],[50],[]
118,105,[3731],[1000],[],[],[1],[],[],[]
119,297,[3224],[1000],[],[],[],[18056],[500],[]
120,153,[18058],[250],[],[],[],[],[],[]
121,152,[452],[1],[],[],[],[584],[3000],[]
122,168,[14148],[1500],[],[],[],[18039],[100],[0]
123,150,[18052],[2000],[],[],[],[18058],[5],[]
124,151,[452],[1],[],[],[],[18058],[150],[]
125,325,[23578],[2500],[],[],"[0,1]",[18720],[2500],[]
126,192,[21423],[750],[],[],[],[1908],[1000],[1]
127,227,[11176],[1000],[],[],[],[3731],[1000],[]
128,376,[11176],[1000],[],[],[],[3731],[1000],[]
129,366,[17379],[500],[],[],[],[17376],[2000],[]
130,365,[23971],[100],[],[],[1],[20792],[2500],[]
131,373,"[2010,12448]","[1000,500]",[],[],[],[210],[2500],[]
132,367,[18515],[-50],[],[],[],[3079],[2500],[]
133,7764,[19510],[1000],[],[],[],[210],[2500],[]
134,91,[642],[1000],[],[],[],[13818],[1000],[]
135,7717,[19889],[100],[],[],"[1,2]","[212,1211]","[-2000,-1000]",[0]
136,129,[170],[1500],[],[],[],[11803],[2500],[]
137,100,[14145],[1000],[],[],[],[23612],[100000],[]
138,7763,[16365],[1500],[],[],[],[21911],[-2000],[]
139,232,[18039],[200],[],[],[],[21263],[1500],[]
140,387,[19887],[750],[],[],[1],[19892],[100],[1]
141,124,[12983],[50],[],[],[0],[],[],[]
142,51,[18720],[500],[],[],[],[],[],[]
143,7701,[18747],[4500],[],[],[],[],[],[]
144,176,[170],[2000],[],[],[],[],[],[]
145,7702,[17376],[200],[],[],[],[],[],[]
146,98,[18632],[500],[],[],[0],[],[],[]
147,134,[167],[100],[],[],[1],[],[],[]
148,7627,"[347,3079]","[50000,50000]",[],[],[0],[],[],[]
149,193,[213],[500],[],[],[],[],[],[]
150,110,[17376],[400],[],[],[],[],[],[]
151,111,[17376],[400],[],[],[],[],[],[]
152,28,[18308],[1000],[],[],[],[],[],[]
153,86,[4402],[125],[],[],[],[],[],[]
154,243,[18307],[2000],[],[],[],[],[],[]
155,7625,[18039],[50],[],[],[],[],[],[]
156,7712,[18308],[1000],[],[],[],"[627,23499]","[2500,10000]",[]
157,125,[347],[100000],[],[],[],[],[],[]
158,102,[347],[5000],[],[],[1],[],[],[]
159,195,[3224],[500],[],[],[],[],[],[]
160,41,[17593],[2000],[],[],[],[],[],[]
161,53,[18760],[1000],[],[],[],[],[],[]
162,7707,[347],[50000],[],[],[],[],[],[]
163,65,[20728],[400],[],[],[],[],[],[]
164,66,[20729],[400],[],[],[],[],[],[]
165,67,[20730],[400],[],[],[],[],[],[]
166,68,[20731],[300],[],[],[],[],[],[]
167,75,[17783],[100],[],[],[0],[2438],[1000],[]
168,103,[9313],[100],[],[],[],[19042],[2500],[]
169,355,[17376],[200],[],[],[],[18539],[2500],[]
170,74,[17376],[200],[],[],[1],[2437],[1000],[]
171,287,[452],[1],[],[],[],[13818],[2000],[]
172,288,[22927],[1000],[],[],[],[],[],[]
173,7623,[18290],[2000],[],[],[],[25299],[2000],[]
174,7624,[25059],[100],[],[],[],[],[],[]
175,58,[17228],[50],[],[],[],[25300],[1000],[]
176,347,[2081],[100],[],[],[],[642],[2500],[]
177,388,[3224],[500],[],[],[],[18750],[1250],[]
178,250,[19079],[750],[],[],[],[],[],[]
179,270,[19079],[750],[],[],[],[8714],[1000],[]
180,7696,[13815],[500],[],[],[],[],[],[]
181,624,[452],[1],[],[],[],[1383],[1000],[]
182,472,[22676],[250],[],[],[],[20985],[2000],[]
183,7697,[19079],[1000],[],[],[],[8714],[1000],[]
184,73,[6119],[15000],[],[],[1],[2399],[1000],[]
185,343,[23169],[250],[],[],[],[25301],[250],[]
186,7700,[347],[100000],[],[],[],[18740],[50],[]
187,251,[19079],[750],[],[],[],[],[],[]
188,252,[19079],[750],[],[],[],[],[],[]
189,253,[19079],[750],[],[],[],[13815],[2000],[]
190,382,[19797],[500],[],[],[],[347],[200000],[]
191,377,[13815],[500],[],[],[],[3731],[1500],[]
192,379,[13815],[500],[],[],[],[3731],[1500],[]
193,378,[13815],[500],[],[],[],[3731],[1500],[]
194,272,[17827],[5000],[],[],[],[8714],[1000],[]
195,256,[13815],[500],[],[],[],[25302],[1000],[]
196,274,[13815],[500],[],[],[],[25303],[500],[]
197,416,[20118],[250],[],[],[],[],[],[]
198,170,[18039],[100],[],[],[0],[],[],[]
199,171,[452],[1],[],[],[],[18058],[100],[]
200,7571,[19617],[500],[],[],[],[21798],[1000],[]
201,296,[3224],[1000],[],[],[0],[627],[1000],[2]
202,298,[3224],[1000],[],[],[],[629],[1000],[]
203,206,[452],[1],[],[],[],[3731],[1500],[1]
204,207,[18058],[200],[],[],[],[],[],[]
205,383,[3224],[500],[],[],[],[19785],[500],[]
206,289,[13815],[1000],[],[],[],[8368],[50],[]
207,328,[16365],[1000],[],[],[1],[20123],[50],[]
208,380,[19739],[2000],[],[],[],[25304],[1000],[]
209,391,[19951],[120000],[],[],[],[25305],[100],[]
210,395,[19079],[1000],[],[],[],[8714],[1000],[]
211,401,[18068],[2000],[],[],[],[8436],[200],[]
212,392,[13815],[500],[],[],[],[12091],[1000],[]
213,404,[23975],[500],[],[],[],[25306],[400],[]
214,394,[20293],[100],[],[],[],"[25307,25308]","[1000,1000]",[]
215,415,[18720],[500],[],[],[],[20084],[-50000],[]
216,407,[347],[50000],[],[],[],[20070],[-25000],[]
217,397,[19961],[250],[],[],[],[25310],[2000],[]
218,405,[20089],[1000],[],[],[],[3731],[1500],[]
219,381,[19757],[-250],[],[],[],[18279],[2000],[]
220,393,[1920],[750],[],[],[],[],[],[]
221,398,[13815],[500],[],[],[],"[19969,19981]","[50,10000]",[]
222,155,[452],[1],[],[],[],[18058],[100],[]
223,154,[585],[1000],[],[],[],[],[],[]
224,400,[18039],[200],[],[],[0],[629],[1000],[]
225,32,[17796],[2000],[],[],[],[453],[1500],[]
226,7778,[20723],[750],[],[],[],[],[],[]
227,516,[20723],[750],[],[],[],[],[],[]
228,7754,[20170],[500],[],[],[],[],[],[]
229,7766,[347],[50000],[],[],[],[],[],[]
230,7761,[3224],[1000],[],[],[0],[],[],[]
231,7756,[23849],[100],[],[],[1],[],[],[]
232,7757,[18307],[2000],[],[],[],[],[],[]
233,7758,[198],[1000],[],[],[],[],[],[]
234,7759,[17376],[200],[],[],[0],[],[],[]
235,7760,[17376],[200],[],[],[],[],[],[]
236,145,[641],[1000],[],[],[],[],[],[]
237,7747,[20475],[500],[],[],[],[],[],[]
238,7768,[3224],[500],[],[],[],[],[],[]
239,7769,[3224],[500],[],[],[],[],[],[]
240,7767,[3224],[500],[],[],[],[],[],[]
241,368,[3224],[500],[],[],[],[],[],[]
242,7723,[18857],[250],[],[],[],[],[],[]
243,7774,[21968],[50],[],[],[],[],[],[]
244,7777,[641],[1000],[],[],[],[],[],[]
245,7765,[19513],[1000],[],[],[],[210],[2500],[]
246,420,[18974],[1000],[],[],[1],[22114],[1500],[]
247,384,[3224],[1000],[],[],[0],[21922],[-2000],[]
248,7863,[347],[1000000],[],[],[],[],[],[]
249,130,[12534],[2000],[],[],[1],[1908],[500],[]
250,421,[12534],[2000],[],[],[1],[21274],[2500],[1]
