"rownum","Metadata","AreaLevel","SpawnsMonsters","i32_28","i32_32","i32_36","i32_40","i32_44","i32_48","i32_52","i32_56","bool_60","bool_61","bool_62","bool_63","bool_64","bool_65","i32_66","i32_70","i32_74","i32_78","rid_82","bool_98","bool_99","Script1","bool_108","bool_109","Script2","[i32]_118","i32_134","i32_138","i32_142","i32_146","i32_150","i32_154","i32_158","i32_162","i32_166","i32_170","bool_174","[rid]_175"
0,"Metadata/Monsters/LeagueExpedition/Olroth/Objects/OlrothAddSpawnerPhase1",1,"[515,528]",4800,0,0,1600,3200,0,0,65793,"",1,"","","","",2,0,0,0,"","","","Delay( 0.034, { triggerer.SetStateTo( olroth, 1 ); } );","",1,"","[3,1]",0,3000,0,0,1000,1000,2,2,0,0,"",[]
1,"Metadata/Monsters/LeagueExpedition/Olroth/Objects/OlrothAddSpawnerPhase2",1,"[515,528]",4800,0,0,1600,3200,0,0,65793,"",1,"","","","",2,0,0,0,"","","","triggerer.DoAction(WalkEmerge); Delay( 0.034, { triggerer.SetStateTo( olroth, 1 ); } );","",1,"","[3,1]",0,3000,0,0,1000,1000,2,2,0,0,"",[]
2,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",1,"[513,514,516]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,200,0,0,3,3,3,3,0,0,"",[]
3,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",10,"[513,514,516]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,200,0,0,3,3,3,3,0,0,"",[]
4,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",15,"[513,514,516]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,150,0,0,4,4,4,4,0,0,"",[]
5,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",20,"[513,514,516]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,150,0,0,5,5,5,5,0,0,"",[]
6,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",30,"[513,514,516]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,100,0,0,6,6,6,6,0,0,"",[]
7,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",40,"[513,514,516]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,100,0,0,7,7,7,7,0,0,"",[]
8,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",60,"[513,514,516]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,100,0,0,8,8,8,8,0,0,"",[]
9,"Metadata/Monsters/Werewolves/Spawners/SpawnerWerewolfProwlerBasic",1,[267],0,0,0,0,0,0,0,65792,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
10,"Metadata/Terrain/Gallows/Act2/2_12/Objects/AmbushMonsterSpawner",1,[],500,0,0,2000,4000,0,0,65792,"",1,"","","","",3,6,0,0,"","","","",1,1,"",[],0,0,0,0,100,100,1,1,0,0,"",[]
11,"Metadata/Monsters/Lark/Objects/LarkPortalSpawner",1,[434],0,0,0,500,1500,0,0,65792,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
12,"Metadata/Terrain/Gallows/Act2/2_10/Objects/EncounterMonsterSpawner",1,[],500,0,0,1000,3000,0,0,65792,"",1,"","","","",2,5,0,0,"","","","this.ModifyState( minion_counter, +1 ); triggerer.AddLifeOnDeath( { this.spawner.ModifyState( minion_counter, -1 ); } );",1,"","SetStateTo( finished_spawning, 1 );",[],0,0,0,0,5,5,1,1,0,0,"",[]
13,"Metadata/Monsters/Ghouls/GhoulCommanderBoss",1,[],2000,8,16,2000,4000,0,0,65792,1,1,"","","","",10,0,0,0,"","","","","",1,"",[],0,0,0,0,100,100,1,1,0,0,"",[]
14,"Metadata/Terrain/Gallows/Act2/2_3/Objects/EncounterSpawners/SpawnerEncounter1_1",1,"[470,468,466,479]",2000,0,0,1000,1500,0,0,16777472,"",1,"","","","",4,0,25,0,"",1,"","triggerer.DoAction( WalkEmerge );","","","",[],0,0,0,0,4,4,1,1,0,0,"",[]
15,"Metadata/Terrain/Gallows/Act2/2_3/Objects/EncounterSpawners/SpawnerEncounter2_1",1,"[470,476,472,464,474]",2000,0,0,1000,1500,0,0,16777472,"",1,"","","","",4,0,25,0,"",1,"","triggerer.DoAction( WalkEmerge );","","","",[],0,0,0,0,4,4,1,1,0,0,"",[]
16,"Metadata/Terrain/Gallows/Act2/2_2/Objects/Spawners/BlackStriderSpawnerClimbUp",1,[643],2000,0,0,0,500,20,0,65792,"",1,"","","","",4,0,0,0,"","","","triggerer.DoAction( Emerge );","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
17,"Metadata/Terrain/Gallows/Act2/2_2/Objects/Spawners/BlackStriderSpawnerClimbUpEncounter",1,[643],0,0,0,3750,9750,35,0,65792,"",1,"","","","",6,0,0,0,"","","","triggerer.DoAction( Emerge );","","","",[],0,0,0,0,3,3,1,1,0,0,"",[]
18,"Metadata/Terrain/Gallows/Act2/2_2/Objects/Spawners/BlackStriderSpawnerClimbDown",1,[643],2000,0,0,0,500,20,0,65792,"",1,"","","","",4,0,0,0,"","","","triggerer.DoAction( Emerge2 );","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
19,"Metadata/Terrain/Gallows/Act2/2_2/Objects/Spawners/BlackStriderSpawnerClimbDownEncounter",1,[643],0,0,0,2000,5000,20,0,65792,"",1,"","","","",6,0,0,0,"","","","triggerer.DoAction( Emerge2 );","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
20,"Metadata/Monsters/EtchedBeetles/LargeEtchedBeetle_",1,[651],1000,0,0,800,1300,50,0,65792,"",1,"","","","",12,0,0,0,"","","","IfState( charged, 1, { triggerer.SetStateTo( buildup, 2 ); } );","",1,"",[],0,0,0,0,1000,1000,1,1,0,0,"",[]
21,"Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditSpawnerSwingUp",1,[470],500,0,0,750,1500,0,0,16777472,"",1,"","","","",4,0,0,0,"","","","triggerer.DoAction( Emerge ); triggerer.\r\n\t\tStartImmunityPhase( 0, 1, 1, 1, 0, 0, 0 );","","","",[],0,500,0,0,4,4,1,1,0,0,"",[]
22,"Metadata/Terrain/Gallows/Act2/2_4/Objects/SmallScarabSpawner",1,[651],750,0,0,250,1250,0,0,65792,"","","","","","",0,0,0,0,"","","","triggerer.DoAction( Emerge );","","","",[],0,0,0,0,2,2,1,1,0,0,"",[]
23,"Metadata/Monsters/RockSlider/RockSlider_WallSpawner",1,[757],1000,0,0,0,3000,0,0,65792,"",1,"","","","",0,0,0,0,"","","","triggerer.DisableProximityTrigger(); triggerer.DoRandom( { DoAction( Emerge ); }, { DoAction( Emerge2 ); } );","","","",[1],0,2000,0,0,1,1,1,1,0,0,"",[]
24,"Metadata/Monsters/RockSlider/VoltaxicSlider/RockSlider_WallSpawner",1,[761],1000,0,0,0,3000,0,0,65792,"",1,"","","","",0,0,0,0,"","","","triggerer.DisableProximityTrigger(); triggerer.DoRandom( { DoAction( Emerge ); }, { DoAction( Emerge2 ); } );","","","",[1],0,2000,0,0,1,1,1,1,0,0,"",[]
25,"Metadata/Terrain/Gallows/Act2/2_3/Objects/TerracottaStatueSpawner",1,"[787,788]",0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
26,"Metadata/Terrain/Gallows/Act2/2_3/Objects/TerracottaStatueSpawnerBridge",1,"[789,790]",0,0,0,0,0,0,0,0,"",1,"","",1,"",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
27,"Metadata/Monsters/SerpentClanMonster/objects/SnakePot1",1,[809],2000,0,0,500,2000,0,0,1,"",1,"","","","",0,3,0,0,"","","","triggerer.DoAction( GeometrySpell ); NotState( emerging );",1,"","",[],0,0,0,0,1,1,1,1,0,0,"",[]
28,"Metadata/Monsters/SerpentClanMonster/objects/SnakePot2",1,[809],2000,0,0,500,2000,0,0,1,"",1,"","","","",0,3,0,0,"","","","triggerer.DoAction( GeometrySpell ); NotState( emerging );",1,"","",[],0,0,0,0,1,1,1,1,0,0,"",[]
29,"Metadata/Monsters/SerpentClanMonster/objects/SnakePot4",1,[809],2000,0,0,500,2000,0,0,1,"",1,"","","","",0,3,0,0,"","","","triggerer.DoAction( GeometrySpell ); NotState( emerging );",1,"","",[],0,0,0,0,1,1,1,1,0,0,"",[]
30,"Metadata/Effects/Spells/monsters_effects/Act2_FOUR/TwilightOrder/portal_mob",1,"[883,885]",1500,0,0,0,3000,0,0,65536,"","",1,"","","",0,0,0,0,"","","","triggerer.SetStateTo( epk, 1 );","","","Delay( 1.0, { Delete(); } );","[1,1,1]",0,0,0,0,5,5,1,1,0,0,"",[]
31,"Metadata/Effects/Spells/monsters_effects/Act2_FOUR/TwilightOrder/portal",1,[],1500,0,0,0,3000,0,0,65536,"","",1,"","","",0,0,0,0,"","","","triggerer.SetStateTo( epk, 1 );","","","Delay( 1.5, { Delete(); } );",[],0,0,0,0,1,1,1,1,0,0,"",[]
32,"Metadata/Terrain/Gallows/Act2/2_2/Objects/Spawners/DemonSpiderSpawner_ReturnAmbush",1,[648],0,15,60,500,2000,0,0,65792,"","","","","","",0,0,0,0,"","","","","","","",[],0,0,0,730,8,8,8,8,0,0,"",[]
