"rownum","string_0","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)"
0,"DamageType","Damage Types","Types de dégâts","Schadenstypen","ダメージタイプ","피해 유형","Tipos de Dano","Типы урона","Tipos de daño","ชนิดความเสียหาย","傷害類型"
1,"WeaponType","Weapon Types","Types d'armes","Waffentypen","武器タイプ","무기 유형","Tipos de Armas","Типы оружия","Tipos de arma","ชนิดอาวุธ","武器類型"
2,"Caster","Caster","Lanceur de sorts","Zauberer","キャスター","시전","Conjurador","Чародейское","Lanzador de hechizos","นักเวท","法術"
3,"Offensive","Offensive","Offensif","Offensiv","攻撃向き","공격","Ofensivo","Наступательное","Atacante","เชิงรุก","攻擊性"
4,"Defensive","Defensive","Défensif","Defensiv","防御向き","방어","Defensivo","Оборонительное","Defensivo","เชิงรับ","防禦性"
5,"Ailment","Ailments","Altérations","Beeinträchtigungen","状態異常","상태 이상","Afecções","Состояния","Estados alterados","สถานะเจ็บป่วย","異常狀態"
6,"PrimaryStat","Primary Stats","Stats principales","Primäre Werte","主ステータス","주 능력치","Atributos Primários","Основные показатели","Estadísticas principales","Stats หลัก","主要數值"
7,"Attribute","Attributes","Attributs","Attribute","能力値","능력치","Atributos","Характеристики","Atributos","ค่าคุณสมบัติ","能力"
8,"Charges","Charges","Charges","Ladungen","チャージ","충전","Cargas","Заряды","Cargas","Charge","能量球"
9,"Misc","Other","Autre","Andere","その他","기타","Outros","Другое","Otros","อื่นๆ","其它"
