"rownum","BaseItemType","Regular_WorldArea","MonsterPacks","AchievementItem","string_64","Tier","MapSeries","bool_80","bool_81","bool_82"
0,691,"",[],"","",1,0,"","",""
1,692,"",[],"","",2,0,"","",""
2,693,"",[],"","",3,0,"","",""
3,694,"",[],"","",4,0,"","",""
4,695,"",[],"","",5,0,"","",""
5,696,"",[],"","",6,0,"","",""
6,697,"",[],"","",7,0,"","",""
7,698,"",[],"","",8,0,"","",""
8,699,"",[],"","",9,0,"","",""
9,700,"",[],"","",10,0,"","",""
10,701,"",[],"","",11,0,"","",""
11,702,"",[],"","",12,0,"","",""
12,703,"",[],"","",13,0,"","",""
13,704,"",[],"","",14,0,"","",""
14,705,"",[],"","",15,0,"","",""
15,706,"",[],"","",16,0,1,"",""
