"rownum","string_0","f32_8","[rid]_12","i32_28"
0,"Metadata/Effects/Spells/warcry_new/audio/warcry_audio.ao",0.5,"[349,6,8,265,347,348,346,351,379]",1045220557
1,"Metadata/Effects/Spells/warcries/ancestral_cry/ancestral_cry.ao",0.5,[349],1045220557
2,"Metadata/Effects/Spells/warcries/divine_cry/divine_cry.ao",0.5,[379],1045220557
3,"Metadata/Effects/Spells/abyssal_cry/abyssal_cry.ao",0.5,[8],1045220557
4,"Metadata/Effects/Spells/warcries/enduring_cry/enduring_cry.ao",0.5,[6],1045220557
5,"Metadata/Effects/Spells/warcries/enduring_cry/healing_buff.ao",0.5,[6],1045220557
6,"Metadata/Effects/Spells/warcries/infernal_cry/infernal_cry.ao",0.5,[347],1045220557
7,"Metadata/Effects/Spells/warcries/intimidating_cry/intimidating_cry.ao",0.5,[265],1045220557
8,"Metadata/Effects/Spells/warcries/rallying_cry/rallying_cry.ao",0.5,[346],1045220557
9,"Metadata/Effects/Spells/warcries/seismic_cry/seismic_cry.ao",0.5,[348],1045220557
10,"Metadata/Effects/Spells/warcries/spiritual_cry/spiritual_cry.ao",0.5,[351],1045220557
11,"Metadata/Effects/Spells/warcries/ancestors/ancestor.ao",0.5,[351],1045220557
12,"Metadata/Effects/Spells/warcries/ancestors/ancestor_f.ao",0.5,[351],1045220557
13,"Metadata/Effects/Spells/blood_rage/rig.ao",0.5,[21],1045220557
